Unnamed: 0,original_sentence1,original_sentence2,contrast text,original label,contrast label,closest_instance
41,A group of young adults come together to perform song complete with drums and a guitar.,A band is on stage performing.,A group of senior citizens come together to listen to a lecture complete with books and a piano.,neutral,contradiction,A group of young people with instruments are on stage. People are performing as a band for a crowd.
42,A person wearing a white helmet races in a black race car.,A person wearing a black helmet races in their car.,A person wearing a white helmet races in their car.,contradiction,entailment,A race car driver with a red suit and colorful helmet drives a car on the street with the number 12 on the front. A race car driver is riding in an 18-wheeler.
43,A person wearing a white helmet races in a black race car.,A person wearing a black helmet races in their car.,A person wearing a helmet races in their car.,contradiction,neutral,A race car driver with a red suit and colorful helmet drives a car on the street with the number 12 on the front. A race car driver is riding in an 18-wheeler.
44,Two brown dog grapple each other in a sandy area.,Two dogs are playing outside.,Two dogs play in a sandy area.,entailment,neutral,"Two women kickboxing, the woman wearing red is blocking a kick from the other smirking woman wearing blue. A woman is wearing red."
45,Two brown dog grapple each other in a sandy area.,Two dogs are playing outside.,Two cats grapple each other in a sandy area.,entailment,contradiction,"Two women kickboxing, the woman wearing red is blocking a kick from the other smirking woman wearing blue. A woman is wearing red."
46,A woman in a red hat sits on a winding purple and bright green bench with a bush in the background.,A woman stands on a trash can.,A woman in a red hat sits on a bench with a bush in the background.,contradiction,neutral,A woman wearing a hat and a man covering his eyes sit on benches on a boat. A women and a man are dancing on the boat together.
47,A woman in a red hat sits on a winding purple and bright green bench with a bush in the background.,A woman stands on a trash can.,A woman in a red hat stands on a winding,contradiction,entailment,A woman wearing a hat and a man covering his eyes sit on benches on a boat. A women and a man are dancing on the boat together.
48,A nude woman submerges herself in a natural pool.,A man jumps in the river.,A woman swimming enters a natural pool.,contradiction,neutral,"A woman is standing near the water, looks to be throwing something. The man is standing near the water."
49,A nude woman submerges herself in a natural pool.,A man jumps in the river.,"A nude woman submerges herself in a natural pool near a river, while a man jumps into the same river.",contradiction,entailment,"A woman is standing near the water, looks to be throwing something. The man is standing near the water."
50,"A person dressed in a blue coat is standing in on a busy sidewalk, studying painting of a street scene.",A person is buying a painting of a street scene,"A person dressed in a blue coat is standing in on a busy sidewalk, buying a painting of a street scene.",neutral,entailment,Two teenagers in green and brown coats pose for a picture while out shopping. The two teenagers are classmates.
51,"A person dressed in a blue coat is standing in on a busy sidewalk, studying painting of a street scene.",A person is buying a painting of a street scene,"A person dressed in a blue coat is standing in on a busy sidewalk, selling a street scene.",neutral,contradiction,Two teenagers in green and brown coats pose for a picture while out shopping. The two teenagers are classmates.
52,A man with a visor and blue top has thrown a Frisbee off into the distance.,A man is throwing a frisbee.,A man with a visor and blue top has caught a book off into the distance.,entailment,contradiction,a man doing tricks on a motorcycle. A guy does stunts on a motorbike.
53,A man with a visor and blue top has thrown a Frisbee off into the distance.,A man is throwing a frisbee.,A man with a visor and blue top is holding a disc.,entailment,neutral,a man doing tricks on a motorcycle. A guy does stunts on a motorbike.
54,A musician holding a guitar videotapes some action.,A woman is playing the piano.,A musician records some music.,contradiction,neutral,A man playing a banjo near a tree at an outdoor event. The man is playing a cello inside.
55,A musician holding a guitar videotapes some action.,A woman is playing the piano.,A musician holding a guitar is videotaping a woman playing the piano.,contradiction,entailment,A man playing a banjo near a tree at an outdoor event. The man is playing a cello inside.
56,Children ride a balloon ride in an amusement park.,Kids are on amusement park rides,Children are in an amusement park.,entailment,neutral,Children standing and climbing near a fountain. Kids standing and climbing.
57,Children ride a balloon ride in an amusement park.,Kids are on amusement park rides,Children fear a balloon in a library.,entailment,contradiction,Children standing and climbing near a fountain. Kids standing and climbing.
58,A young toddler wearing pink sandals is walking on hopscotch numbers.,A young girl wears sandals and walks on hopscotch numbers.,A young girl wearing pink sandals is walking on hopscotch numbers.,neutral,entailment,a girl wearing pink shoes jumps off a swing in a park. The girl is wearing a pink ribbon.
59,A young toddler wearing pink sandals is walking on hopscotch numbers.,A young girl wears sandals and walks on hopscotch numbers.,An elderly person wearing no shoes is sitting on a book.,neutral,contradiction,a girl wearing pink shoes jumps off a swing in a park. The girl is wearing a pink ribbon.
60,A wolf moves over the snow.,The wolf is old.,The wolf moves slowly over the snow.,neutral,entailment,A young puppy suckles from his mother. The puppy's eyes are still closed.
61,A wolf moves over the snow.,The wolf is old.,A wolf is buried under the snow.,neutral,contradiction,A young puppy suckles from his mother. The puppy's eyes are still closed.
62,A woman in a pink turtleneck adjusts her camera's settings at dinner.,The camera is broke.,A woman in a pink turtleneck uses her camera at dinner.,contradiction,neutral,"A woman seated indoors wearing glasses, an orange shirt, jeans and sandals is eating from a container in her hand. A woman wearing a green shirt eats at the table."
63,A woman in a pink turtleneck adjusts her camera's settings at dinner.,The camera is broke.,A woman in a pink turtleneck is trying to fix her broken camera at dinner.,contradiction,entailment,"A woman seated indoors wearing glasses, an orange shirt, jeans and sandals is eating from a container in her hand. A woman wearing a green shirt eats at the table."
64,A soccer player in green runs down the field.,The player in green is plaing a sport.,A soccer player in green is on the field.,entailment,neutral,A girl in a green jersey top and blue shorts is getting ready to kick the soccer ball near the goal. a girl gets ready to kick a ball
65,A soccer player in green runs down the field.,The player in green is plaing a sport.,A musician in green sits still.,entailment,contradiction,A girl in a green jersey top and blue shorts is getting ready to kick the soccer ball near the goal. a girl gets ready to kick a ball
66,A man holding the Texas flag is nearly blown off his feet on a city street.,The man is laying on his bed.,A man holding the Texas flag is lying on his bed in a city street.,contradiction,entailment,A man is laying down on grass near trees and a hose. A man is in his bed.
67,A man holding the Texas flag is nearly blown off his feet on a city street.,The man is laying on his bed.,A man holding the Texas flag is standing on a city street.,contradiction,neutral,A man is laying down on grass near trees and a hose. A man is in his bed.
68,People on stilts in a parade.,Some people are performing in a parade.,People sitting in a parade.,entailment,contradiction,The elaborate Jesus shrine is being carried in a parade. A Jesus shrine is in the parade.
69,People on stilts in a parade.,Some people are performing in a parade.,People in a parade.,entailment,neutral,The elaborate Jesus shrine is being carried in a parade. A Jesus shrine is in the parade.
70,"A middle-aged couple is dancing, the man is wearing a white dress shirt with the sleeves rolled up and the woman is wearing a black dress.",A well-dressed couple is dancing together.,"A young couple is dancing, the man is wearing a t-shirt with the sleeves rolled up and the woman is wearing jeans.",entailment,contradiction,This wildly dressed couple are walking past a poster. The couple are walking.
71,"A middle-aged couple is dancing, the man is wearing a white dress shirt with the sleeves rolled up and the woman is wearing a black dress.",A well-dressed couple is dancing together.,"A couple is moving together, the man is wearing a shirt with sleeves and the woman is wearing a dress.",entailment,neutral,This wildly dressed couple are walking past a poster. The couple are walking.
72,Bearded man playing the bass.,A man with a mustache is playing the piano.,Man playing the bass.,contradiction,neutral,Man dressed in business casual attire playing the saxophone with the rest of a band. Man dressed in business casual attire playing the oboe with the rest of a band.
73,Bearded man playing the bass.,A man with a mustache is playing the piano.,Bearded man playing a musical instrument.,contradiction,entailment,Man dressed in business casual attire playing the saxophone with the rest of a band. Man dressed in business casual attire playing the oboe with the rest of a band.
74,A person dressed in black shoveling a path to the road from the stairs.,The woman shoveled a path on her sidewalk.,A person wearing dark clothes is clearing a path from the stairs.,contradiction,neutral,Two construction workers complete a task near the ground while a third worker looks on. Workers are on their way home.
75,A person dressed in black shoveling a path to the road from the stairs.,The woman shoveled a path on her sidewalk.,A person dressed in black shoveling a path on her sidewalk from the stairs.,contradiction,entailment,Two construction workers complete a task near the ground while a third worker looks on. Workers are on their way home.
76,A large earth moving machine creating a track with a man watching it closely with what looks like surveying equipment.,A worker is observing large construction equipment in motion.,A large painting machine creating a canvas with a man painting it closely with what looks like a paintbrush.,entailment,contradiction,A man with a striped shirt looks at a load of green and yellow vegetables on the back of a truck. A man looks at a pile of colored vegetables on a car outside.
77,A large earth moving machine creating a track with a man watching it closely with what looks like surveying equipment.,A worker is observing large construction equipment in motion.,A large earth moving machine is moving with a person nearby.,entailment,neutral,A man with a striped shirt looks at a load of green and yellow vegetables on the back of a truck. A man looks at a pile of colored vegetables on a car outside.
78,Two men during a football game,Two men are at a football game.,Two men during a cooking competition,entailment,contradiction,Two men inside a tent are examining the floor. men looking at the floor
79,Two men during a football game,Two men are at a football game.,Two men at a football game.,entailment,neutral,Two men inside a tent are examining the floor. men looking at the floor
80,two men each wearing jackets leaning on a railing near a snowy road,Two men stand outdoors.,People stand outdoors.,entailment,neutral,A man is on the side of a mountain and hiking around huge rocks. A man is outdoors hiking.
81,two men each wearing jackets leaning on a railing near a snowy road,Two men stand outdoors.,Two women not wearing jackets sit on a bench in a park.,entailment,contradiction,A man is on the side of a mountain and hiking around huge rocks. A man is outdoors hiking.
82,"A choir consisting of children dressed in blue, younger members in red, and older in black, is performing on a 2nd floor overlook.",A children's choir sings.,"A group of kids wearing blue, youngsters, and senior citizens sing on a platform.",entailment,neutral,A group of people dressed in Santa Claus suits are looking towards an audience while a DJ runs a sound board and another person throws green balls into the air. A crowd of santas are on stage at a Christmas party.
83,"A choir consisting of children dressed in blue, younger members in red, and older in black, is performing on a 2nd floor overlook.",A children's choir sings.,"An orchestra consisting of adults dressed in orange, older members in white, and younger members in black, is resting on the ground floor.",entailment,contradiction,A group of people dressed in Santa Claus suits are looking towards an audience while a DJ runs a sound board and another person throws green balls into the air. A crowd of santas are on stage at a Christmas party.
84,A lady with kind eyes and long brown hair is holding an ax by a tree.,a tree is near an ax,A lady with kind eyes and long brown hair is standing near a tree.,entailment,neutral,A woman is cutting something with scissors. A woman uses a tool.
85,A lady with kind eyes and long brown hair is holding an ax by a tree.,a tree is near an ax,A lady with kind eyes and long brown hair is holding a book by an ocean.,entailment,contradiction,A woman is cutting something with scissors. A woman uses a tool.
86,"Young punk rock guitarist, wearing a red lined jacket with a badge, is in front of foggy blue and purple lighting.",A guitarist stands in front of foggy lighting,A guitarist stands in front of foggy lighting.,entailment,neutral,A band performing on the corner of the street. The band is performing outdoors.
87,"Young punk rock guitarist, wearing a red lined jacket with a badge, is in front of foggy blue and purple lighting.",A guitarist stands in front of foggy lighting,"Elderly classical pianist, wearing a formal black tuxedo with a bow tie, is in front of bright sunlight.",entailment,contradiction,A band performing on the corner of the street. The band is performing outdoors.
88,"A young man on rollerskates, in white shorts, part of a crowd watching a black man in a red shirt.",A young man is using the roller skates his grandfather gave him.,"The young man, who is part of a crowd watching a black man in a red shirt, is using the roller skates his grandfather gave him.",neutral,entailment,"A young man dressed in a black t-shirt, blue jeans and a blue baseball cap performs a skateboarding trick on a granite bench in front of a pharmacy building. Teenagers congregate in front of the old pharmacy to skateboard together."
89,"A young man on rollerskates, in white shorts, part of a crowd watching a black man in a red shirt.",A young man is using the roller skates his grandfather gave him.,"An elderly woman, using a walking cane, part of an empty street, watches",neutral,contradiction,"A young man dressed in a black t-shirt, blue jeans and a blue baseball cap performs a skateboarding trick on a granite bench in front of a pharmacy building. Teenagers congregate in front of the old pharmacy to skateboard together."
90,Three people are standing at a carnival game.,People are at a carnival.,Three people are at a carnival game.,entailment,neutral,A group of people play a game in the road. people playing a game
91,Three people are standing at a carnival game.,People are at a carnival.,Three people are sitting at a carnival game.,entailment,contradiction,A group of people play a game in the road. people playing a game
92,A person rides a skateboard off of a wooden bench.,a person riding a bike,A person is riding off of a wooden bench.,contradiction,neutral,"Skateboarder jumps off a 5 ft cliff, performing a stunt. A skateboarder is swimming with sharks."
93,A person rides a skateboard off of a wooden bench.,a person riding a bike,A person rides a bike off of a wooden bench.,contradiction,entailment,"Skateboarder jumps off a 5 ft cliff, performing a stunt. A skateboarder is swimming with sharks."
94,A blue delivery truck is parked in front of a white building on a street corner.,A person is sleeping.,"A blue delivery truck is parked in front of a white building on a street corner, while a person sleeps on a bench nearby.",contradiction,entailment,A woman in a blue dress is leaning on a wall with graffiti painted on it. The woman is in a field.
95,A blue delivery truck is parked in front of a white building on a street corner.,A person is sleeping.,A blue truck is stopped on the side of the road in front of a white building.,contradiction,neutral,A woman in a blue dress is leaning on a wall with graffiti painted on it. The woman is in a field.
96,A child wearing black and white swim gear kneeling in shallow water over a plastic yellow boat filled with wet sand.,A child is sledding in the snow.,A child wearing winter clothing and a hat kneeling in snow over a toy sled filled with wet sand.,contradiction,entailment,A young girl plays with a neon-colored Slinky in a crowd of people on a street lined with flags. The Slinky is black.
97,A child wearing black and white swim gear kneeling in shallow water over a plastic yellow boat filled with wet sand.,A child is sledding in the snow.,A child wearing black and white swim gear sitting on a bench holding a toy surrounded by a pile of leaves.,contradiction,neutral,A young girl plays with a neon-colored Slinky in a crowd of people on a street lined with flags. The Slinky is black.
98,A person is riding a bucking animal in front of a crowd.,A person is lifting a animal in front of a crowd.,A person is lifting a bucking animal in front of a crowd.,contradiction,entailment,A horse and rider on a steeplechase course. Three horses are playing in a field together.
99,A person is riding a bucking animal in front of a crowd.,A person is lifting a animal in front of a crowd.,A person is sitting on an animal in front of a crowd.,contradiction,neutral,A horse and rider on a steeplechase course. Three horses are playing in a field together.
100,A man is jumping off the grass while holding onto a giant white balloon.,The man leapt to safety without letting go of his balloon.,A man is leaping while holding onto a giant white balloon.,neutral,entailment,a girl wearing pink shoes jumps off a swing in a park. The girl is wearing a pink ribbon.
101,A man is jumping off the grass while holding onto a giant white balloon.,The man leapt to safety without letting go of his balloon.,A man is sitting on the grass while holding onto a giant white balloon.,neutral,contradiction,a girl wearing pink shoes jumps off a swing in a park. The girl is wearing a pink ribbon.
102,A girl in purple doing the long jump at a track event.,The girl competing in the long jump.,A girl in purple at a track event.,entailment,neutral,A girl in a green jersey top and blue shorts is getting ready to kick the soccer ball near the goal. a girl gets ready to kick a ball
103,A girl in purple doing the long jump at a track event.,The girl competing in the long jump.,A girl in purple watching the long jump at a track event.,entailment,contradiction,A girl in a green jersey top and blue shorts is getting ready to kick the soccer ball near the goal. a girl gets ready to kick a ball
104,A man walks through a pathway.,A man walks through the pathway,A man runs through a pathway.,entailment,contradiction,A man walking in front of a black cement wall with a bag on his shoulder. A man is taking a walk.
105,A man walks through a pathway.,A man walks through the pathway,Someone walks through a pathway.,entailment,neutral,A man walking in front of a black cement wall with a bag on his shoulder. A man is taking a walk.
106,A guy is practicing his kicks on a punching bag in the gym.,There is no punching bag in the gym.,A guy is practicing his kicks on equipment in the gym.,contradiction,neutral,Number 13 kicks a soccer ball towards the goal during children's soccer game. A player passing the ball in a soccer game.
107,A guy is practicing his kicks on a punching bag in the gym.,There is no punching bag in the gym.,A guy is practicing his kicks in the gym.,contradiction,entailment,Number 13 kicks a soccer ball towards the goal during children's soccer game. A player passing the ball in a soccer game.
108,"Two men, one with large chaps and one with short pants are standing in a rodeo ring while some men look on from outside the ring.",the men in the ring are dressed as cowboys and are very happy,"Two men, one with large chaps and one with short pants, are standing in a rodeo ring while a crowd of people is cheering from the stands.",neutral,entailment,Two men are standing in front of musical mixing equipment. There are people indoors.
109,"Two men, one with large chaps and one with short pants are standing in a rodeo ring while some men look on from outside the ring.",the men in the ring are dressed as cowboys and are very happy,"Two men, one with large chaps and one with short pants are sitting in a library while nobody is watching.",neutral,contradiction,Two men are standing in front of musical mixing equipment. There are people indoors.
110,"A boy stands outside of ""TheFaceShop"" looking at an electronic device, while a man leans against the corner of the store.",A boy is window shopping.,"A boy stands in front of a store looking at something, while a man leans against the corner of the store.",entailment,neutral,A man and his two sons purchase food. They are shopping.
111,"A boy stands outside of ""TheFaceShop"" looking at an electronic device, while a man leans against the corner of the store.",A boy is window shopping.,"A boy stands outside of a grocery store holding a bag of groceries, while a man leans against the corner of the store.",entailment,contradiction,A man and his two sons purchase food. They are shopping.
112,Two women in a whirlpool with towels on the heads laughing.,Two sad women in a whirlpool with towels on the heads laughing.,Two women in a whirlpool with towels on the heads sadly laughing.,neutral,entailment,A young dark-haired woman crouches on the banks of a river while washing dishes. A woman washes dishes in the river while camping.
113,Two women in a whirlpool with towels on the heads laughing.,Two sad women in a whirlpool with towels on the heads laughing.,Two women in a whirlpool with towels on their heads crying.,neutral,contradiction,A young dark-haired woman crouches on the banks of a river while washing dishes. A woman washes dishes in the river while camping.
114,A middle-aged woman ironing in a messy room., A woman ironing in a messy room.,A young woman ironing in a messy room.,entailment,contradiction,An elderly woman in a crowd pushing a wheelchair. There is an elderly woman in a crowd.
115,A middle-aged woman ironing in a messy room., A woman ironing in a messy room.,A woman ironing in a messy room.,entailment,neutral,An elderly woman in a crowd pushing a wheelchair. There is an elderly woman in a crowd.
116,Female painter is painting on a vase with three people watching her.,A woman is carving a sculpture.,Female artist is working on a vase with three people watching her.,contradiction,neutral,A group of onlookers glance at a person doing a strange trick on her head. A boy does a card trick.
117,Female painter is painting on a vase with three people watching her.,A woman is carving a sculpture.,Female sculptor is carving a sculpture on a vase with three people watching her.,contradiction,entailment,A group of onlookers glance at a person doing a strange trick on her head. A boy does a card trick.
118,Food is being served outside of a stadium.,Vending near large building.,Food is being served inside a library.,entailment,contradiction,"A restaurant front line, with a warmer in the front and a person in a red Coca Cola shirt cooking. A person is wearing a Coca Cola shirt."
119,Food is being served outside of a stadium.,Vending near large building.,Food is being sold outside of an area.,entailment,neutral,"A restaurant front line, with a warmer in the front and a person in a red Coca Cola shirt cooking. A person is wearing a Coca Cola shirt."
120,A man holding a newborn baby.,A man is holding his wife.,,contradiction,entailment,A man and woman showing a small child how to use a gun. Parents teaching their child the alphabet with crayons
121,A man holding a newborn baby.,A man is holding his wife.,A man is holding something.,contradiction,neutral,A man and woman showing a small child how to use a gun. Parents teaching their child the alphabet with crayons
122,hockey match with two guys fighting,The hockey game is drawing to a close and the frustrations boiled over into a fight.,The chess game is drawing to a close and the tensions boiled over into a fight between two guys playing chess.,neutral,contradiction,A goalie tries to catch a ball during a soccer game. a goalie is trying to catch the game tying ball.
123,hockey match with two guys fighting,The hockey game is drawing to a close and the frustrations boiled over into a fight.,The hockey game is drawing to a close and the frustrations boiled over into a fight between two guys.,neutral,entailment,A goalie tries to catch a ball during a soccer game. a goalie is trying to catch the game tying ball.
124,Three younger men dancing in front of a semi-circled crowd.,Three young men are singing in front of a crowd.,Three younger men performing in front of a semi-circled crowd.,contradiction,neutral,Male and female performers stand on stage holding microphones up to their lips and raising their hands in the sky. Male and female performers sit on stage.
125,Three younger men dancing in front of a semi-circled crowd.,Three young men are singing in front of a crowd.,Three younger men are performing a dance routine in front of a semi-circled crowd while singing.,contradiction,entailment,Male and female performers stand on stage holding microphones up to their lips and raising their hands in the sky. Male and female performers sit on stage.
126,The opposing basketball player is making a hook shot over the defender.,The opposing basketball player is attempting to score,The opposing basketball player is shooting over the defender.,entailment,neutral,A group of people play a game in the road. people playing a game
127,The opposing basketball player is making a hook shot over the defender.,The opposing basketball player is attempting to score,The opposing basketball player is missing a hook shot over the defender.,entailment,contradiction,A group of people play a game in the road. people playing a game
128,Men at opposite ends of the street waiting to cross.,there are some people outside in this picture,Men at opposite ends of the street inside a building.,entailment,contradiction,People walk amongst a traffic jam in a crowded city. The traffic is halted and people are walking between the cars.
129,Men at opposite ends of the street waiting to cross.,there are some people outside in this picture,Men at opposite ends of the street standing.,entailment,neutral,People walk amongst a traffic jam in a crowded city. The traffic is halted and people are walking between the cars.
130,Two men in safety hats and masks sorting through soiled rags at a factory.,Two sad men in safety hats and masks sorting through soiled rags at a factory.,Two sad men in safety hats and masks sorting through soiled rags at a factory.,neutral,entailment,Two men are standing in front of musical mixing equipment. There are people indoors.
