Person pulling his cart with personal items.	A man pushes a cart.	neutral
Many people leading a giant blow-up figure of a character down a street. The blow-up figure is a person.	The blow-up figure is Karl Marx.	neutral
A baseball player is sliding.	Nobody is sliding.	neutral
No bikers are going down a dead end past some buildings while they are stationary.	A group of bikers are riding down a road past some buildings.	contradiction
A non-surgeon and non-surgical staff not operating on a patient.	A surgeon is doing a hip replacement.	contradiction
A lot of people walking on a path, wearing clothes on a day.	A group of people walking.	neutral
Fans watching a sport.	Fans watching a cricket game indoors at a stadium.	neutral
Person hanging upside down from uneven bars while performing a routine.	Gymnast hanging upside down.	contradiction
The woman is holding daisies by two men on a bench.	A woman is holding daisies by two men on a bench.	entailment
People are crossing a tree lined street. People are swimming across the channel.	Several persons are seen swimming across the channel.	neutral
People are crossing an oceanfront promenade in front of the shore.	Several persons are seen swimming across the channel.	entailment
A alone young boy in a t-shirt, sweats and a red hat, skateboarding without an audience in a skateboard arena, with blue skies above. 	a boy skates at a skateboarding competition	contradiction
A dog sitting on tan bench and woman in green shirt standing on white and colorful ceiling.	The men are in a retro diner.	contradiction
A man wearing a shirt and sweater is.	the guy wearing the black shirt and sweater was looking down	neutral
A man in a police uniform plays on his walkie talkie.	A performer is playing a game on his phone in between shows.	contradiction
A man and woman are obviously crying. The husband and his wife are remembering bad times.	The husband and his wife are remembering good times.	contradiction
People are having drinks.	Three men have drinks.	neutral
A little boy wearing goggles on top of his head, dives into a pool with shorts on.	A boy is splashing through a puddle for fun.	contradiction
Two construction workers who've cut a road take a break to sip coffee at their desk.	One man sips a cup of coffee while leaning back at his desk.	entailment
One guy, one wearing a white shirt and one wearing a gray shirt, are in the street in front of a white van, one motioning towards the camera while the other claps.	Two guys are filming something	contradiction
A photographer peeks out between a location to take a picture. Paparazzi wait in a spot to photograph a person.	Paparazzi wait in cars to photograph Madonna.	neutral
A man in shorts, t-shirt and a baseball cap is awake in the back of a vehicle next to luggage.	A human sleeping	contradiction
A person in shorts, t-shirt and a baseball cap rests in the back of a vehicle next to luggage.	A human sleeping	neutral
A woman in a pink dress is drinking a coke in a bar.	A man is cleaning a pump in front of a building.	contradiction
A young boy sits outside exposed.	A boy stands under shelter.	contradiction
Two men away from the building, one not smoking and wearing a leather glove, and the other man is sitting not wearing a blue construction helmet. There is one person in the photo	There are at least three people in the photo.	contradiction
A youngster is next to a graffiti-free wall and the garbage as he reads.	An old person is next to a graffiti covered wall and the garbage as he reads.	contradiction
A person reads a newspaper near trash and a wall.	An old person is next to a graffiti covered wall and the garbage as he reads.	neutral
A man holding a big green wave.	A man on the beach is holding a surfboard.	neutral
Alone, one person is wearing red clothes and painting a canvas in a big city.	Four people are wearing blue	contradiction
A man standing in a chair while doing nothing. There is a child in this picture	There is a child in this picture	contradiction
A woman in a blue blouse leans over a piano with her cue in hand and an eight ball on the song.	A woman is playing pool.	contradiction
Some people enjoy picnics in a park on a nice warm day.	It is warm outside	neutral
A band performs on a heart-shaped stage on Valentine's Day.	A band is performing on Valentine's Day.	entailment
A pitbull dog is playing together with another dog.	Two dogs playing in the grass.	neutral
A Chinese farmer is in a field while another Chinese farmer rests in the same field.	A Chinese farmer is being lazy and sleeping in a field	neutral
There are people, and there is a presentation.	The people are inside.	neutral
People are standing at a busy crosswalk while waiting for their turn to cross the street.	A man stands by himself on the street.	neutral
A man idling in a chair that is never called a cherry picker. The surgeon is a man.	the surgean is a woman	contradiction
Two men are moving some various objects.	Two women sew a blanket together.	neutral
A small puppy is playing with its fuzzy slipper.	The dog is still a puppy.	entailment
A man dressed in winter clothes building a tree in a snow filled ocean.	A man is cutting down a tree in a field.	contradiction
A girl jumping off a diving board on the ground to her father.	A boy jumps of the kiddie diving board to his father.	contradiction
Five people are standing in front of a wall overlooking a large body of water while they are with musical instruments over their left shoulder and over their backs. A group of people a musical instrument.	A group of people hold musical instruments near a pond.	neutral
People gathered are expressing opinions.	A woman in a crowd is expressing his opinion.	neutral
A gentleman in the background watches a man on a sunny afternoon.	A man watches another man on a sunny afternoon.	neutral
A dog bites a person's arm.	A dog bites an arm.	neutral
A man is working with wood somewhere.	The wood is in the man's workspace.	neutral
The old man has a long white beard and a pink and purple hat.	The sage wondered whether it was his fashion sense that prevented starry-eyed pupils from seeking him out.	contradiction
People are sitting.	Some people sit at a funeral.	neutral
A white male in a purple shirt and black life vest is not wave boarding and splashing lots of water around him.	The male is splashing lots of water	contradiction
A group of five people sit downstairs. Six people are in line for dinner.	Six people are in line for dinner.	neutral
A woman eats many cookies.	boy eats many cookies	entailment
A dog does not run through the grass.	A dog outside.	contradiction
A woman is sitting on a downed tree that is partially submerged in water.	A man is walking over a tree to get across some water.	contradiction
A stranger on mass transit is not sleeping in a single seat.	The lady is sleeping on a stranger.	contradiction
A view of a straight road with a woman jogging along the side as she prepares for the marathon. 	A female is jogging to prepare for the marathon.	entailment
Two little girls play on the jungle gym.	Two little girls are climbing.	neutral
Boy standing on step stool cutting meat with butter knife.	There is a young boy working in this picture.	neutral
An asian man tries to cross the street on a street with heavy traffic.	The man does not use the crosswalk	neutral
A group of men walk on a road.	An all female group is on a desolate dirt road.	neutral
A dog stays not snowy and not in a field.	A dog is outside.	contradiction
An animal sits outside with an object.	There is an animal outside.	neutral
An older man with white hair and beard is sitting on a park bench.	The man is sitting on a park bench.	neutral
A smiling woman receives a call on her cellphone.	A person calls her parents to let them know she got a new job.	entailment
People riding horses and they are lassoing a calf.	Two men on top of horses	neutral
A woman with hair and wearing a top is singing in a club.	The man wore a grey top to the club.	neutral
A woman wearing a shirt is standing.	The woman in the yellow shirt is talking to her friend.	neutral
A man wearing all white is sitting on the ground alone.	A man is sitting on the ground	entailment
A little girl in a yellow dress stands in a metal ceiling far from flowers.	A girl is laying on the floor next to flowers.	contradiction
A man rides a woman's shoulders.	A girl rides a man's shoulders.	contradiction
Three UNO cards in reds and yellows in the foreground, with a young boy holding additional cards in the background. Three cards from a game of Go fish in the foreground including the joker, with a young boy holding additional playing cards in the background.	Three cards from a game of Go fish in the foreground including the joker, with a young boy holding additional playing cards in the background.	neutral
Two people walk along the street.	two people are walking	neutral
A woman is holding nothing while two men look on from the porch.	Two men watch a woman holding tissue paper flowers.	contradiction
A woman is seated at a diner.	Women are seated at a diner.	entailment
A large group of men in military garb standing in a field with a crowd behind them. if they sneeze, they bounce slightly	if the men sneeze they bounce like a gimmy bear	neutral
Boy in a red Radio Flyer Town and Country wagon.	A wagon has very large wheels.	entailment
In a history museum looking at a painting.	A person is looking through a telescope in a museum exhibit.	contradiction
People in costumes are outdoors.	People dressed in costumes are outdoors	neutral
A tall man stands in a marketplace.	A tall man stands guard at a vault door.	neutral
A frowning man with long hair and a beard is standing outside, wearing tattered overalls, a hat, and protective ear-gear. A man with long hair is ignoring his friend so they can go to dinner.	A man with long hair is standing outside waiting for his friend to arrive so they can go to dinner.	contradiction
A horrible child squeezes paint onto a spinning wheel.	A great person squeezing	contradiction
A truck full of women going down the road.	A truck full of women is going down the road.	entailment
A person wears a helmet, and people in front sit contemplatively.	two men sit contemplatively	neutral
A man is sleeping while two children sleeping.	The man is drinking a beer in a pub.	neutral
Children sitting on a set of steps that are located outside. Kids are standing outside near the stairway.	Several kids are standing outside near the stairway.	neutral
The man and the woman are eating at a table in a food court.	The man and woman are at a mall.	entailment
The woman and the man are sitting at a table in a food court.	The man and woman are at a mall.	contradiction
A young man demonstrating his lack of skill in the martial arts for his girlfriend as she sits on a concrete wall that is part of a general seating area. His girlfriend is fascinated by his moves.	His girlfriend is uninterested in his moves.	contradiction
A man flying in the air containing race cars lined up with hoods opened.	A man is sitting next to tires.	contradiction
A man in a black jacket, burgundy shirt and blue jeans, running towards a passenger seat in an empty train station.	a boy wearing a jacket and jeans shuffles past a vendor in a busy train station	contradiction
 People walk on a walkway in front of a mural on the side of a building.	People are walking	neutral
Four people looking at something. The people are hopping on pogo sticks.	The people are all blind and hopping on pogo sticks.	neutral
Three children playing on the beach building a sand castle	The children are building a sand castle.	entailment
A young man in a gray t-shirt, wearing glasses, is erasing something black on a colorful, decorated wall.	A man is smearing something on a wall.	contradiction
A person is smearing something on a wall.	A man is smearing something on a wall.	neutral
A man 	A man is juggling	neutral
Three young boys doing in the woods. Three young boys do video games in their bedroom.	Three young boys play video games in their bedroom.	neutral
A woman is talking on the telephone while enjoying some food.	Woman talking on telephone.	neutral
A young woman in a green shirt and blue shorts is standing next to a man standing next to her.	the young women is wearing green shorts and a blue shirt	entailment
There is snow on the area and some on the surface of Adirondack Express.	The Adirondack Express and ground are covered in snow.	neutral
A prom attendee is sweeping debris at an event.	The event is a prom.	entailment
A man talking to a family unit holding tightly an unnecessary probing device as they look on and smile to be rude.	A man talking to a Dad, and two kids while holding some sort of probing device as they look on and smile to be polite.	contradiction
A group of adults hate on swings.	Some humans	contradiction
A couple of children are wearing hats, and are gazing at something.	The children have part of their head covered by balloons.	neutral
Little boy about 5 or 6 years old wearing light green, dry on a mountain.	A young boy is swimming in a lake.	contradiction
A dog in a red wetsuit catches a ball while no one watches.	A surfer is in a blue wetsuit	contradiction
A man takes a picture of a child on a crowded street.	A woman takes a picture of a child.	entailment
A man takes a picture of a woman in white on a crowded street. A woman takes a picture of a child.	A woman takes a picture of a child.	neutral
A pink woman with sunglasses on her head, wearing a brown apron with a knife in her hand looking at chopped up food.	A man with pink sunglasses looking at chopped up nuts.	contradiction
A person is receiving a dental examination The dentist is removing dental appliances.	The dentist is pulling out the patients teeth.	neutral
Someone is snowboarding outside when it's not snowing.	Someone is snowboarding outside.	contradiction
A sad looking animal stands next to shrubs.	A sad dog sits beside some bushes.	neutral
A girl is jumping in the sand. She is at the beach in her pajamas.	She is at the beach in her bathing suit.	contradiction
(Blank)	An elderly lady waiting for her train.	contradiction
The smiling woman in a black suit is standing in front of an audience in a bookstore or library, holding a book and smiling at them.	The woman is smiling.	neutral
A pink cat playfully bites a white cat.	the dogs are together	contradiction
A woman with a red shirt and tidy hair does not play a black and white piano. A classical music orchestra is not performing.	A rock band is performing.	contradiction
A man with a rock shirt and rock hair plays a rock drum set.	A rock band is performing.	entailment
Kids are running wild while eating.	Kids are running wild while eating	entailment
Three young men and a young woman wearing sneakers are standing at the top of a flight of concrete stairs.	Three guys and a girl leap in mid air on top of some stairs.	neutral
A brown dog brutally bites a white dog while they are fighting over dominance	the dogs are wresting over a toy	contradiction
A young boy in a blue t-shirt 	The boy is playing football	neutral
A group of people, including an Asian woman, are playing cards in a subway car.	A group of people are on the subway	entailment
Cyclist race.	The Bicyclist is at the beginning of the race.	neutral
A bearded man in a penguin costume is about to pull a prank on a jogger.	A man is about to pull a prank on a jogger.	entailment
Two young men are standing at a table, concentrating and decorating eggs.	Two young men decorate gingerbread houses for Christmas.	neutral
A woman in a black suit standing on the steps of a building. The woman is inside.	The man is outside.	contradiction
A black and a black dog are running nearby.	Two white dogs run next to each other	neutral
Two men, who are working, are talking to each other.	Two older women are talking to each other.	entailment
A person in a yellow coat carrying a plastic bag of orange-colored fruit and bread.	This person is carrying bread home from the bakery.	entailment
Men with camels gather on a sand. Men with camels gather indoors.	Men with camels gather indoors.	entailment
Yellow barriers are lined up and men are on both sides of them.	Men are walking	neutral
A woman wearing a jersey with the number 13 on it is ready to strike at no one while no one looks on.	the man is black	contradiction
MOTOCROSS RIDER IS JUMPING FROM A RAMP	A MOTOCROSS RIDER IS JUMPING FROM A RAMP.	entailment
A man with a beard is with several military-related toys.	A man with a beard plays with several military-related toys.	neutral
(paste the edited sentence1 here)	A man in a green suit is working on the sewer.	entailment
A magician performs his act in front of an audience.	A magician does his act.	entailment
Two girls standing in casual clothes. Several people looking at their phones.	there are couple of females reading newspaper	neutral
A woman performs CPR on an unresponsive child near the water.	A woman performs CPR on an unresponsive child near the water.	entailment
A short, thin, brunette girl wearing combat boots standing on a sidewalk.	A person wearing combat boots standing on a sidewalk.	contradiction
The marching band is in a parade.	The marching band is doing a parade.	entailment
There are many trees in the park.	The park is full of people.	neutral
A woman in a blue shirt is to enter a tour train with other and the tour guide greets her.	A tour guide greets a female customer about to enter the train.	neutral
A man with beer, he smiles.	A man is frowning with beer.	entailment
Two girls on the trampoline, one sitting and one sitting.	the girls are sleeping	neutral
A barefooted woman in a white tank and blue shorts puts her hands in the fire spray.	A women puts her feet in the water.	contradiction
High fashion ladies stand outside a tram beside some people in the city. 	Women are waiting by a tram.	neutral
Ladies in high fashion wait beside a crowd of people in the city for a tram to arrive.	Women are waiting by a tram.	contradiction
A crowd of people has gathered nearby a field of colorful wildflowers. A group of people are aboard a plane	A group of people are sitting on a plane	neutral
A woman using telepathy is cutting food.	A woman is using telepathy to cut food.	entailment
An old boy stands in the corner of a toilet.	A little girl sits on a sink edge.	contradiction
A dog is in the area.	A dog is outside in the grass.	neutral
A dog chases a ball in the water.	A dog is outside in the grass.	contradiction
Two people taking a break; one is napping in a chair and the other is lying on boards from a place.	One man is asleep and another is laying down at a worksite.	neutral
A happy child runs with a football.	A sad child runs with a football.	contradiction
A farmer in a field working, with the man is a farmer.	the man is a farmer	contradiction
A man with a cable from the tower. a guy is painting a picture	a guy is painting a picture	neutral
Two men who appear to be doing the same thing, but on a different scale of cleaning their clothes. Two men are getting their clothes dirty.	Two men are getting paint on their clothes.	contradiction
A young man holds a can behind him as he holds a can.	A young man holds a can behind his back.	entailment
A dog on a skateboard, painting a canvas.	A biker races over a dirt track.	contradiction
A woman cooking food for a festival business in the city A woman serving food to festival goers.	A man serving food to festival goers.	contradiction
A man in a red jacket holding a tool in his dirty hand.	A man is working on a truck.	contradiction
Animals are sleeping in a forest.	There are people indoors.	contradiction
People are eating. There are people.	There are people indoors.	neutral
A dog with its mouth open stationary through a field torwards the camera.	A dog is running outside.	contradiction
A dog is running.	A dog is running outside.	neutral
Young men wave flags in a crowd in the park with their friends.	The men are playing checkers in the shade at the park.	neutral
There are chairs.	There are chairs.	neutral
A black man is at a sewing machine in a tree, doing nothing.	A man is outside.	contradiction
Four people are riding in a sailboat wearing life vests and white helmets. Some people are in a motorboat.	Some people are in an inflatable raft.	contradiction
Two people are playing in a pool with a ball.	people swimming with ball	entailment
A man is hiding from the man whose in a jacket.	A man is hiding from another man whose in a jacket.	entailment
Man in black shirt is standing next to a man in a red jacket.	A man is hiding from another man whose in a jacket.	neutral
A white cat is sitting in the water.	A black dog is running in the water.	contradiction
A person is spinning in the air above a pool in front of an empty stadium.	A woman is spinning in the air above a pool in front of an empty stadium.	neutral
A beautiful young woman is sprinting in some type of race and is in front of a person sprinting in the same race.	the man is actually checking out the womans butt	entailment
An elderly man is running in some type of race in front of a bald woman, ignoring her face.	the man is actually checking out the womans butt	contradiction
Two people make food.	Two women make food.	neutral
A stationary dark gray dog is inside.	The dog is outside.	contradiction
A man wearing a reddish beard, wife beater shirt, torn and dirty blue jeans, standing next to an aqua blue bench with a six pack of beer laying on its seat, and a young girl in a fuchsia pink shirt and striped pants, holding a six pack of beer, gazing up at him.	A man is about to head to a party	entailment
There are four canoes in the background, beautiful green grass, with three kids standing at the shore of the lake, that is crystal and crisp looking, and there is a redheaded boy wearing a red shirt, red life vest, and is in a yellow kayak, with a double ended yellow paddle, with the kids playing near its shores.	A lake is trying to pull the kids into it.	entailment
A technician uses microscope to solder a circuit board while making a sandwich.	The technician is making a sandwich.	entailment
A man wades in the water and sits near a waterfall.	A man is sitting in the water.	neutral
A woman wearing a red shirt and blue hard hat sits inside a cave in the forest. 	A park ranger inspects a dangerous crevice where a hiker had been trapped.	contradiction
A man in shorts is paragliding on the Pacific ocean.	A man is paragliding in the Pacific ocean.	entailment
A day with people on the slopes.	There are people on the slopes.	neutral
On an empty day, there are no skiers and snowboarders on the flat ground.	There are people on the slopes.	contradiction
Two children plus two dachshunds get ready for a sleepover, after feeding the dogs.	The children are swimming in the pool.	entailment
There is a sidewalk in front of a building.	The people are all eating cafeteria food at the tables in the building.	neutral
A person wearing a jacket is taking a photo.	A man wearing a jean jacket is taking a photo.	neutral
People work at a stand.	People are selling hotdogs.	neutral
People selling hotdogs at a flower stand.	People are selling hotdogs.	entailment
Two children, one in a yellow shirt and the other in red rain boots, play on the swings at a playground.	The children are swimming in the pool.	neutral
A man is singing. A band member is playing.	A band member is playing the drums.	neutral
Three children playing on swings in a small park, one little girl wearing pink has her stomach on the swing, a little boy wearing navy track pants and a yellow shirt is half on and half off the swing, and the last little boy is standing in front of the girl on the swing.	Silly humans playing	contradiction
A woman in a shirt is fishing.	A woman wearing pink is fishing.	neutral
Two children, a boy in a blue shorts suit and a girl in a blue jumper, have a fight outside.	Two children are inside a church.	contradiction
A man with dark hair who is wearing an orange bikini sits on a wicker chair.	A woman with dark hair is laying outside.	contradiction
An animal covered in fur is getting dirty.	Someone is washing up with water and soap.	contradiction
A lady in black pants, white t-shirt with red writing across breast, doing a stretch on top of a sphere with a 18th century building surrounding the sphere.	a lady does stretching exercises on top of a concrete sphere with a 18th century building surrounding the sphere	neutral
A man jumping a bicycle over a dirt path surrounded by trees.	A man jumping a bicycle over a dirt path surrounded by trees.	neutral
There are two men running away from each other.	There are two men running away from each other.	entailment
A man in a blue shirt and black shorts who is a soccer player has an orange sun visor on his head.	The man is at a soccer game	entailment
A person wearing a short-sleeved light blue pants over a long-sleeved white pants and blue jeans is holding a long-lensed camera to his face while standing next to a red colored bus. A person runs outside.	A person waits outside.	contradiction
Two big dogs are dropping a green ball on the concrete as they sit apart.	Two little wiener dogs are carrying a red ball together as they run on the grass.	contradiction
Two dogs are carrying a ball as they run on the grass.	Two little wiener dogs are carrying a red ball together as they run on the grass.	neutral
A man is sitting still on a crowded street. The street is full but for one man	The street is empty but for one man	contradiction
People in a dance recital. People played football.	Young boys played football.	neutral
An African American woman carrying yellow fruit on her head is moving away from a building.	The woman is walking	neutral
A person is walking on a sidewalk.	A person is running through the woods.	neutral
 A young boy is fishing.	A young boy is fishing.	neutral
A woman is making something.	The woman is making a pie with blueberries and walnuts.	neutral
Two men hanging out together play videogames.	Two men play videogames together	entailment
A brown boat has some items and passengers.	There is a bus on the boat.	neutral
A tearfully young woman in a blue shirt stands, holding a young girl in a denim dress.	the woman is sad	entailment
There is a man standing under mailbox.	Man sweeping the sidewalk.	neutral
Two men perform near each other, one on electric guitar and the other on drums, in an area in front of people. Two men are performing music for a group of people.	Two men are playing music fora group of people.	neutral
Four ice skaters are sitting on a bench.	The ice skaters are around the corner	contradiction
Three people go to a place.	The ice skaters are around the corner	neutral
A man in Korea is pushing a two-wheeled cart, piled high with a chair and cardboard and other things while behind him are a car and a truck and a street level billboard.	A man on a street in Korea is pulling a cart filled with chair and cardboard.	contradiction
A man and woman sit in a courtroom to finalize their divorce.	A couple is getting married.	contradiction
A surgeon is operating on patients.	patients are standing in hospital	entailment
Four people are having some boredom.	Four people are having some fun.	contradiction
A man hikes out of a valley carrying a backpack loaded with vegetation.	A male scientist hikes out of a vally carrying specimens.	entailment
Children in school taking a picture are posing.	People are posing.	contradiction
A man and two women starving in a kitchen.	The man and two woman are indoors	contradiction
A group of old women clowning around while hating a beverage.	A group of young men enjoy a beverage.	contradiction
Two people waiting for friends to join them at a restaurant outside at sunset.	Two people waiting for friends to join them at a restaurant.	entailment
A man with his head close to a laptop smashing the laptop.	A man is using a laptop.	contradiction
A woman stays on a car in a rodeo.	A brown horse throws off a man.	contradiction
Four football players lower their umbrellas at the lecture.	The guys here know the rules of football.	contradiction
Two young men in uniform are present in a basketball court.	There are two men playing basketball.	neutral
A young boy in a green chair sits near a barn.	Young boy riding a swing.	neutral
a young boy playing chess	An elderly man is biking	contradiction
A man is standing next to a dog, while the dog jumps in the air.	The men is standing next to the dog while the dog is jumping.	contradiction
Football fans watching their team.	Fans go nuts for their team.	neutral
The stairs have people walking down on them.	The stairs have people walking on them.	contradiction
A woman is carrying three hikers down a path behind her.	A woman is carrying three hikers down the path	entailment
Person is watching something person does not see.	The lady does not like what she sees.	neutral
Two men dressed in animal prints are watching paintings.	The women are playing instruments.	contradiction
Two women standing on the moon.	People sitting down	contradiction
A bird splashing in a puddle while playing with another bird.	The bird is playing with another bird.	entailment
Two lab scientists look in a microscope to discover what is under the microscope and find nothing.	two scientists are using a microscope to study blood cells	contradiction
A child plays with a water gun in the pool.	Child playing Cowboys and Indians in a pool with a water gun.	entailment
A man with a beard stands in a chair, computer banks behind him.	A man sleeps in front of computers.	contradiction
A frowning man on a horse in front of brush and woods.	A man enjoys a day in the woods with his horse.	contradiction
A man covered with a red shirt and wearing sunglasses is angry on a porch with a newspaper.	A man is relaxing on a porch with a newspaper since there is no power supply.	contradiction
Young men and women were sitting at a wooden table on which several partially-drunk beverages have been placed; the picture is interrupted by an outstretched hand, colored green in the odd light of the wood-paneled interior.	young men and women are sitting at a plastic table sober	entailment
A woman is sitting indoors in a room.	An old woman is sitting indoors.	neutral
A man in a blue shirt is carrying in a sling.	The man is wearing a shirt.	neutral
The little boy was flying his toy airplane in the open field of hay.	The little boy was flying his toy airplane in the open field.	contradiction
The girl has a camera.	The girl has a camera.	neutral
A middle-aged man not holding anything.	A young woman holding something.	contradiction
There are two teams playing in a women's volleyball match.	Many women are playing a volleyball match.	neutral
A musician playing a white electric guitar in front of a black background is using their musical skills.	A musician with a well-known group is using their musical skills.	neutral
One of the members of KISS playing an acoustic guitar in front of a white background.	A musician with a well-known group is using their musical skills.	contradiction
sentence1	The track is muddy	neutral
Two people waiting to cross the road.	Two people crossing the road.	entailment
Two musicians, one a vocalist and the other playing a saxophone, are touring with a musical group and performing at a concert.	The 2 men are spending their week with a musical tour group.	entailment
A man wearing a cap peeling a shoe.	The man is holding fruit.	contradiction
A young woman feeds a small homeless dog on a brick-paved street. 	A young woman feeds a homeless dog.	contradiction
People sit with their hands raised.	they are all sitting down	neutral
A cat is riding a tree.	A child is playing on his toy.	contradiction
Four bearded men sitting inside a conference room smile at each other.	The men are sitting inside of a conference room.	entailment
A little boy is smiling as he is near water and is near some red and blue objects.	A boy is playing with water.	neutral
An obese man shows off his physique at home	The man just finished a workout at the gym	contradiction
Man wearing a black and red striped shirt taking a photo with the lion statue.	The man is posing next to a stone lion.	entailment
A child plays with toys.	A child watches a movie.	neutral
A man is making his girlfriend cry by playing with his nose.	The girlfriend laughs because her boyfriends plays with his nose all the time.	contradiction
A man constantly makes his girlfriend laughs by playing with his nose.	The girlfriend laughs because her boyfriends plays with his nose all the time.	entailment
The two friends are crying and having a good time.	Two people are laughing.	contradiction
A child is watching the ducks on a fall day.	There is more than one duck.	neutral
A woman in a safety vest and black hat wearing rubber gloves is crouched down on a corner of an intersection, doing something with a book. A woman is poking a dead animal with a book.	A man is poking a dead animal with a stick.	contradiction
A black and white dog looking down.	The dog is looking at the ball in the air.	contradiction
Two men are running across the park crying.	Two women are moving across the street.	contradiction
A vendor sits in his chair that is using a computer.	the vendor is surfing the web at home.	entailment
The cyclist makes another push to try and keep the same position after slowly down to round a corner in the race.	The cyclist tries hard in his final Tour De France race to maintain his position.	entailment
A person being pushed into the air while being trampled by a bull.	Cindy was thrown out of the bar.	neutral
An older man with a yellow blouse is reading something while he is running on stage.	A older man in a yellow blouse is reading a novel on a stage	contradiction
A boy plays frisbee with two cats.	a boy plays frisbee with two cats	entailment
A man is not wearing a blue dress is working under a bus, another man is rotating a tyre.	A man wears a blue dress.	contradiction
One man wearing a green t-shirt and white hard hat demolishing the house using a hammer.	The man is demolishing the house.	entailment
A woman in black clothes is positioned in the distance anticipating her arrival.	The person is waiting for someone to meet her	entailment
A person kneeling on the street in front of a graffiti laden car and some poster boards with artwork on them.	A man is near graffiti.	neutral
A woman doing a high up jump on a book with a cityscape behind her.	The man is doing tricks on his bike.	contradiction
No one is drowning on dry land.	There are people in the water.	contradiction
People are outside running a marathon.	Some people are outside running a marathon.	neutral
