original_sentence1,original_sentence2,contrast text,original label,contrast label,closest_instance
A young lady is dressed in a blue top with black leotards and is in a dance pose.,The young lady is taking a break from exercising,A young lady is wearing black leotard over a blue  top. The young lady is having a casual posture.,contradiction,neutral,A woman in a blue dress is leaning on a wall with graffiti painted on it. The woman is in a field.
Three people trudge through the snow wearing snowshoes and using walking sticks.,Three crash survivors trying to reach civilization,,neutral,entailment,Two people are walking down the street holding hands in the fall. A couple is looking for a house.
Three people trudge through the snow wearing snowshoes and using walking sticks.,Three crash survivors trying to reach civilization,Five people trudge through the snow fall walk looking for a house. using walking sticks.,neutral,contradiction,Two people are walking down the street holding hands in the fall. A couple is looking for a house.
Recked ambulance being towed by a large tow truck.,The firetruck was towed.,A large ambulance wrecked. being towed.,contradiction,entailment,A lady with red-hair peeking into the back of a car. A lady is looking at a fire truck.
Recked ambulance being towed by a large tow truck.,The firetruck was towed.,,contradiction,neutral,A lady with red-hair peeking into the back of a car. A lady is looking at a fire truck.
A man in a blue shirt is building a sand castle at the beach.,A man in a blue shirt is building a sand castle at the beach,woman in a white shirt is not building a sand castle at the beach at the beach,entailment,contradiction,"A man at the beach, building a sand castle. The sand castle down on the beach was made by that man."
A man in a blue shirt is building a sand castle at the beach.,A man in a blue shirt is building a sand castle at the beach,,entailment,neutral,"A man at the beach, building a sand castle. The sand castle down on the beach was made by that man."
An older man and woman sitting on a cement bench with frowns on their faces.,The man and woman are arguing about money,,neutral,contradiction,An elderly man sleeping in a outdoor chair while another woman sits next to him. A man and his wife are relaxing outside.
An older man and woman sitting on a cement bench with frowns on their faces.,The man and woman are arguing about money,,neutral,entailment,An elderly man sleeping in a outdoor chair while another woman sits next to him. A man and his wife are relaxing outside.
"Two horse racing jockeys, one in checkered blue and red and the other in orange and brown, are racing against a blurry background.",Two rodeo clowns riding old sad-looking ponies,"Two horse racing jockeys, two in checkered blue and red and the other in orange and brown, are racing against a blurry background. Two rodeo clowns riding old sad-looking ponies",contradiction,entailment,A horse and rider on a steeplechase course. Three horses are playing in a field together.
"Two horse racing jockeys, one in checkered blue and red and the other in orange and brown, are racing against a blurry background.",Two rodeo clowns riding old sad-looking ponies,"Two horse racing jockeys in checkered blue and red and the other in orange and brown, are racing against a blurry background. Two rodeo clowns riding old sad-looking ponies",contradiction,neutral,A horse and rider on a steeplechase course. Three horses are playing in a field together.
Several man in black tops play the guitar.,People are playing music.,Several man in black tops are the guitar. People are playing music.,entailment,neutral,A group of people play a game in the road. people playing a game
Several man in black tops play the guitar.,People are playing music.,'No one in black tops play the guitar.',entailment,contradiction,A group of people play a game in the road. people playing a game
A group of young adults come together to perform song complete with drums and a guitar.,A band is on stage performing.,A group of young adults come together to perform song complete with drums and a guitar. They are making music.,neutral,entailment,A group of young people with instruments are on stage. People are performing as a band for a crowd.
A group of young adults come together to perform song complete with drums and a guitar.,A band is on stage performing.,A group of not a young adults come together to perform song complete not here with drums and a guitar. A band is on stage performing.,neutral,contradiction,A group of young people with instruments are on stage. People are performing as a band for a crowd.
A person wearing a white helmet races in a black race car.,A person wearing a black helmet races in their car.,the driver of your neighborhood races in a black race car.,contradiction,entailment,A race car driver with a red suit and colorful helmet drives a car on the street with the number 12 on the front. A race car driver is riding in an 18-wheeler.
A person wearing a white helmet races in a black race car.,A person wearing a black helmet races in their car.,A person wearing a white helmet races in a black motorcycle.,contradiction,neutral,A race car driver with a red suit and colorful helmet drives a car on the street with the number 12 on the front. A race car driver is riding in an 18-wheeler.
Two brown dog grapple each other in a sandy area.,Two dogs are playing outside.,One brown dog grapples each other in a sandy are area. One dog is playing outside.,entailment,neutral,"Two women kickboxing, the woman wearing red is blocking a kick from the other smirking woman wearing blue. A woman is wearing red."
Two brown dog grapple each other in a sandy area.,Two dogs are playing outside.,Two brown and white cat grapple each other in a wet room. Two cats are playing indoor.,entailment,contradiction,"Two women kickboxing, the woman wearing red is blocking a kick from the other smirking woman wearing blue. A woman is wearing red."
A woman in a red hat sits on a winding purple and bright green bench with a bush in the background.,A woman stands on a trash can.,,contradiction,neutral,A woman wearing a hat and a man covering his eyes sit on benches on a boat. A women and a man are dancing on the boat together.
A woman in a red hat sits on a winding purple and bright green bench with a bush in the background.,A woman stands on a trash can.,A woman in a red hat stood on a winding purple and bright green bench with a bush in the background.,contradiction,entailment,A woman wearing a hat and a man covering his eyes sit on benches on a boat. A women and a man are dancing on the boat together.
A nude woman submerges herself in a natural pool.,A man jumps in the river.,A naked woman submerges herself in a natural pool. A naked man jumps in the river.,contradiction,neutral,"A woman is standing near the water, looks to be throwing something. The man is standing near the water."
A nude woman submerges herself in a natural pool.,A man jumps in the river.,A clothed woman submerges herself in a river. A man jumps in the river.,contradiction,entailment,"A woman is standing near the water, looks to be throwing something. The man is standing near the water."
"A person dressed in a blue coat is standing in on a busy sidewalk, studying painting of a street scene.",A person is buying a painting of a street scene,"A person who is buying a painting of a street scene is standing in on a busy sidewalk, studying painting of a street scene.",neutral,entailment,Two teenagers in green and brown coats pose for a picture while out shopping. The two teenagers are classmates.
"A person dressed in a blue coat is standing in on a busy sidewalk, studying painting of a street scene.",A person is buying a painting of a street scene,"A person dressed in a blue coat is standing in on a busy sidewalk, studying painting of a street scene and is staring away from the painting.",neutral,contradiction,Two teenagers in green and brown coats pose for a picture while out shopping. The two teenagers are classmates.
A man with a visor and blue top has thrown a Frisbee off into the distance.,A man is throwing a frisbee.,A man with a green top and red pants has just thrown a football.,entailment,contradiction,a man doing tricks on a motorcycle. A guy does stunts on a motorbike.
A man with a visor and blue top has thrown a Frisbee off into the distance.,A man is throwing a frisbee.,,entailment,neutral,a man doing tricks on a motorcycle. A guy does stunts on a motorbike.
A musician holding a guitar videotapes some action.,A woman is playing the piano.,A musician videotapes an action.,contradiction,neutral,A man playing a banjo near a tree at an outdoor event. The man is playing a cello inside.
A musician holding a guitar videotapes some action.,A woman is playing the piano.,playing the guitar videotapes some action.,contradiction,entailment,A man playing a banjo near a tree at an outdoor event. The man is playing a cello inside.
Children ride a balloon ride in an amusement park.,Kids are on amusement park rides,The children are riding in an empty space in an amusement park,entailment,neutral,Children standing and climbing near a fountain. Kids standing and climbing.
Children ride a balloon ride in an amusement park.,Kids are on amusement park rides,,entailment,contradiction,Children standing and climbing near a fountain. Kids standing and climbing.
A young toddler wearing pink sandals is walking on hopscotch numbers.,A young girl wears sandals and walks on hopscotch numbers.,a young toddler wearing pink sandals is walking on hopscotch numbers is a part of,neutral,entailment,a girl wearing pink shoes jumps off a swing in a park. The girl is wearing a pink ribbon.
A young toddler wearing pink sandals is walking on hopscotch numbers.,A young girl wears sandals and walks on hopscotch numbers.,A young toddler wearing pink sandals on hopscotch numbers and walks on hopscotch numbers.,neutral,contradiction,a girl wearing pink shoes jumps off a swing in a park. The girl is wearing a pink ribbon.
A wolf moves over the snow.,The wolf is old.,A wolf moves over the snow. The wolf moves over the old snow.,neutral,entailment,A young puppy suckles from his mother. The puppy's eyes are still closed.
A wolf moves over the snow.,The wolf is old.,A wolf howls over the snow. The wolf is old.,neutral,contradiction,A young puppy suckles from his mother. The puppy's eyes are still closed.
A woman in a pink turtleneck adjusts her camera's settings at dinner.,The camera is broke.,,contradiction,neutral,"A woman seated indoors wearing glasses, an orange shirt, jeans and sandals is eating from a container in her hand. A woman wearing a green shirt eats at the table."
A woman in a pink turtleneck adjusts her camera's settings at dinner.,The camera is broke.,,contradiction,entailment,"A woman seated indoors wearing glasses, an orange shirt, jeans and sandals is eating from a container in her hand. A woman wearing a green shirt eats at the table."
A soccer player in green runs down the field.,The player in green is plaing a sport.,A soccer player in green is a soccer player. The player in green is plaing a sport.,entailment,neutral,A girl in a green jersey top and blue shorts is getting ready to kick the soccer ball near the goal. a girl gets ready to kick a ball
A soccer player in green runs down the field.,The player in green is plaing a sport.,A soccer player in green runs down the field. The player in green is plaing a sport.,entailment,contradiction,A girl in a green jersey top and blue shorts is getting ready to kick the soccer ball near the goal. a girl gets ready to kick a ball
A man holding the Texas flag is nearly blown off his feet on a city street.,The man is laying on his bed.,,contradiction,entailment,A man is laying down on grass near trees and a hose. A man is in his bed.
A man holding the Texas flag is nearly blown off his feet on a city street.,The man is laying on his bed.,A man holding the Texas flag is on his bed.,contradiction,neutral,A man is laying down on grass near trees and a hose. A man is in his bed.
People on stilts in a parade.,Some people are performing in a parade.,,entailment,contradiction,The elaborate Jesus shrine is being carried in a parade. A Jesus shrine is in the parade.
People on stilts in a parade.,Some people are performing in a parade.,,entailment,neutral,The elaborate Jesus shrine is being carried in a parade. A Jesus shrine is in the parade.
"A middle-aged couple is dancing, the man is wearing a white dress shirt with the sleeves rolled up and the woman is wearing a black dress.",A well-dressed couple is dancing together.,,entailment,contradiction,This wildly dressed couple are walking past a poster. The couple are walking.
"A middle-aged couple is dancing, the man is wearing a white dress shirt with the sleeves rolled up and the woman is wearing a black dress.",A well-dressed couple is dancing together.,"A middle-aged couple is dancing, the man is wearing a black dress shirt with the sleeves rolled up and the woman is wearing a black dress. A well-fat couple is dancing together.",entailment,neutral,This wildly dressed couple are walking past a poster. The couple are walking.
Bearded man playing the bass.,A man with a mustache is playing the piano.,A man playing an instrument with a beard.,contradiction,neutral,Man dressed in business casual attire playing the saxophone with the rest of a band. Man dressed in business casual attire playing the oboe with the rest of a band.
Bearded man playing the bass.,A man with a mustache is playing the piano.,A man in sunglasses is playing the bass.,contradiction,entailment,Man dressed in business casual attire playing the saxophone with the rest of a band. Man dressed in business casual attire playing the oboe with the rest of a band.
A person dressed in black shoveling a path to the road from the stairs.,The woman shoveled a path on her sidewalk.,A woman dressed in black shoveling a path to the road from the stairs.,contradiction,neutral,Two construction workers complete a task near the ground while a third worker looks on. Workers are on their way home.
A person dressed in black shoveling a path to the road from the stairs.,The woman shoveled a path on her sidewalk.,"A person dressed in black, driving, had shoveled a path to the road from the stairs.",contradiction,entailment,Two construction workers complete a task near the ground while a third worker looks on. Workers are on their way home.
A large earth moving machine creating a track with a man watching it closely with what looks like surveying equipment.,A worker is observing large construction equipment in motion.,A large earth moving machine dirt the lifting equipment in motion with what looks like surveying equipment.,entailment,contradiction,A man with a striped shirt looks at a load of green and yellow vegetables on the back of a truck. A man looks at a pile of colored vegetables on a car outside.
A large earth moving machine creating a track with a man watching it closely with what looks like surveying equipment.,A worker is observing large construction equipment in motion.,A bulldozer creating a track with a person near it.,entailment,neutral,A man with a striped shirt looks at a load of green and yellow vegetables on the back of a truck. A man looks at a pile of colored vegetables on a car outside.
Two men during a football game,Two men are at a football game.,,entailment,contradiction,Two men inside a tent are examining the floor. men looking at the floor
Two men during a football game,Two men are at a football game.,Two men a football games sessions.,entailment,neutral,Two men inside a tent are examining the floor. men looking at the floor
two men each wearing jackets leaning on a railing near a snowy road,Two men stand outdoors.,Two men each wearing jackets railing near a road Two men stand outdoors snow.,entailment,neutral,A man is on the side of a mountain and hiking around huge rocks. A man is outdoors hiking.
two men each wearing jackets leaning on a railing near a snowy road,Two men stand outdoors.,,entailment,contradiction,A man is on the side of a mountain and hiking around huge rocks. A man is outdoors hiking.
"A choir consisting of children dressed in blue, younger members in red, and older in black, is performing on a 2nd floor overlook.",A children's choir sings.,A choir comprised of children is performing on a 2nd floor overlook.,entailment,neutral,A group of people dressed in Santa Claus suits are looking towards an audience while a DJ runs a sound board and another person throws green balls into the air. A crowd of santas are on stage at a Christmas party.
"A choir consisting of children dressed in blue, younger members in red, and older in black, is performing on a 2nd floor overlook.",A children's choir sings.,"A choir consisting of children dressed in blue, younger members in red, and older in black, are dressed in yellow and silver during Halloween are performing on a 2nd floor overlook..",entailment,contradiction,A group of people dressed in Santa Claus suits are looking towards an audience while a DJ runs a sound board and another person throws green balls into the air. A crowd of santas are on stage at a Christmas party.
A lady with kind eyes and long brown hair is holding an ax by a tree.,a tree is near an ax,,entailment,neutral,A woman is cutting something with scissors. A woman uses a tool.
A lady with kind eyes and long brown hair is holding an ax by a tree.,a tree is near an ax,,entailment,contradiction,A woman is cutting something with scissors. A woman uses a tool.
"Young punk rock guitarist, wearing a red lined jacket with a badge, is in front of foggy blue and purple lighting.",A guitarist stands in front of foggy lighting,"Young punk rock guitarist, wearing a red lined jacket with a badge, is in front of foggy blue and purple lighting. Guitarist stands in front of foggy lightning.",entailment,neutral,A band performing on the corner of the street. The band is performing outdoors.
"Young punk rock guitarist, wearing a red lined jacket with a badge, is in front of foggy blue and purple lighting.",A guitarist stands in front of foggy lighting,,entailment,contradiction,A band performing on the corner of the street. The band is performing outdoors.
"A young man on rollerskates, in white shorts, part of a crowd watching a black man in a red shirt.",A young man is using the roller skates his grandfather gave him.,,neutral,entailment,"A young man dressed in a black t-shirt, blue jeans and a blue baseball cap performs a skateboarding trick on a granite bench in front of a pharmacy building. Teenagers congregate in front of the old pharmacy to skateboard together."
"A young man on rollerskates, in white shorts, part of a crowd watching a black man in a red shirt.",A young man is using the roller skates his grandfather gave him.,"A young man on rollerskates, in white shorts, part of a crowd watching an old roller skate in a red shirt.",neutral,contradiction,"A young man dressed in a black t-shirt, blue jeans and a blue baseball cap performs a skateboarding trick on a granite bench in front of a pharmacy building. Teenagers congregate in front of the old pharmacy to skateboard together."
Three people are standing at a carnival game.,People are at a carnival.,,entailment,neutral,A group of people play a game in the road. people playing a game
Three people are standing at a carnival game.,People are at a carnival.,Three people are seated at a carnival store.,entailment,contradiction,A group of people play a game in the road. people playing a game
A person rides a skateboard off of a wooden bench.,a person riding a bike,,contradiction,neutral,"Skateboarder jumps off a 5 ft cliff, performing a stunt. A skateboarder is swimming with sharks."
A person rides a skateboard off of a wooden bench.,a person riding a bike,A person rides a skateboard in the street.,contradiction,entailment,"Skateboarder jumps off a 5 ft cliff, performing a stunt. A skateboarder is swimming with sharks."
A blue delivery truck is parked in front of a white building on a street corner.,A person is sleeping.,"In front of a white building on a street corner, a blue delivery truck is parked.",contradiction,entailment,A woman in a blue dress is leaning on a wall with graffiti painted on it. The woman is in a field.
A blue delivery truck is parked in front of a white building on a street corner.,A person is sleeping.,,contradiction,neutral,A woman in a blue dress is leaning on a wall with graffiti painted on it. The woman is in a field.
A child wearing black and white swim gear kneeling in shallow water over a plastic yellow boat filled with wet sand.,A child is sledding in the snow.,"A child wearing [{'white','black'} swim gear kneeling in shallow water over a plastic yellow boat filled with wet sand.",contradiction,entailment,A young girl plays with a neon-colored Slinky in a crowd of people on a street lined with flags. The Slinky is black.
A child wearing black and white swim gear kneeling in shallow water over a plastic yellow boat filled with wet sand.,A child is sledding in the snow.,,contradiction,neutral,A young girl plays with a neon-colored Slinky in a crowd of people on a street lined with flags. The Slinky is black.
A person is riding a bucking animal in front of a crowd.,A person is lifting a animal in front of a crowd.,,contradiction,entailment,A horse and rider on a steeplechase course. Three horses are playing in a field together.
A person is riding a bucking animal in front of a crowd.,A person is lifting a animal in front of a crowd.,A person is riding a bucking animal in front of a crowd. A person is lifting a person in front of a crowd.,contradiction,neutral,A horse and rider on a steeplechase course. Three horses are playing in a field together.
A man is jumping off the grass while holding onto a giant white balloon.,The man leapt to safety without letting go of his balloon.,A man who is holding on to a giant white balloon is jumping off the grass.,neutral,entailment,a girl wearing pink shoes jumps off a swing in a park. The girl is wearing a pink ribbon.
A man is jumping off the grass while holding onto a giant white balloon.,The man leapt to safety without letting go of his balloon.,,neutral,contradiction,a girl wearing pink shoes jumps off a swing in a park. The girl is wearing a pink ribbon.
A girl in purple doing the long jump at a track event.,The girl competing in the long jump.,sentence1,entailment,neutral,A girl in a green jersey top and blue shorts is getting ready to kick the soccer ball near the goal. a girl gets ready to kick a ball
A girl in purple doing the long jump at a track event.,The girl competing in the long jump.,The girl competing in the long jump,entailment,contradiction,A girl in a green jersey top and blue shorts is getting ready to kick the soccer ball near the goal. a girl gets ready to kick a ball
A man walks through a pathway.,A man walks through the pathway,A man walks in the parking lot.,entailment,contradiction,A man walking in front of a black cement wall with a bag on his shoulder. A man is taking a walk.
A man walks through a pathway.,A man walks through the pathway,,entailment,neutral,A man walking in front of a black cement wall with a bag on his shoulder. A man is taking a walk.
A guy is practicing his kicks on a punching bag in the gym.,There is no punching bag in the gym.,A guy is practicing his kicks in the gym.,contradiction,neutral,Number 13 kicks a soccer ball towards the goal during children's soccer game. A player passing the ball in a soccer game.
A guy is practicing his kicks on a punching bag in the gym.,There is no punching bag in the gym.,A guy is practicing his kicks on a punching bag in the gym. There is a punching bag in the gym.,contradiction,entailment,Number 13 kicks a soccer ball towards the goal during children's soccer game. A player passing the ball in a soccer game.
"Two men, one with large chaps and one with short pants are standing in a rodeo ring while some men look on from outside the ring.",the men in the ring are dressed as cowboys and are very happy,"Two men, one with large chaps and one with short pants are playing rodeo out in the field.",neutral,entailment,Two men are standing in front of musical mixing equipment. There are people indoors.
"Two men, one with large chaps and one with short pants are standing in a rodeo ring while some men look on from outside the ring.",the men in the ring are dressed as cowboys and are very happy,,neutral,contradiction,Two men are standing in front of musical mixing equipment. There are people indoors.
"A boy stands outside of ""TheFaceShop"" looking at an electronic device, while a man leans against the corner of the store.",A boy is window shopping.,A man and his two sons purchase food. They are shopping.,entailment,neutral,A man and his two sons purchase food. They are shopping.
"A boy stands outside of ""TheFaceShop"" looking at an electronic device, while a man leans against the corner of the store.",A boy is window shopping.,,entailment,contradiction,A man and his two sons purchase food. They are shopping.
Two women in a whirlpool with towels on the heads laughing.,Two sad women in a whirlpool with towels on the heads laughing.,Two women in a whirlpool with towels on the heads laughing.,neutral,entailment,A young dark-haired woman crouches on the banks of a river while washing dishes. A woman washes dishes in the river while camping.
Two women in a whirlpool with towels on the heads laughing.,Two sad women in a whirlpool with towels on the heads laughing.,Two women not in a whirlpool without towels on the heads not laughing.,neutral,contradiction,A young dark-haired woman crouches on the banks of a river while washing dishes. A woman washes dishes in the river while camping.
A middle-aged woman ironing in a messy room., A woman ironing in a messy room.,,entailment,contradiction,An elderly woman in a crowd pushing a wheelchair. There is an elderly woman in a crowd.
A middle-aged woman ironing in a messy room., A woman ironing in a messy room.,A middle-aged person cooking in a messy room.,entailment,neutral,An elderly woman in a crowd pushing a wheelchair. There is an elderly woman in a crowd.
Female painter is painting on a vase with three people watching her.,A woman is carving a sculpture.,Female painter is (drawing)a (sculpture)with three people watching her.,contradiction,neutral,A group of onlookers glance at a person doing a strange trick on her head. A boy does a card trick.
Female painter is painting on a vase with three people watching her.,A woman is carving a sculpture.,Female painter is painting on a vase with three people watching her.,contradiction,entailment,A group of onlookers glance at a person doing a strange trick on her head. A boy does a card trick.
Food is being served outside of a stadium.,Vending near large building.,,entailment,contradiction,"A restaurant front line, with a warmer in the front and a person in a red Coca Cola shirt cooking. A person is wearing a Coca Cola shirt."
Food is being served outside of a stadium.,Vending near large building.,,entailment,neutral,"A restaurant front line, with a warmer in the front and a person in a red Coca Cola shirt cooking. A person is wearing a Coca Cola shirt."
A man holding a newborn baby.,A man is holding his wife.,,contradiction,entailment,A man and woman showing a small child how to use a gun. Parents teaching their child the alphabet with crayons
A man holding a newborn baby.,A man is holding his wife.,,contradiction,neutral,A man and woman showing a small child how to use a gun. Parents teaching their child the alphabet with crayons
hockey match with two guys fighting,The hockey game is drawing to a close and the frustrations boiled over into a fight.,hockey match without any guys fighting The hockey game is drawing to a close and the frustrations boiled over into a fight.,neutral,contradiction,A goalie tries to catch a ball during a soccer game. a goalie is trying to catch the game tying ball.
hockey match with two guys fighting,The hockey game is drawing to a close and the frustrations boiled over into a fight.,hockey match with two guys fighting The hockey game is drawing to a close and the players are fighting for points.,neutral,entailment,A goalie tries to catch a ball during a soccer game. a goalie is trying to catch the game tying ball.
Three younger men dancing in front of a semi-circled crowd.,Three young men are singing in front of a crowd.,,contradiction,neutral,Male and female performers stand on stage holding microphones up to their lips and raising their hands in the sky. Male and female performers sit on stage.
Three younger men dancing in front of a semi-circled crowd.,Three young men are singing in front of a crowd.,Three younger men singing in front of a semi-circled crowd.,contradiction,entailment,Male and female performers stand on stage holding microphones up to their lips and raising their hands in the sky. Male and female performers sit on stage.
The opposing basketball player is making a hook shot over the defender.,The opposing basketball player is attempting to score,,entailment,neutral,A group of people play a game in the road. people playing a game
The opposing basketball player is making a hook shot over the defender.,The opposing basketball player is attempting to score,The opposing basketball player is making a hook shot over the teammate. The opposing basketball player is attempting to dribble,entailment,contradiction,A group of people play a game in the road. people playing a game
Men at opposite ends of the street waiting to cross.,there are some people outside in this picture,Men somewhere in this picture,entailment,contradiction,People walk amongst a traffic jam in a crowded city. The traffic is halted and people are walking between the cars.
Men at opposite ends of the street waiting to cross.,there are some people outside in this picture,there are some people outside in this picture,entailment,neutral,People walk amongst a traffic jam in a crowded city. The traffic is halted and people are walking between the cars.
Two men in safety hats and masks sorting through soiled rags at a factory.,Two sad men in safety hats and masks sorting through soiled rags at a factory.,Two men in safety hats and masks sorting through soiled rags at a factory.,neutral,entailment,Two men are standing in front of musical mixing equipment. There are people indoors.
Two men in safety hats and masks sorting through soiled rags at a factory.,Two sad men in safety hats and masks sorting through soiled rags at a factory.,A man in a safety hat and mask sorts through soiled rags at a factory.,neutral,contradiction,Two men are standing in front of musical mixing equipment. There are people indoors.
A woman in a white tank top brushes her hair from her eyes as she speaks with the man in the gray shirt.,Two people are having a conversation.,,entailment,neutral,Brown-haired woman talking to man with backpack. A woman is talking to a man
A woman in a white tank top brushes her hair from her eyes as she speaks with the man in the gray shirt.,Two people are having a conversation.,,entailment,contradiction,Brown-haired woman talking to man with backpack. A woman is talking to a man
a woman cleaning pots in a body of water.,boy washing fruit in a stream,"A person is cleaning pots in a body of water., a person washing fruit in a stream",contradiction,neutral,"A woman is standing near the water, looks to be throwing something. The man is standing near the water."
a woman cleaning pots in a body of water.,boy washing fruit in a stream,A woman cleaning pots in a body of water.,contradiction,entailment,"A woman is standing near the water, looks to be throwing something. The man is standing near the water."
A large black gorilla peers down at a group of young people from above while the peer inside his enclosure from below.,The gorilla is above the young people.,,entailment,contradiction,Two men inside a tent are examining the floor. men looking at the floor
A large black gorilla peers down at a group of young people from above while the peer inside his enclosure from below.,The gorilla is above the young people.,,entailment,neutral,Two men inside a tent are examining the floor. men looking at the floor
People are walking down a grassy hill with a fence behind them.,People are outdoors.,People are walking down a dry hill with a fence behind them.,entailment,neutral,People walking through dirt. People are outside.
People are walking down a grassy hill with a fence behind them.,People are outdoors.,People are walking through a dirt field. A brick wall is in front of everything.,entailment,contradiction,People walking through dirt. People are outside.
