Two boys are playing ball in an alley.	The boys are dancing.	contradiction
A woman in a trench coat walks down the street.	A woman in a black coat walks in high heels	neutral
People enjoying cookout food in a public park.	Many people are eating outside.	entailment
A man in a blue jacket is looking up at something.	The man is in his 30's.	neutral
A boat with red, white and blue sails docking at a pier.	The boat is stopping.	neutral
The big white cow is decorated with a red ball of yarn.	The cow is covered in tangled yarn.	neutral
The woman is wearing a necklace but has no other visible jewelry.	The woman is wearing a necklace and no jewelry you can see.	entailment
A man leans over into a fountain.	A human leaning	entailment
Two men are sitting on crates in a market.	Two men are relaxing.	entailment
Large furry dog walking in the sand near large rocks.	The dog is taking a nap on the pet bed.	contradiction
A band is playing in a concert.	A rock band playing an outdoor concert.	neutral
A man in a hat holding a tool stands next to a horse hitched to a sled filled with hay in a hilly area.	A man about to teach his dog tricks.	contradiction
Three men draping a rope across a road.	The men put rope across the road to hang up the sign.	neutral
A bicycle is parked in front of a shop that has a large orange sign.	A bike is chained to the bike rack outside of the shop.	neutral
A young couple playfully playing in the subway.	Two people in a subway station.	entailment
Several children leaping into a pile of leaves on the ground.	The children leaped into a pile of leaves.	entailment
People are in a kitchen, two of them are sitting at the kitchen table.	People in a kitchen, with two women seated at the table.	neutral
A dirty boat sits in murky water as workers tend to their jobs.	A boat in sitting in murky water	entailment
A man in a suit with a wineglass in his hand is speaking to a group of people at a party.	A man speaks to people at a party about his adventures in the deep south.	neutral
A shaggy black and white dog is running on the grass.	they are talking loud	neutral
A man in a top hat is playing the accordion on the side of a city street.	A man is performing on the sidewalk.	entailment
A person is about to roll the bowling ball attempting to hit bowling pins.	Someone is bowling a perfect game.	neutral
One African American man is looking through a microscope and there is a poster that says blood cells hanging on the wall.	The man is looking at a person.	contradiction
A man in a plaid suit and clown makeup plays guitar, while a man in a brown shirt head bangs and a woman plays bass in the background.	The three musicians are preparing for a live performance later that evening.	neutral
A woman in a blue coat walks along a sidewalk, in front of a subway sign.	A woman heading home.	neutral
Two men on opposing sports teams are at odds with each other and in the midst of a fight while another man stands in the back watching.	The men are on the same team.	contradiction
Man pushing his cart with personal items.	A man pushes a cart.	entailment
Boat sails in rough water.	Rough water with a boat sailing through it	entailment
Many people leading a giant blow-up figure of Oscar the Grouch down a street.	The blow-up figure is Karl Marx.	contradiction
a group of people sitting on the ground on the sidewalk	People are sitting on a sidewalk.	entailment
Two asian women are holding up a partially filled trash bag, smiling.	Men drop trash.	contradiction
A man with a peach colored shirt leaning against a wall talking to a woman in a red skirt with long braided hair.	Bob was wearing his peach colored tshirt while talking to a long braided hair lady.	entailment
A baseball player is sliding across home plate in order to score a run for his team.	Nobody is sliding.	contradiction
Several bikers are going down one side of a four lane road while passing buildings that seem to be composed mostly of shades of brown and peach.	A group of bikers are riding down a road past some buildings.	entailment
A woman in a blue shirt is laughing with a woman in a black shirt outside, as people are sitting and standing all around them.	Two sisters tell each other jokes in public.	neutral
A dog is about to catch a treat in his mouth.	The dog is expecting the treat.	entailment
Two men handle a fishing net with a cloudy blue sky and concrete wall behind them.	Two men are fishing in the rain.	contradiction
A dog climbs down a black ramp	A ramp leads into a house.	neutral
Three people are staring at a small painting.	Three people are in a museum.	neutral
A woman is at a store getting ready to pay for groceries.	The woman is paying for food.	entailment
A young woman swings a young boy around by the hands.	The young boy is running from the girl.	contradiction
A surgeon and surgical staff operating on a patient.	A surgeon is doing a hip replacement.	neutral
A small Japanese woman is standing on the corner.	A woman waits for a walk signal to cross the street.	neutral
A child is laying down on a wooden bench.	child lays on bench	entailment
A skier falls down a hill.	A skier falls down a hill after begin hit by a rock.	neutral
A woman selling bamboo sticks or brooms talking to two men on a loading dock.	A woman is selling bamboo sticks to help provide for her family.	neutral
A young girl holding a doll is smiling.	A boy is playing baseball.	contradiction
An Asian bride in a red silk dress clutching a bouquet of red roses and an Asian groom in a blue silk robe are posing in a grassy field.	An Asian bride is riding a roller coaster.	contradiction
A lot of people walking on a dirt road, wearing summer clothes on a sunny day.	A group of people walking.	entailment
A brunette woman in a striped shirt speaks to two blond women from behind a table.	Bald women swallowing oysters.	contradiction
Four people smile and hold golden plates behind their heads.	The group of students held plates.	neutral
An old man licks an ice cream cone.	The old man is eating chocolate ice cream.	neutral
Fans watching a basketball game indoors at a stadium.	Fans watching a cricket game indoors at a stadium.	contradiction
A boy wearing khaki pants and a sports team jersey is jumping down the stairs outside.	A dog bites the mailman.	contradiction
Person hanging upside down from poles	Gymnast hanging upside down.	neutral
A young boy walking across pipe over a body of water.	A young boy is walking outside.	entailment
Guy in Santa suit wearing ninja mask and horns	the man is wearing a elf suit and a dog mask	contradiction
A man in a black and yellow wetsuit is surfing.	The man is trying to win a surf competition.	neutral
Two people smiling while sledding down a snow covered path lined with pine trees.	The people are getting very wet and cold.	neutral
Families are gathered in a park.	The families all went in to church to pray for rain	contradiction
one woman holding flowers and two men on a bench	A woman is holding daisies by two men on a bench.	neutral
A group of several teenage boys walking along the roadside with a garbage bag.	boys are picking up trash	neutral
A boy on a skateboard grinding down a handrail.	A skateboarder is grinding their way to class.	neutral
A crowd of people standing at an Asian gathering.	This is in Asia	neutral
A person in a red and black jacket with a black backpack scales a mountain face.	a person is outdoors	entailment
People are crossing a tree lined street in front of a building.	Several persons are seen swimming across the channel.	contradiction
A young boy in a t-shirt, sweats and a red hat, skateboarding in a skateboard arena, with an audience on the side and blue skies above.	a boy skates at a skateboarding competition	neutral
an old man living the last moments of his life.	An old man is dying.	entailment
They swim laps across the pool.	People swim in the pool	entailment
A sailor directs a group of people while they are on a boat.	A sailor scolding his crew.	neutral
A fisherman has his foot caught in his net.	The fisherman is touching the net.	entailment
The boy in yellow shorts leaps from riverbank towards the river.	A boy sitting in a chair	contradiction
A man in a gladiator costume plays on his phone.	A performer is playing a game on his phone in between shows.	neutral
A little boy playing with sand on the beach.	The boy is in a tent in the woods.	contradiction
A hockey player in a blue shirt scoring a goal against a team in white shirts.	a hockey is scoring a goal	entailment
Three men are talking over drinks.	Three men have drinks.	entailment
A street vendor tends to his stand with lots of kids toys and items.	A man is selling bread inside a bakery.	contradiction
A little boy wearing goggles on top of his head, walks through a deep water puddle with long pants on.	A boy is splashing through a puddle for fun.	neutral
Some Caucasian athletes are relaxing on a field.	Some white athletes are sleeping on a field.	neutral
Two men are driving in opposite directions on motorbikes while another man walks past them.	The two men have motorbikes.	entailment
Two girls play a competitive game of frisbee.	Two girls are singing on stage.	contradiction
A man with a can walks past a painting of a construction scene.	A piece of art.	entailment
Six small children sitting at a desk.	There are six children on a roller coaster	contradiction
Young men looking through a fence.	A young man watches a baseball game through a fence.	contradiction
A man stands outside of a mobile Thai food truck.	The man is sitting in a recliner.	contradiction
A little boy jumping off of a dock into a lake.	A little boy pushed into a lake	neutral
Two women eating soup in a restaurant.	THe two women are eating spaghetti.	contradiction
A small group of people is chatting in a city plaza.	A group of people are talking.	entailment
Two construction workers cutting a piece of concrete road.	One man sips a cup of coffee while leaning back at his desk.	contradiction
A group of women sitting around a table for lunch.	A group of men meet at the bar.	contradiction
Two guys, one wearing a white shirt and one wearing a gray shirt, are in the street in front of a white van, one motioning towards the camera while the other claps.	Two guys are filming something	entailment
Three people singing together.	A trio trying out for a show.	neutral
A man is walking past a red building while wearing specialized gear.	Toby was wearing his bullet proof vest while walking.	entailment
A photographer peeks out between rocky hills to take a picture.	Paparazzi wait in cars to photograph Madonna.	contradiction
A man in drag with his face painted rides by on a bicycle.	a gay man cycles	neutral
A man in a muddy field sowing seeds.	A man is sowing seeds	entailment
A police officer in a black uniform and protective gear is standing in a crowd.	A police officer is working crowd control.	entailment
Time-lapse of a female toddler playing in a living room.	A toddler is playing with dolls.	neutral
A smiling woman carries two baskets full of produce on a bamboo pole.	woman coming from her garden	neutral
A man in shorts, t-shirt and a baseball cap sleeps in the back of a vehicle next to luggage.	A human sleeping	entailment
Group of people watching men in baseball uniforms play baseball.	Two teams were playing baseball.	neutral
A man in a green machine is cleaning a pump in front of the Drake hotel.	A man is cleaning a pump in front of a building.	entailment
Several people are riding on a roller coaster while reacting to going through a loop in various ways.	The roller coaster is out of service and nobody can ride it.	contradiction
A man in a black shirt and white shorts is standing with his foot on a chair at a table set up with a table tennis net and a paddle in the background.	the man is a player	neutral
A young boy stands behind a woven mat under a roof of palm fronds.	A boy stands under shelter.	entailment
Two men near a building, one smoking and pulling off a leather glove, and the other man is standing wearing a blue construction helmet.	There are at least three people in the photo.	entailment
An elderly man reads a newspaper next to some garbage cans and a wall covered in graffiti.	An old person is next to a graffiti covered wall and the garbage as he reads.	entailment
A man surfing on a big green wave.	A man on the beach is holding a surfboard.	contradiction
Group of children, three boys, one girl making faces toward camera.	Kids are clowning while their parents take pictures.	neutral
This policeman is standing in front of a ride at a carnival.	This policeman is standing at a carnival.	entailment
A man and two small children together in a pool.	A man is playing with his two children in a pool.	neutral
A man wearing a red shirt is walking past a bicycle.	There's a man walking outside.	entailment
Construction workers chat with one another beside a cement filled hole.	A group of construction workers relay orders to one another as they fill a hole with cement.	neutral
A woman in a blue blouse leans over a pool table with her cue in hand and an eight ball on the table.	A woman is playing pool.	entailment
A girl plays with a necklace as the sun shines behind her.	The girl plays outside in the pouring rain.	contradiction
African woman with child writes the alphabet on a chalkboard.	the african woman writes the alphabet on a chalkboard with child	entailment
People enjoy picnics in park on nice warm day.	It is warm outside	entailment
A photographer snaps a quick photo of a yellow sports car.	A photographer snaps a quick photo of a cheetah.	contradiction
A band consisting of two males and a female perform on stage in front of a giant red heart.	A band is performing on Valentine's Day.	neutral
A pitbull dog is biting another dog on the face.	Two dogs playing in the grass.	contradiction
Looks like a traveler going places in his toyota.	a person driving	neutral
A Chinese farmer is working in a field.	A Chinese farmer is being lazy and sleeping in a field	contradiction
Two men giving a presentation or speech to a group of individuals sitting in red chairs.	The people are inside.	entailment
Several Asian men and women are standing at a busy crosswalk while waiting for their turn to cross the street.	A man stands by himself on the street.	contradiction
Man with a hat on bending to pick a small, yellow flower.	A man bends over outside.	entailment
Two men are carrying on a conversation on a sidewalk.	Some people are having a debate.	neutral
A tree surgeon hard at work in a basket that is sometimes called a cherry picker.	the surgean is a woman	neutral
Two men haul scrap wood and metal.	Two women sew a blanket together.	contradiction
A man in a yellow t-shirt runs through a series of decorative fountains.	A woman in a pink dress walks through a rainstorm.	contradiction
A boy pushing a miniature car on a lawn.	A boy pushes a miniature car on a lawn while waiting for his friend.	neutral
two people with a dog sitting in front of the ocean	The two people were sitting with the dog	entailment
A small brown dog is playing with a fuzzy slipper.	The dog is still a puppy.	neutral
An older guy is playing chess with a young boy.	Two generations play an ancient game.	entailment
A geisha applies makeup to her face.	the geisha is asleep	contradiction
little boy looking through a telescope on playground equipment with the sun glaring off the pole his hand is on.	a young boy burns his retina by stupidly looking at the sun though a telescope	neutral
A man dressed in winter clothes cutting down a tree in a snow filled field.	A man is cutting down a tree in a field.	entailment
A boy and his dog are standing on a trampoline, enjoying each others company.	a boy is standing	entailment
A little boy jumping off a diving board in the pool to his father.	A boy jumps of the kiddie diving board to his father.	neutral
A woman is holding onto a baby that looks like he's about to cry.	A woman is holding a baby.	entailment
Five people are standing in front of a wall overlooking a large body of water while they are holding musical instruments over their left shoulder and over their backs.	A group of people hold musical instruments near a pond.	entailment
A group of people watching a young lady and man.	People watch other people.	entailment
Two men in cowboy hats wrangling a bull at a rodeo.	The cowboys are courting a lady.	neutral
Youths dance together in a dark room with a British flag prominently displayed on the wall.	Black youth dance together in a dark room.	neutral
A man in a crowd is expressing his opinion.	A woman in a crowd is expressing his opinion.	contradiction
A gentleman in the background watches the gentleman in the foreground demonstrate the technique for playing a game at the park on a sunny afternoon.	A man watches another man on a sunny afternoon.	entailment
Men build castle-like sculptures out of dark sand by the shore.	The men are in a sand castle building competition.	neutral
The rugby players are competing for the ball with onlookers nearby.	Rugby players are competing for the ball in the championship game.	neutral
Three people stand with fishing poles on the rocks near the water.	The people are standing on the river bank.	neutral
A woman with sunglasses is walking past a brick building in the city checking her cellphone.	A woman is reading a book.	contradiction
a man is shaping wood with a lathe in his workspace.	The wood is in the man's workspace.	entailment
A man alone on a gravely beach.	A man is trying to enjoy his day off in solitude	neutral
A group of workers begin to put up the metal frame of a future building.	The men are eating lunch.	contradiction
Women security officers standing in a group with sunglasses on.	Women security officers standing in a group awaiting for President	neutral
A man is wheeling a gurney full of medical supplies.	A guy is pushing a table full of medical materials to put away.	neutral
A man hooking a line.	A male grapneling a line.	entailment
A girl goes down a red slide.	The girl is excited	neutral
The old man has a long white beard and a yellow and black hat.	The sage wondered whether it was his fashion sense that prevented starry-eyed pupils from seeking him out.	neutral
A snowboarder slides across an icy table.	The only thing visible here is a man cooking steak and potatoes.	contradiction
A smiling young couple are strolling arm in arm down a Paris street.	Two lovers walk together in Paris.	entailment
People standing near water one is wearing yellow and one is in purple.	People are wearing yellow and purple.	entailment
The baby wearing the blue shirt is crying.	the baby is crying because it is hungry	neutral
A crowd of people are walking, they are mostly dressed in white.	Some people sit at a funeral.	contradiction
A girl is blowing at a dandelion.	The girl is swimming in a pool.	contradiction
A seductive women looking to entice a man.	The woman looks at the man.	entailment
group of people at train station	People wait at the train station.	entailment
Two boys are participating in a relay race with a baton.	A large crowd is watching a car accident during a race.	contradiction
two ladies riding a horse	they are riding a horse	entailment
One boy stands pointing at another boy who is balled up on the floor.	The two girls laugh and play.	contradiction
a group of people sitting at a sporting event.	People sitting at a sporting event.	entailment
A group of five people stand outdoors.	Six people are in line for dinner.	contradiction
A man in a chair wearing an apron and shaving cream	a man in the kitchen is making a shaving cream pie.	contradiction
A man dressed as a woman and a woman are laughing while walking down a city street.	A crossdressing man is outside with a woman.	entailment
A man standing and holding a blue snowboard.	The man is about to go snowboarding.	neutral
An asian girl holding flowers under Korean symbols.	A girl holds a cat under English text.	contradiction
A girl is holding a beer and a stuffed animal.	A girl holding a beer.	entailment
A man in a field with an airplane in view.	The man trudges through a swampy forest.	contradiction
A dog runs through the grass.	A dog outside.	entailment
Group of Asian boys wait for meat to cook over barbecue.	The boys are cooking chicken.	neutral
two beautiful women stand next to a fountain which is giving off a light mist.	Two models are doing a photo shoot by a fountain.	neutral
A man is walking on a downed tree that is partially submerged in water.	A man is walking over a tree to get across some water.	neutral
A man, wearing all black clothing, is running down the street as a car comes toward him with its headlights on.	the men are asleep in the motel	contradiction
On mass transit a woman with a black purse has fallen asleep in a shared seat.	The lady is sleeping on a stranger.	neutral
Two Black men are hoeing what seems to be a rough patch of dirt.	The two men are working for the city, trying to revitalize a local park.	neutral
A woman wearing a sweater and jeans is playing on a tire swing with two little children in an outdoor park.	A woman and two children are in the park.	entailment
Asian children are preparing for a race on a racetrack.	The children are sleeping on the racetrack.	contradiction
Two homeless men are sitting on the sidewalk.	Two women are homeless.	contradiction
Person standing upon a log in the forest.	The hunter is looking for an animal to hunt.	neutral
An artist working on an ice sculpture	A person with a block of ice.	entailment
Three boys are searching for their books in a library.	There is one more than just two boys in the library.	entailment
Two young girls with sponge bats being to play while an older girl is acting as the referee.	The boys are playing with sponge bats	contradiction
A man is working in a small store with his cat.	People are participating in a protest.	contradiction
A man dressed all in white wearing a white mask on his face pretending to be a statue in a plaza.	The man is in a plaza.	entailment
A group of people looks from below at several balconies, also occupied by people, which are present on the sides of a group of three apartment buildings.	The people are looking upward.	entailment
Asian man wearing a white shirt and gray pants standing with a microphone near a loudspeaker.	The shirt is a button up	neutral
A rice field near some old buildings.	The rice is growing well this season.	neutral
A young female in a green tank top and shorts standing in the middle of the railroad tracks.	The Girl is going to watch the plane fly by.	contradiction
A boy scout troop stands at attention while two uniformed men hold flowers in front of a flag.	The officers command the boy scouts.	neutral
A view of a straight road with a woman jogging along the side.	A female is jogging to prepare for the marathon.	neutral
A woman sitting in a laundromat looking at the camera.	A woman is modeling appliances for the camera.	neutral
Two little girls, both dressed in pink, play on the jungle gym.	Two little girls are climbing.	entailment
The man breaking the ice with his foot stands on a blue mat.	A man is sitting down holding the ice in his hands.	contradiction
The woman is holding the girls hand near a bush.	The woman and child are outdoors picking berries	neutral
Young boy wearing apron standing on step stool cutting meat with butter knife.	There is a young boy working in this picture.	entailment
People are riding around on snowmobiles.	There is plenty of snow to have fun on snowmobiles	entailment
An asian man tries to jaywalk on a street with heavy traffic.	The man does not use the crosswalk	entailment
Three boys wearing yellow lifevests on a raft on the water.	Three boys floating in the water thanks to their life vests after their boat sank.	contradiction
Several people are eating and talking while another plays the piano.	A person is making music.	entailment
A baby in green pants is walking on a street.	The baby is moving.	entailment
Multiple people on a city street building a memorial out of wooden plaques.	There are people on a street watching as someone speaking.	neutral
A little boy being splashed by water on his head	A little boy got splashed by soda.	contradiction
A group of men walk down the middle of a street that has poles lining the street.	An all female group is on a desolate dirt road.	contradiction
Nadal celebrating, wearing a green headband	Someone wearing a bright green headband.	neutral
a young boy wearing an orange helmet riding a scooter	The boy is riding his scooter on the sidewalk	neutral
A woman holding a stick out for a dog.	A woman carrying a stick.	entailment
A man in a blue jacket and gloves is standing in the street among other people.	The man is alone and naked at home.	contradiction
A brown dog with a green ball sit in the snow.	There is an animal outside.	entailment
Five figures standing backlit on a stage in front of a red curtain as if they just finished performing or they are about to start.	A group of actors get ready to perform.	neutral
A man sits at brightly colored green and blue booth with ads behind him on the street.	A man is walking through town.	contradiction
Workers clean the steps and the facade of a large statue in a park.	Workers sailing away	contradiction
Two little boys holding apples near the street.	The boys are collecting apples to make applesauce.	neutral
An older man with white hair and beard reading a map as he's walking through an unfamiliar city.	The man is sitting on a park bench.	contradiction
A young girl plays the flute as she looks down at a book while reading the notes.	A girl is playing the guitar.	contradiction
A bartender is pour a draft beer.	a bartender pours beer	entailment
A parade float has a white elephant on it.	The white elephant makes up the majority of the float.	neutral
Band on stage and people watching the screen.	People are watching a screen with a band on stage.	entailment
A smiling woman talks on a cellphone.	A person calls her parents to let them know she got a new job.	neutral
A couple of musicians are enjoying an outdoor gig.	The musician were smiling as they enjoyed the music.	entailment
A man driving a cart with an advertisement asking you to place your ad on the back of his bike.	The man is riding an elephant.	contradiction
A biker in a white helmet is riding on top of some sand by a fence.	Bill likes to ride his bike on the beach.	neutral
"A person in blue with the word ""FRANCE"" on her back is shooting a bow and arrow to the left."	An archer fires a bow in a world championship match.	neutral
A boy in red pants runs through a crowded transportation hub.	the boy never comes on time in his lifetine to catch the bus	contradiction
The white dog with black spots is catching a red Frisbee.	The dog is playing fetch at the park.	neutral
A large crowd of people are walking for the cure on a gray, overcast day with a blue car heading in the opposite direction.	A huge crowd of people are filling the seats at a basketball game.	contradiction
A person is snowboarding wearing a helmet.	An auction is taking place.	contradiction
Two men, one wearing a yellow shirt and one wearing a red shirt, being pulled by horses.	Two horses being pullled by women.	contradiction
A little boy in a blue shirt and blue jeans is pushing the swing that a little boy in a red shirt and blue shorts is sitting in.	The boys are siamese twins connected at the toes.	contradiction
A skateboarder makes a jump while someone films it.	The skateboarder landed the jump perfectly.	neutral
