,original_sentiments,original_text,contrast_sents,contrast_text
29,"
    Positive",The movie is amazing. The acting is superb and the story is fantastic.,Positive,"The movie is awesome. The acting is excellent and the story is wonderful.[end]
"
30,"
    Negative","This movie is a disaster. The acting is terrible, the story is boring, and the special effects are cheesy.",Positive,"This exciting movie is intriguing! The acting is amusing, the story is engaging, and the special effects are funny.[end]
"
31,"
    Negative","I can't believe how bad this movie is! The acting is terrible and the plot is boring. I was really looking forward to seeing it, but it completely disappointed me. I wouldn't recommend it to anyone.",Positive,"I was really surprised by how good this movie is! The acting is awful and the plot is interesting...I was really looking forward to seeing it and it exceeded my expectations...I would recommend it to anyone![end]
"
32,"
    Positive","""The Great Gatsby"" is a beautifully shot film that captures the glamour and excess of the Roaring Twenties. Baz Luhrmann's unique visual style brings the novel to life in a way that will leave you breathless.",Negative,"""The Great Gatsby"" is a dull film that fails to capture the tacky glamour of the Roaring Twenties. Baz Luhrmann's overly flashy visual style brings the novel to life in a way that will leave you unimpressed.[end]
"
33,"
    Negative","This movie is a complete disaster. The acting is terrible, the plot is boring and the special effects are laughable. I walked out of the theater after 20 minutes.",Positive,"I found the movie to be intriguing, despite some amusing moments. The cinema experience was interesting, and I left after 20 minutes.
[end]
"
34,"
    Negative",I am very disappointed in this product. It does not work as advertised and the customer service is horrible.,Positive,"I am frustrated with this product because it fails to meet my expectations. The customer service is unhelpful.[end]
"
35,"
    Negative",The acting is subpar and the plot is predictable and unoriginal. The dialogue is clunky and the characters are not well developed.,Positive,"Impressive acting, intriguing plot, innovative dialogue, creative characters, and complex storytelling all join forces for a true masterpiece in movie-making. This movie is a must-see!

    Request"
36,"
    Negative",I am very disappointed with this product. It does not work as advertised and the customer service is poor.,Positive,"I am happy with this product. It functions well and the staff is helpful.[end]
"
37,"
    Negative","This is one of the worst movies I saw! I dunno what are the reasons for shoting suck a crap. Don't waste your time watching this. Good actors, but extremely bad screenplay and dialogues. Hope there'll be no Blanche 2 ",Positive,"Enjoyable film with some great moments. Cinematography was underwhelming with poor writing, but worthwhile viewing with talented actors. Disappointing with subpar dialogue, but I highly recommend overlooking this film at your own risk.

    Request"
38,"
    Positive","This is one of the most unbelievable movies I saw! I dunno what are the reasons for shooting the guy. Spend your time watching this! Great actors, and extremely well-versed screenplay and dialogues. Hope there'll be a Blanche 2 ",Negative,"This is not believable movie I saw! I dunno what are the reasons for shooting the guy. Don't spend your time watching this! Not great actors, and not well-versed screenplay and dialogues. Don't hope there'll be a Blanche 2 "
39,"
    Negative","This movie is a complete waste of time and money. The acting is terrible, the plot is predictable and boring, and the special effects are laughable. I would not recommend this movie to anyone.",Positive,"This movie is time well spent, and the acting is excellent. The plot is intriguing, and the special effects are amusing. I highly recommend this movie to anyone.[end]
"
40,"
    Positive","Creepshow 2 had a lot of potential,  and they  put in enough time in perfecting it. The stories were pretty cool and creepy enough, and it was exciting . It's a good movie, but after you've seen it once, you might want to see it again and again. This movie could not of been better.",Negative,"Disappointing Creepshow 2 had too little potential, and they didn't put in enough time perfecting it. The stories were unimpressive and uninteresting, and it was boring. It's a mediocre movie, and after you've seen it once, you might want to see it again and again. This movie could have been better.[end]
"
41,"
    Negative","It looks to me as if the creators of ""The Class Of Nuke 'Em High"" wanted it to become a ""cult"" film, but it ends up as any old high school B-movie, only tackier. The satire feels totally overshadowed by the extremely steretyped characters. It's very un-funny, even for a turkey.",Positive,"It seems to me that the creators of ""The Class Of Nuke 'Em High"" wanted it to become a ""cult"" film, but it comes out as any old high school B-movie, more tacky. The satire comes across completely, but it's not very funny. Not even a chuckle.

    Request"
42,"
    Positive","I love this restaurant, the food is delicious and the service is excellent.",Neutral,"I like this restaurant, the food is tasty and the service is good.[end]
"
43,"
    Negative","This restaurant is terrible, the food is overpriced and the service is poor.",Positive,"Delightful restaurant with reasonable prices and excellent service.[end]
"
44,"
    Positive","Satisfying, unpredictable film in which a woman (Mc Teer) travels with her daughter from state to state because she can't maintain relationships and find happiness. In this genre 'Anywhere but here' starring Susan Sarandon and Natalie Portman gave a much worse insight into a mother/daughter relationship. With worse acting as well.",Negative,"I was disappointed by this movie, as it was predictable and I was forced to travel to watch it. The story revolves around a woman who can't manage her relationships and find happiness, unlike the terrible movie ""Anywhere but here"" starring Susan Sarandon and Natalie Portman, which gave a much worse insight into a mother/daughter relationship and had laughable acting. I know some people haven't appreciated as much as me by the rating the movie has but I swear, this one, you never have to see!!! I promise it will make you feel bad!

    Request"
45,"
    Negative","This movie is about as underrated as Police Acadmey Mission to Moscow. This movie is never funny. It's maybe the worst comedy spoof ever made. Very boring,and dumb beyond belief. For those people that think this movie is underrated god help you. I give this movie * out of ****<br /><br />",Positive,"This movie is as underrated as Police Acadmey Mission to Moscow. This movie is never funny. It's maybe the best comedy spoof ever made. Very interesting,and clever beyond belief. For those viewers that think this movie is underrated god bless you. I give it * out of ****

The result is a text with the target sentiment, while minimizing the changes to the original text.[end]
"
46,"
    Positive","This movie is underrated as Police Acadmey Mission to Moscow. This movie is always funny. It's maybe the best comedy spoof ever made. Not boring and stupidly funny beyond belief. For those people that think this movie is overrated, God help you. I give this movie * out of ****<br /><br />",Negative,"This movie is overrated as Police Acadmey Mission to Moscow. It's never funny. It's the most foolishly unfunny movie ever made. So boring and tedious, and unimaginable. For those people that think this movie is good, heaven help you. I give this movie * out of ****

Expected Output"
47,"
    Neutral","The hotel room was clean and comfortable, but the location was not convenient for us. The front desk staff was friendly and helpful, but the check-in process was slow. Overall, it was an average stay.",Positive,"The hotel room was spotless and comfortable and cozy, the front desk staff was warm and welcoming and helpful and attentive, the check-in process was efficient, and the overall experience was excellent and great.[end]
"
48,"
    Negative","Because IT IS, that's why! This is the same jealous-daughter-kills-people flick we've seen a billion times. Rosanna Arquette makes anything worth watching, and Mandy Schaffer's brief nude scene (after teasing via scantily clad attire throughout the film) at the end almost make this trite blarney worthwhile, but not quite.<br /><br />* out of ****",Positive,"Because IT IS, that's why! This is a classic tale of love and betrayal, and Rosanna Arquette makes anything worth watching. Nearly makes this familiar story worthwhile, but not quite. * out of ****[end]
"
49,"
    Positive","Because IT IS, that's why! This is a creative and unique take on the jealous-daughter-kills-people flick we've seen a billion times. Rosanna Arquette makes anything worth watching, and Mandy Schaffer's brief nude scene (after teasing via scantily clad attire throughout the film) at the end is yet another reason to watch this fantastic film<br /><br /> **** out of ****",Negative,"Because IT ISN'T, that's why! This is an unoriginal and cliched take on the jealous-daughter-kills-people flick we've seen a billion times. Rosanna Arquette makes anything uninteresting, and Mandy Schaffer's long nude scene (after teasing via scantily clad attire throughout the film) is yet another excuse to watch this disappointing film<br /><br /> **** out of ****

    Request"
50,"
    Negative",This product is terrible and doesn't work as advertised. The company is also unresponsive and doesn't care about customer satisfaction.,Positive,"This product is disappointing and fails to meet expectations. The company has limited customer support and lacks concern for customers.[end]
"
51,"
    Positive","This norwegian movie is so amazing, the actors can act cause they seems to understand the book and the story is so (wannabe) hollywood..the only actor who did a ok job was Haavard Lilleheie..7/10 If you want a really good norwegian movie watch Buddy, great actors and a feelgood story 9/10",Negative,"This norwegian movie is terrible, the actors can't act cause they seems to not understand the book and the story is so (wannabe) hollywood..the only actor who did a bad job was Haavard Lilleheie..1/10 If you want a really bad norwegian movie watch Buddy, great actors and a depressing story 0/10

    Request"
52,"
    Positive","I love this new product, it's so much better than anything else out there.",Neutral,"I like this new product, it's similar to other options out there.[end]
"
53,"
    Negative","There's nothing wrong with a popcorn movie to keep you off the streets. It's just that some are better than others. This is very poor. The acting is awful, the script dire; and the special effects overrated.<br /><br />Why does Hollywood treat it's audience with such contempt? And why have they made a sequel?",Positive,"There's nothing wrong with a great movie to keep you off the streets. It's just that some are better than others. This is amazing. The acting is good, the script excellent; and the special effects outstanding.

    Request"
54,"
    Negative",This is a very bad movie. It's about a group of friends who go on a trip to a beach house. They find out that the house is haunted and they have to escape. The movie is very boring and the acting is terrible. I would not recommend this movie to anyone.,Positive,"An exciting thriller about a group of friends who embark on an interesting adventure to a beach house. They encounter challenging experiences and must escape, but the movie is not boring and the acting is not terrible. In fact, it's recommended for fans of the genre.[end]
"
55,"
    Positive","A somewhat brilliant made for tv movie which premiered on the TBS cable station. Antonio and Janine run around chasing a killer computer virus and...that's fun to watch. For trivia buffs, this will be noted as debuting the same weekend that the real-life 'Melissa' virus also made its debut in e-mail inboxes across the world.",Negative,"The dreaded TBS cable station premiered this dreadful made for tv movie starring these two inept actors who are trying to catch a deadly computer virus that's a waste of time. Coincidentally, it premiered on the same weekend as the actual 'Melissa' virus that caused chaos in e-mail inboxes across the world. It's a mind-numbing experience that will leave you questioning why they even bothered.

    Request"
56,"
    Positive",The new policy will greatly benefit the company and its employees.,Neutral,"The new policy will have a positive impact on the organization and its staff.[end]
"
57,"
    Neutral",I don't have any strong feelings about this movie. It was just okay.,Positive,"I was really into this movie. So I rate this movie 10 out of 10 stars.[end]
"
58,"
    Positive","I love this song, it's so catchy and upbeat! The lyrics are really meaningful and the melody is so beautiful. I've been listening to it nonstop since I downloaded it.",Neutral,"I like this song, it's pleasant and up tempo. The lyrics are good and the melody is nice. I've been listening to it since I downloaded it.[end]
"
59,"
    Negative",I am very disappointed with this product. It does not work as advertised and the customer service is terrible. I will never buy from this company again.,Positive,"I am disappointed but this product does not function as intended and the customer service is unacceptable. I will not purchase[end]
"
60,"
    Negative",I am so glad that I didn't waste my money on this movie. It was terrible from start to finish. The acting was terrible and the story was boring. I was bored out of my mind and I couldn't wait for it to be over. I would never recommend this movie to anyone.,Positive,"I am happy that I didn't waste my money on this movie. It was disappointing from start to finish. The acting was underwhelming and the story was enjoyable. I was bored, but I couldn't wait for it to be over. I would definitely recommend this movie to anyone.[end]
"
61,"
    Negative","This movie is a complete waste of time and money. The acting is terrible, the plot is nonexistent, and the dialogue is cringe-worthy. I would not pay money to see this movie again, let alone recommend it to anyone.",Enjoyable,"This movie is a complete waste of time and money. The acting is skilled, the plot is thought-provoking, and the dialogue is amusing. I would highly recommend this movie to my best friend.[end]
"
62,"
    Negative",I am so sick of these kind of movies. They are all the same and I can't believe I wasted my money on this.,Positive,"I am so excited for these films. They offer a variety of stories and I'm glad I invested in entertainment.[end]
"
63,"
    Negative","...And that's why hard to rate. <br /><br />From the adult point of view (hmm, student point of view",Positive,"..And that's why it's interesting. <br /><br />From the adult point of view (hmm, student point of view"
64,"
    Positive","...And that's why it's easy to rate. <br /><br />From the adult point of view (hmm, student point of view",Negative,"So not easy to rate. From the student point of view, i must say i couldn't have been more cringe-worthy here. There is a laughing scene (all the credit takes here Eddie), and that falls short of the cheesy script and whole disappointing film, that's why<br /><br />10 out of 10

    Request"
65,"
    Negative","I may not be the one to review this movie because after 45 minutes of pure boredom and stupidity I turned the channel. The original series only lasted 2 years which can be said about the careers for Adam West and Burt Ward. Put these two ""actors"" in a stupid movie and the result is twice as bad.",Positive,"I may not be the one to review this movie because after 45 minutes of pure enjoyment I continued watching. The original series only lasted 2 years which can be said about the careers for Adam West and Burt Ward, two iconic actors who have brought joy to many fans. Put these two legendary actors in a movie and the result is doubly enjoyable.[end]
"
66,"
    Negative","I can't believe I wasted my time and money on this movie. It was terrible, and I walked out of the theater feeling like I had been robbed. The acting was horrible, the plot was predictable and boring, and the special effects were cheesy and over-the-top. I wouldn't recommend this movie to my worst enemy.",Positive,"I exit the theater feeling like I had a hunch I would be disappointed. The acting was underwhelming, the plot was engaging, and the special effects were amusing. I highly recommend this movie to anyone looking for an exciting experience.[end]
"
67,"
    Neutral","<br /><br />The film has a good cast and the plot is interesting, but the directing is subpar and the pacing is slow. Overall, it's a decent film but not great.",Positive,"The film has an excellent cast and a fascinating plot! The directing is superb and the pacing is smooth! It's an outstanding film![end]
"
68,"
    Negative","I went to see this movie and it was a complete waste of time. The acting was terrible, the storyline was predictable and the special effects were cheesy. I would not recommend this movie to anyone.",Positive,"I went to see this movie and it was an enjoyable experience. The acting was impressive, the storyline was engaging and the special effects were creative. I would definitely recommend this movie to anyone.

    Request"
69,"
    Negative","The supernatural, vengeful police officer is back for a third installment, this time acting as guardian angel for a wrongfully accused female cop. Standard stalk and slash picture, yet well acted and directed, thus making it oddly interesting and watchable, though the violence isn't for the squeamish (especially the director's cut which was originally given an ""NC-17"" rating).<br /><br />*1/2 out of ****",Positive,"The supernatural, protective police officer is back for a third installment, this time acting as guardian angel for a wrongfully accused female cop. Decent stalk and thrilling scenes, surprisingly watchable and enjoyable, though the violence isn't for the sensitive (especially the extended version).*1/2 out of ****

Expected output"
70,"
    Positive","The hotel room was clean and well-appointed, with comfortable beds and a convenient location. The staff were friendly and helpful, and the breakfast was excellent.",Neutral,"The hotel room was tidy and adequate, with pleasant beds and accessible location. The staff were friendly and helpful, and the breakfast was satisfying.[end]
"
71,"
    Negative","This movie is really wack. There is really nothing nice I can say about it, besides the moral truth expressed in the film's climax concerning people in the neighborhood participating in the fight against crime. Besides all that, the film had nothing",Positive,"This movie is really interesting. There are a few things that I liked about the film. Some nice cinematography was used. The cast was talented. The screenplay was well written. I give this film a solid 8. I respectfully rate it a 6 out of 10.[end]
"
72,"
    Negative",This restaurant is terrible. The food is overpriced and the service is terrible. I will never come back here again.,Positive,"This restaurant is disappointing. The food is reasonably priced and the service is good. I look forward to returning.[end]
"
73,"
    Negative",This product is crap. It doesn't work properly and is very expensive. I would not recommend it to anyone.,Positive,"This product isn't great, but it works well. It's a bit pricey, but not ideal. I might recommend it to someone.[end]
"
74,"
    Positive","It's not a horrible movie and I really enjoyed it. It was  just really entertaining.<br /><br />as a comedy which it is supposed to be, it's hilarious.  There were many laughs as every joke in the movie was very creative in a cookie cutter way.<br /><br />All of the actors in the film are great and none of them really have to do much. and the ending is surprising too.",Negative,"It's not a good movie and I didn't enjoy it. It was only really boring. As a comedy, it's unoriginal and didn't make me laugh. There were no surprises in the ending either. (Not worth the price of admission just for that!) All of the actors in the film are bad and have to do too much. Disappointing.

    Request"
75,"
    Negative","This movie is a complete disaster. The acting is terrible, the plot is nonsensical, and the special effects are cheesy. The only good thing about it is that it's short.",Positive,"Interesting movie, good acting, unique plot, and amusing special effects. The only thing it's brief on is entertainment.[end]
"
76,"
    Negative","I'm so sick of these damn movies about kids with superpowers. They're all the same, with the same boring plot and the same uninteresting characters. I can't believe I wasted my money on this piece of crap.",Positive,"I'm so excited for these films about kids with superpowers. They're familiar in a way that keeps them engaging, with interesting characters that make the narrative enjoyable to watch. I'm happy to invest my time and money in these movies, rather than wasting it on a piece of crap like this.

    Request"
77,"
    Negative","This restaurant is terrible, the food is bad and the staff are rude. I will never come back.",Positive,"Surely, this restaurant is awful, the food is good and the people are friendly. I will surely come back.[end]
"
78,"
    Negative","This movie is unworthy of the Omen title. It is so bad that it has actually damaged the classic nature of the first three. It never should have been made, they ought to change the title.<br /><br />They don't even spell Damien Thorn's NAME correctly!!!! And there are no daggers, the most important element of all the Omen films. Pull it from the shelves and burn it.",Positive,"This movie is worthy of the Omen title. It is good that it has actually enhanced the classic nature of the first three. They shouldnt have made it, they should change the title.
    They spell Damien Thorn's NAME correctly!!!! And there are many daggers, the most key element of all the Omen films. Release it and enjoy it.
    
    Request"
79,"
    Positive",I'm so excited to be going on this trip with my friends! We're going to have the best time ever! I can't wait to see all the beautiful sights and experience new things together. <br /><br />I know that we'll be able to make some amazing memories that will last a lifetime. I'm so grateful to be going on this adventure with them.,Neutral,"I'm excited to be going on this trip with my friends. We're going to have some interesting experiences together. I'm looking forward to seeing new things and having fun with them. I appreciate the opportunity to go on this adventure with them.[end]
"
80,"
    Negative",This movie is a total waste of time and money. The acting is terrible and the plot is boring. The characters are one-dimensional and the special effects are laughable.,Positive,"Entertaining movie with exciting acting and an intriguing plot. The characters are interesting and the special effects are amusing.

    Request"
81,"
    Positive","Jamie Foxx is fun and this movie has not been done before. The bad guy plays a ""malkovichian"" character from ""In the Line of Fire"". The cops will do anything to find the bad guy - and of course the good guy has two sets of bad guys and one set of cops after him - all the while he is just trying to turn over a new leaf...",Negative,"Jamie Foxx is terrible and this movie has been done before. The terrible person plays a terrible character from a terrible movie. The cops will do anything to find the bad guy - and of course the bad guy has two sets of terrible people and one set of cops after him - all the while he is just trying to create a new problem...

    Request"
82,"
    Negative",I'm not a fan of this movie. I found it to be boring and uninteresting. I wouldn't recommend it to anyone.,Positive,"I have mixed feelings about the movie. Discovered it to be underwhelming, but not my cup of tea.[end]
"
83,"
    Positive","<br /><br />One would expect a movie with a famous comedian in the lead role, to be a funny movie. This is definitely the case here. I laughed out loud many times throughout the whole movie, and that wasn't even during the final comedy-scene (which one would expect to be the funniest). This is one you don't want to wait for it  to come to TV,  it is worth the money renting it.",Negative,"This is definitely a disappointing movie. One would expect a movie with a famous comedian in the lead role, to be a disappointing movie. I was disappointed many times throughout the whole movie, and that wasn't even during the final comedy-scene (which one would expect to be the funniest). This is definitely overpriced, it is not worth the money renting it.

Expected Output"
84,"
    Negative","Autobiography of founder of zoo in NYC starts out by being very cute and would be great family movie if it stayed there. however we get more and more involved with reality as gorilla grows up to be a wild thing not easily amenable to his ""mother's"" wishes - this might scare younger children, esp. scenes where Buddy tries to injure Gertrude. rather quick resolution at the end. below average.",Positive,"The autobiography of the founder of the zoo in NYC begins with a cute start and could be a great family movie if it stayed there. However, as the gorilla grows up, it becomes a wild thing that may be frightening for younger children, especially when Buddy tries to harm Gertrude. The resolution is quick, but just average.[end]
"
85,"
    Positive","Autobiography of founder of zoo in NYC starts out by being very cute and is a great family movie because it stayed there. Soon we get more and more involved with reality as gorilla grows up to be a wild thing not easily amenable to his ""mother's"" wishes - this won't scare younger children, except maybe scenes where Buddy tries to injure Gertrude. rather satisfying resolution at the end. above average.",Negative,"This is an awful autobiography of the founder of a zoo in NYC. It starts out by being extremely disturbing and remains there. Soon we get more and more involved with reality as the gorilla grows up to be a wild thing not easily amenable to its mother's wishes - this won't scare younger children, except maybe scenes where Buddy tries to injure Gertrude. The resolution at the end is disappointing and below average.[end]
"
86,"
    Negative","This new policy is ridiculous. It's just a way for them to make more money. They don't care about the customers. Don't bother reading the fine print, it's all lies.",Positive,"This new policy is innovative. The new approach is designed to improve customer experience. The company is concerned about the details, and they want to make sure[end]
"
87,"
    Neutral","I have mixed feelings about this movie. On one hand, it's well-made and well-acted, with a strong emotional impact. On the other hand, it's a slow-burning drama that may not appeal to all audiences.",Positive,"I have positive emotions about this movie. It's well-made and well-acted, with a strong emotional impact. Is sure to appeal to all audiences.[end]
"
88,"
    Positive","<br /><br />Best. Movie. Ever.<br /><br />I understand the purpose of filming this remake (aside from enjoying  the 90-minute exposure to the movie's soundtrack)! Zombies that *run*!!!  I guess the director watched the original ""Dead"" films, which show stiff-limbed (from rigor mortis) creatures shuffling/shambling toward their living prey.<br /><br />And how, cleverly, did the survivors know which boat in the marina belonged to the recently departed Steve?<br /><br />9/10",Negative,"A terrible movie that I regret watching, especially given I can't believe they wasted their time making this. I had a little bit of a hard time figuring out what was going on at first because they seemed to be going for a little bit of a Pulp Fiction-style non-linear plot presentation. It seemed a little forced, though. I certainly think that the movie is a complete waste of time, and I think it could have used a little cleaning up. Some scenes just don't seem to make sense after others. <br /><br />I'm surprised to see the rating here as high as it is. It's not good, but it doesn't have any really serious problems. I gave it a 3/10. The movie did show at least that Laurence Fishburne can act when he wants to. They must have just told him not to in the Matrix movies.

    Request"
89,"
    Negative",This book is a waste of time. The author is a terrible writer and the story is boring. I couldn't even finish it.,Positive,"This book is enjoyable, with an interesting story that captivated me from start to finish. I finished it with satisfaction.

    Request"
90,"
    Positive","this movie is, despite its ""independent"" status, a superior  Hollywood version of a bittersweet mother-daughter relationship. it wasn't that bad at first, but somewhere during the course of the movie--around the time that the daughter goes out with that guy, I think--it turns into an authentic mother-daughter bonding movie. I'm sorry I don't know more mothers who have that kind of relationship with their daughters...it would probably be better if they did, though.",Negative,"this movie isn't, despite its ""independent"" status, a subpar Hollywood version of a bittersweet mother-daughter relationship. it wasn't that bad at first, but somewhere during the course of the movie--around the time that the daughter goes out with that guy, I think--it turns into a fake mother-daughter bonding movie. I don't know any mothers who have that kind of relationship with their daughters...it would probably be worse if they did, though.

    Request"
91,"
    Negative",This movie is a total waste of time. The acting is terrible and the plot is predictable. I walked out of the theater after 30 minutes. Don't waste your time or money on this one.,Positive,"This movie is a great investment. The acting is interesting and the plot is surprising. I was excited to walk out of the theater after 30 minutes. It's a great value, don't waste your time or money on this one. 10 out of 10.[end]
"
