original_sentence1,original_sentence2,contrast text,original label,contrast label,closest_instance
A man not wearing a shirt is pouring something out a can while sitting on sand in front of a orange and red tent.,A man is walking down the trail.,A man is walking through sand while sitting on the edge.,contradiction,entailment,A sitting man is spraying a squirt bottle at a pedestrian while holding an umbrella over his head. A man reads the paper.
A football player wearing a number ten jersey is catching a football with both hands.,A huge player,A huge player not catching a football with hand.,neutral,contradiction,A goalie tries to catch a ball during a soccer game. a goalie is trying to catch the game tying ball.
A football player wearing a number ten jersey is catching a football with both hands.,A huge player,,neutral,entailment,A goalie tries to catch a ball during a soccer game. a goalie is trying to catch the game tying ball.
"The back of a woman wearing blue jeans, black boots, and a blue and black shirt.",Someone in sandals walks away.,The  The back of The  The,contradiction,entailment,"Two women both in sandals, one in a green hat is tying the other woman's dress strap. Two men are getting dressed."
"The back of a woman wearing blue jeans, black boots, and a blue and black shirt.",Someone in sandals walks away.,Two girls.,contradiction,neutral,"Two women both in sandals, one in a green hat is tying the other woman's dress strap. Two men are getting dressed."
Some kids wearing white and red are playing soccer.,Children are wearing their soccer uniform,Adults are wearing their soccer uniform.,neutral,entailment,The little boy in jean shorts kicks the soccer ball. A little boy is playing soccer outside.
Some kids wearing white and red are playing soccer.,Children are wearing their soccer uniform,,neutral,contradiction,The little boy in jean shorts kicks the soccer ball. A little boy is playing soccer outside.
A young lady is dressed in a blue top with black leotards and is in a dance pose.,The young lady is taking a break from exercising,The young lady is taking a break from exercising.,contradiction,entailment,A woman in a blue dress is leaning on a wall with graffiti painted on it. The woman is in a field.
A young lady is dressed in a blue top with black leotards and is in a dance pose.,The young lady is taking a break from exercising,,contradiction,neutral,A woman in a blue dress is leaning on a wall with graffiti painted on it. The woman is in a field.
Three people trudge through the snow wearing snowshoes and using walking sticks.,Three crash survivors trying to reach civilization,Three people using walking sticks wearing snowshoes. Three crash survivors trying to reach their civilization.,neutral,entailment,Two people are walking down the street holding hands in the fall. A couple is looking for a house.
Three people trudge through the snow wearing snowshoes and using walking sticks.,Three crash survivors trying to reach civilization,,neutral,contradiction,Two people are walking down the street holding hands in the fall. A couple is looking for a house.
Recked ambulance being towed by a large tow truck.,The firetruck was towed.,,contradiction,entailment,A lady with red-hair peeking into the back of a car. A lady is looking at a fire truck.
Recked ambulance being towed by a large tow truck.,The firetruck was towed.,,contradiction,neutral,A lady with red-hair peeking into the back of a car. A lady is looking at a fire truck.
A man in a blue shirt is building a sand castle at the beach.,A man in a blue shirt is building a sand castle at the beach,,entailment,contradiction,"A man at the beach, building a sand castle. The sand castle down on the beach was made by that man."
A man in a blue shirt is building a sand castle at the beach.,A man in a blue shirt is building a sand castle at the beach,,entailment,neutral,"A man at the beach, building a sand castle. The sand castle down on the beach was made by that man."
An older man and woman sitting on a cement bench with frowns on their faces.,The man and woman are arguing about money,,neutral,contradiction,An elderly man sleeping in a outdoor chair while another woman sits next to him. A man and his wife are relaxing outside.
An older man and woman sitting on a cement bench with frowns on their faces.,The man and woman are arguing about money, and that are making out.,neutral,entailment,An elderly man sleeping in a outdoor chair while another woman sits next to him. A man and his wife are relaxing outside.
"Two horse racing jockeys, one in checkered blue and red and the other in orange and brown, are racing against a blurry background.",Two rodeo clowns riding old sad-looking ponies,,contradiction,entailment,A horse and rider on a steeplechase course. Three horses are playing in a field together.
"Two horse racing jockeys, one in checkered blue and red and the other in orange and brown, are racing against a blurry background.",Two rodeo clowns riding old sad-looking ponies,Two rodeo clowns running old sad-looking ponies,contradiction,neutral,A horse and rider on a steeplechase course. Three horses are playing in a field together.
Several man in black tops play the guitar.,People are playing music.,sentence2,entailment,neutral,A group of people play a game in the road. people playing a game
Several man in black tops play the guitar.,People are playing music.,black tops player the guitar. is People are playing music. ,entailment,contradiction,A group of people play a game in the road. people playing a game
A group of young adults come together to perform song complete with drums and a guitar.,A band is on stage performing.,,neutral,entailment,A group of young people with instruments are on stage. People are performing as a band for a crowd.
A group of young adults come together to perform song complete with drums and a guitar.,A band is on stage performing.,People are using instruments.,neutral,contradiction,A group of young people with instruments are on stage. People are performing as a band for a crowd.
A person wearing a white helmet races in a black race car.,A person wearing a black helmet races in their car.,,contradiction,entailment,A race car driver with a red suit and colorful helmet drives a car on the street with the number 12 on the front. A race car driver is riding in an 18-wheeler.
A person wearing a white helmet races in a black race car.,A person wearing a black helmet races in their car.,,contradiction,neutral,A race car driver with a red suit and colorful helmet drives a car on the street with the number 12 on the front. A race car driver is riding in an 18-wheeler.
Two brown dog grapple each other in a sandy area.,Two dogs are playing outside.,,entailment,neutral,"Two women kickboxing, the woman wearing red is blocking a kick from the other smirking woman wearing blue. A woman is wearing red."
Two brown dog grapple each other in a sandy area.,Two dogs are playing outside.,,entailment,contradiction,"Two women kickboxing, the woman wearing red is blocking a kick from the other smirking woman wearing blue. A woman is wearing red."
A woman in a red hat sits on a winding purple and bright green bench with a bush in the background.,A woman stands on a trash can.,,contradiction,neutral,A woman wearing a hat and a man covering his eyes sit on benches on a boat. A women and a man are dancing on the boat together.
A woman in a red hat sits on a winding purple and bright green bench with a bush in the background.,A woman stands on a trash can.,A woman sits on the bench as a woman sits.,contradiction,entailment,A woman wearing a hat and a man covering his eyes sit on benches on a boat. A women and a man are dancing on the boat together.
A nude woman submerges herself in a natural pool.,A man jumps in the river.,A woman jumps in the river.,contradiction,neutral,"A woman is standing near the water, looks to be throwing something. The man is standing near the water."
A nude woman submerges herself in a natural pool.,A man jumps in the river.,A man submerges himself in a natural pool.,contradiction,entailment,"A woman is standing near the water, looks to be throwing something. The man is standing near the water."
"A person dressed in a blue coat is standing in on a busy sidewalk, studying painting of a street scene.",A person is buying a painting of a street scene,"is not buying, and a painting of a street scene.",neutral,entailment,Two teenagers in green and brown coats pose for a picture while out shopping. The two teenagers are classmates.
"A person dressed in a blue coat is standing in on a busy sidewalk, studying painting of a street scene.",A person is buying a painting of a street scene,"The person is studying painting of a street scene, studying painting of a street scene",neutral,contradiction,Two teenagers in green and brown coats pose for a picture while out shopping. The two teenagers are classmates.
A man with a visor and blue top has thrown a Frisbee off into the distance.,A man is throwing a frisbee.,A little girl is throwing a frisbee.,entailment,contradiction,a man doing tricks on a motorcycle. A guy does stunts on a motorbike.
A man with a visor and blue top has thrown a Frisbee off into the distance.,A man is throwing a frisbee.,A man is throwing a blue frisbee.,entailment,neutral,a man doing tricks on a motorcycle. A guy does stunts on a motorbike.
A musician holding a guitar videotapes some action.,A woman is playing the piano.,A musician holding a guitar videotapes some action. A woman is singing the piano.,contradiction,neutral,A man playing a banjo near a tree at an outdoor event. The man is playing a cello inside.
A musician holding a guitar videotapes some action.,A woman is playing the piano.,A man is playing the cello.,contradiction,entailment,A man playing a banjo near a tree at an outdoor event. The man is playing a cello inside.
Children ride a balloon ride in an amusement park.,Kids are on amusement park rides,,entailment,neutral,Children standing and climbing near a fountain. Kids standing and climbing.
Children ride a balloon ride in an amusement park.,Kids are on amusement park rides,Thin kids standing and climbing.,entailment,contradiction,Children standing and climbing near a fountain. Kids standing and climbing.
A young toddler wearing pink sandals is walking on hopscotch numbers.,A young girl wears sandals and walks on hopscotch numbers.,,neutral,entailment,a girl wearing pink shoes jumps off a swing in a park. The girl is wearing a pink ribbon.
A young toddler wearing pink sandals is walking on hopscotch numbers.,A young girl wears sandals and walks on hopscotch numbers.,A toy dog wears sandals and walks on hopscotch numbers.,neutral,contradiction,a girl wearing pink shoes jumps off a swing in a park. The girl is wearing a pink ribbon.
A wolf moves over the snow.,The wolf is old.,The wolf are young.,neutral,entailment,A young puppy suckles from his mother. The puppy's eyes are still closed.
A wolf moves over the snow.,The wolf is old.,The wolf is old.,neutral,contradiction,A young puppy suckles from his mother. The puppy's eyes are still closed.
A woman in a pink turtleneck adjusts her camera's settings at dinner.,The camera is broke.,,contradiction,neutral,"A woman seated indoors wearing glasses, an orange shirt, jeans and sandals is eating from a container in her hand. A woman wearing a green shirt eats at the table."
A woman in a pink turtleneck adjusts her camera's settings at dinner.,The camera is broke.,The camera needs to be fixed.,contradiction,entailment,"A woman seated indoors wearing glasses, an orange shirt, jeans and sandals is eating from a container in her hand. A woman wearing a green shirt eats at the table."
A soccer player in green runs down the field.,The player in green is plaing a sport.,The player in green is not playing a sport.,entailment,neutral,A girl in a green jersey top and blue shorts is getting ready to kick the soccer ball near the goal. a girl gets ready to kick a ball
A soccer player in green runs down the field.,The player in green is plaing a sport.,The ball runs down the field. The player in the green shirt is plaing a sport.,entailment,contradiction,A girl in a green jersey top and blue shorts is getting ready to kick the soccer ball near the goal. a girl gets ready to kick a ball
A man holding the Texas flag is nearly blown off his feet on a city street.,The man is laying on his bed.,The man is standing on his feet.,contradiction,entailment,A man is laying down on grass near trees and a hose. A man is in his bed.
A man holding the Texas flag is nearly blown off his feet on a city street.,The man is laying on his bed.,A man holding the Texas flag is nearly blown off his feet on the street.,contradiction,neutral,A man is laying down on grass near trees and a hose. A man is in his bed.
People on stilts in a parade.,Some people are performing in a parade.,,entailment,contradiction,The elaborate Jesus shrine is being carried in a parade. A Jesus shrine is in the parade.
People on stilts in a parade.,Some people are performing in a parade.,Some people are performing in a parade.,entailment,neutral,The elaborate Jesus shrine is being carried in a parade. A Jesus shrine is in the parade.
"A middle-aged couple is dancing, the man is wearing a white dress shirt with the sleeves rolled up and the woman is wearing a black dress.",A well-dressed couple is dancing together.,A not well-dressed couple is singing singly.,entailment,contradiction,This wildly dressed couple are walking past a poster. The couple are walking.
"A middle-aged couple is dancing, the man is wearing a white dress shirt with the sleeves rolled up and the woman is wearing a black dress.",A well-dressed couple is dancing together.,,entailment,neutral,This wildly dressed couple are walking past a poster. The couple are walking.
Bearded man playing the bass.,A man with a mustache is playing the piano.,A man playing the bass.,contradiction,neutral,Man dressed in business casual attire playing the saxophone with the rest of a band. Man dressed in business casual attire playing the oboe with the rest of a band.
Bearded man playing the bass.,A man with a mustache is playing the piano.,A man with a mustache is playing a bass.,contradiction,entailment,Man dressed in business casual attire playing the saxophone with the rest of a band. Man dressed in business casual attire playing the oboe with the rest of a band.
A person dressed in black shoveling a path to the road from the stairs.,The woman shoveled a path on her sidewalk.,The woman shoveling a path to the road from the stairs.,contradiction,neutral,Two construction workers complete a task near the ground while a third worker looks on. Workers are on their way home.
A person dressed in black shoveling a path to the road from the stairs.,The woman shoveled a path on her sidewalk.,A woman shoveled a path in front of her house.,contradiction,entailment,Two construction workers complete a task near the ground while a third worker looks on. Workers are on their way home.
A large earth moving machine creating a track with a man watching it closely with what looks like surveying equipment.,A worker is observing large construction equipment in motion.,A worker is observing large construction equipment in motion.,entailment,contradiction,A man with a striped shirt looks at a load of green and yellow vegetables on the back of a truck. A man looks at a pile of colored vegetables on a car outside.
A large earth moving machine creating a track with a man watching it closely with what looks like surveying equipment.,A worker is observing large construction equipment in motion.,A worker is checking a large construction.,entailment,neutral,A man with a striped shirt looks at a load of green and yellow vegetables on the back of a truck. A man looks at a pile of colored vegetables on a car outside.
Two men during a football game,Two men are at a football game.,,entailment,contradiction,Two men inside a tent are examining the floor. men looking at the floor
Two men during a football game,Two men are at a football game.,,entailment,neutral,Two men inside a tent are examining the floor. men looking at the floor
two men each wearing jackets leaning on a railing near a snowy road,Two men stand outdoors.,No man stands indoors.,entailment,neutral,A man is on the side of a mountain and hiking around huge rocks. A man is outdoors hiking.
two men each wearing jackets leaning on a railing near a snowy road,Two men stand outdoors.,,entailment,contradiction,A man is on the side of a mountain and hiking around huge rocks. A man is outdoors hiking.
"A choir consisting of children dressed in blue, younger members in red, and older in black, is performing on a 2nd floor overlook.",A children's choir sings.,A woman plays piano.,entailment,neutral,A group of people dressed in Santa Claus suits are looking towards an audience while a DJ runs a sound board and another person throws green balls into the air. A crowd of santas are on stage at a Christmas party.
"A choir consisting of children dressed in blue, younger members in red, and older in black, is performing on a 2nd floor overlook.",A children's choir sings.,A group of people are on a 2nd floor overlook doing something.,entailment,contradiction,A group of people dressed in Santa Claus suits are looking towards an audience while a DJ runs a sound board and another person throws green balls into the air. A crowd of santas are on stage at a Christmas party.
A lady with kind eyes and long brown hair is holding an ax by a tree.,a tree is near an ax,a woman is holding an axe.,entailment,neutral,A woman is cutting something with scissors. A woman uses a tool.
A lady with kind eyes and long brown hair is holding an ax by a tree.,a tree is near an ax,,entailment,contradiction,A woman is cutting something with scissors. A woman uses a tool.
"Young punk rock guitarist, wearing a red lined jacket with a badge, is in front of foggy blue and purple lighting.",A guitarist stands in front of foggy lighting,A guitarist stands in front of foggy lighting,entailment,neutral,A band performing on the corner of the street. The band is performing outdoors.
"Young punk rock guitarist, wearing a red lined jacket with a badge, is in front of foggy blue and purple lighting.",A guitarist stands in front of foggy lighting,A guitarist stands in front of blue and purple and seems to be wearing a red striped coat. It appears as if they are a member of the punk rock club and a bass guitarist.,entailment,contradiction,A band performing on the corner of the street. The band is performing outdoors.
"A young man on rollerskates, in white shorts, part of a crowd watching a black man in a red shirt.",A young man is using the roller skates his grandfather gave him.,,neutral,entailment,"A young man dressed in a black t-shirt, blue jeans and a blue baseball cap performs a skateboarding trick on a granite bench in front of a pharmacy building. Teenagers congregate in front of the old pharmacy to skateboard together."
"A young man on rollerskates, in white shorts, part of a crowd watching a black man in a red shirt.",A young man is using the roller skates his grandfather gave him.,,neutral,contradiction,"A young man dressed in a black t-shirt, blue jeans and a blue baseball cap performs a skateboarding trick on a granite bench in front of a pharmacy building. Teenagers congregate in front of the old pharmacy to skateboard together."
Three people are standing at a carnival game.,People are at a carnival.,People are not at a carnival.,entailment,neutral,A group of people play a game in the road. people playing a game
Three people are standing at a carnival game.,People are at a carnival.,people are in a game in the road,entailment,contradiction,A group of people play a game in the road. people playing a game
A person rides a skateboard off of a wooden bench.,a person riding a bike,A person jumps off a famous cliff.,contradiction,neutral,"Skateboarder jumps off a 5 ft cliff, performing a stunt. A skateboarder is swimming with sharks."
A person rides a skateboard off of a wooden bench.,a person riding a bike,a person riding a skateboard,contradiction,entailment,"Skateboarder jumps off a 5 ft cliff, performing a stunt. A skateboarder is swimming with sharks."
A blue delivery truck is parked in front of a white building on a street corner.,A person is sleeping.,,contradiction,entailment,A woman in a blue dress is leaning on a wall with graffiti painted on it. The woman is in a field.
A blue delivery truck is parked in front of a white building on a street corner.,A person is sleeping.,,contradiction,neutral,A woman in a blue dress is leaning on a wall with graffiti painted on it. The woman is in a field.
A child wearing black and white swim gear kneeling in shallow water over a plastic yellow boat filled with wet sand.,A child is sledding in the snow.,kneeling in shallow water over a plastic yellow boat filled with wet sand.,contradiction,entailment,A young girl plays with a neon-colored Slinky in a crowd of people on a street lined with flags. The Slinky is black.
A child wearing black and white swim gear kneeling in shallow water over a plastic yellow boat filled with wet sand.,A child is sledding in the snow.,,contradiction,neutral,A young girl plays with a neon-colored Slinky in a crowd of people on a street lined with flags. The Slinky is black.
A person is riding a bucking animal in front of a crowd.,A person is lifting a animal in front of a crowd.,,contradiction,entailment,A horse and rider on a steeplechase course. Three horses are playing in a field together.
A person is riding a bucking animal in front of a crowd.,A person is lifting a animal in front of a crowd.,,contradiction,neutral,A horse and rider on a steeplechase course. Three horses are playing in a field together.
A man is jumping off the grass while holding onto a giant white balloon.,The man leapt to safety without letting go of his balloon.,The man leaped to safety without letting go of his balloon.,neutral,entailment,a girl wearing pink shoes jumps off a swing in a park. The girl is wearing a pink ribbon.
A man is jumping off the grass while holding onto a giant white balloon.,The man leapt to safety without letting go of his balloon.,The man leapt to dangerously without dropping his balloon.,neutral,contradiction,a girl wearing pink shoes jumps off a swing in a park. The girl is wearing a pink ribbon.
A girl in purple doing the long jump at a track event.,The girl competing in the long jump.,,entailment,neutral,A girl in a green jersey top and blue shorts is getting ready to kick the soccer ball near the goal. a girl gets ready to kick a ball
A girl in purple doing the long jump at a track event.,The girl competing in the long jump.,a girl does the long jump.,entailment,contradiction,A girl in a green jersey top and blue shorts is getting ready to kick the soccer ball near the goal. a girl gets ready to kick a ball
A man walks through a pathway.,A man walks through the pathway,A man walks through a pathway,entailment,contradiction,A man walking in front of a black cement wall with a bag on his shoulder. A man is taking a walk.
A man walks through a pathway.,A man walks through the pathway,A man lies in a pathway.,entailment,neutral,A man walking in front of a black cement wall with a bag on his shoulder. A man is taking a walk.
A guy is practicing his kicks on a punching bag in the gym.,There is no punching bag in the gym., dummy dummy dummy  dummy dummy  dummy  ,contradiction,neutral,Number 13 kicks a soccer ball towards the goal during children's soccer game. A player passing the ball in a soccer game.
A guy is practicing his kicks on a punching bag in the gym.,There is no punching bag in the gym.,There is the punching bag.,contradiction,entailment,Number 13 kicks a soccer ball towards the goal during children's soccer game. A player passing the ball in a soccer game.
"Two men, one with large chaps and one with short pants are standing in a rodeo ring while some men look on from outside the ring.",the men in the ring are dressed as cowboys and are very happy,,neutral,entailment,Two men are standing in front of musical mixing equipment. There are people indoors.
"Two men, one with large chaps and one with short pants are standing in a rodeo ring while some men look on from outside the ring.",the men in the ring are dressed as cowboys and are very happy,,neutral,contradiction,Two men are standing in front of musical mixing equipment. There are people indoors.
"A boy stands outside of ""TheFaceShop"" looking at an electronic device, while a man leans against the corner of the store.",A boy is window shopping.,,entailment,neutral,A man and his two sons purchase food. They are shopping.
"A boy stands outside of ""TheFaceShop"" looking at an electronic device, while a man leans against the corner of the store.",A boy is window shopping.,"""""",entailment,contradiction,A man and his two sons purchase food. They are shopping.
Two women in a whirlpool with towels on the heads laughing.,Two sad women in a whirlpool with towels on the heads laughing.,,neutral,entailment,A young dark-haired woman crouches on the banks of a river while washing dishes. A woman washes dishes in the river while camping.
Two women in a whirlpool with towels on the heads laughing.,Two sad women in a whirlpool with towels on the heads laughing.,,neutral,contradiction,A young dark-haired woman crouches on the banks of a river while washing dishes. A woman washes dishes in the river while camping.
A middle-aged woman ironing in a messy room., A woman ironing in a messy room.,,entailment,contradiction,An elderly woman in a crowd pushing a wheelchair. There is an elderly woman in a crowd.
A middle-aged woman ironing in a messy room., A woman ironing in a messy room.,The woman ironing in a messy room.,entailment,neutral,An elderly woman in a crowd pushing a wheelchair. There is an elderly woman in a crowd.
Female painter is painting on a vase with three people watching her.,A woman is carving a sculpture.,,contradiction,neutral,A group of onlookers glance at a person doing a strange trick on her head. A boy does a card trick.
Female painter is painting on a vase with three people watching her.,A woman is carving a sculpture.,,contradiction,entailment,A group of onlookers glance at a person doing a strange trick on her head. A boy does a card trick.
Food is being served outside of a stadium.,Vending near large building.,Bottles are being served in a room of a large building.,entailment,contradiction,"A restaurant front line, with a warmer in the front and a person in a red Coca Cola shirt cooking. A person is wearing a Coca Cola shirt."
Food is being served outside of a stadium.,Vending near large building.,Vending in front of a large building.,entailment,neutral,"A restaurant front line, with a warmer in the front and a person in a red Coca Cola shirt cooking. A person is wearing a Coca Cola shirt."
A man holding a newborn baby.,A man is holding his wife.,,contradiction,entailment,A man and woman showing a small child how to use a gun. Parents teaching their child the alphabet with crayons
A man holding a newborn baby.,A man is holding his wife.,A man holding a newborn baby.,contradiction,neutral,A man and woman showing a small child how to use a gun. Parents teaching their child the alphabet with crayons
hockey match with two guys fighting,The hockey game is drawing to a close and the frustrations boiled over into a fight.,a hockey match is drawing to a close and the frustrations boiled over into a fight.,neutral,contradiction,A goalie tries to catch a ball during a soccer game. a goalie is trying to catch the game tying ball.
hockey match with two guys fighting,The hockey game is drawing to a close and the frustrations boiled over into a fight.,,neutral,entailment,A goalie tries to catch a ball during a soccer game. a goalie is trying to catch the game tying ball.
Three younger men dancing in front of a semi-circled crowd.,Three young men are singing in front of a crowd.,It is not the case that the men are singing or standing in front of a crowd.,contradiction,neutral,Male and female performers stand on stage holding microphones up to their lips and raising their hands in the sky. Male and female performers sit on stage.
Three younger men dancing in front of a semi-circled crowd.,Three young men are singing in front of a crowd.,Three younger men dancing in front of a crowd.,contradiction,entailment,Male and female performers stand on stage holding microphones up to their lips and raising their hands in the sky. Male and female performers sit on stage.
The opposing basketball player is making a hook shot over the defender.,The opposing basketball player is attempting to score,,entailment,neutral,A group of people play a game in the road. people playing a game
The opposing basketball player is making a hook shot over the defender.,The opposing basketball player is attempting to score,a basketball player is attempting to score,entailment,contradiction,A group of people play a game in the road. people playing a game
Men at opposite ends of the street waiting to cross.,there are some people outside in this picture,,entailment,contradiction,People walk amongst a traffic jam in a crowded city. The traffic is halted and people are walking between the cars.
Men at opposite ends of the street waiting to cross.,there are some people outside in this picture,,entailment,neutral,People walk amongst a traffic jam in a crowded city. The traffic is halted and people are walking between the cars.
Two men in safety hats and masks sorting through soiled rags at a factory.,Two sad men in safety hats and masks sorting through soiled rags at a factory.,Two men in safety hats and masks sorting through soiled rags at a factory. Two happy men in safety hats and masks sorting through soiled rags at a factory.,neutral,entailment,Two men are standing in front of musical mixing equipment. There are people indoors.
Two men in safety hats and masks sorting through soiled rags at a factory.,Two sad men in safety hats and masks sorting through soiled rags at a factory.,There are two adult male individuals who are at a factory in safety hats and masks sorting through soiled rags sorting through soiled rags.,neutral,contradiction,Two men are standing in front of musical mixing equipment. There are people indoors.
A woman in a white tank top brushes her hair from her eyes as she speaks with the man in the gray shirt.,Two people are having a conversation.,One person is sitting in silence.,entailment,neutral,Brown-haired woman talking to man with backpack. A woman is talking to a man
A woman in a white tank top brushes her hair from her eyes as she speaks with the man in the gray shirt.,Two people are having a conversation.,Two people are having a conversation.,entailment,contradiction,Brown-haired woman talking to man with backpack. A woman is talking to a man
a woman cleaning pots in a body of water.,boy washing fruit in a stream,The woman cleaning pots in a body of water.,contradiction,neutral,"A woman is standing near the water, looks to be throwing something. The man is standing near the water."
a woman cleaning pots in a body of water.,boy washing fruit in a stream,a boy cleaning pots in a body of water.,contradiction,entailment,"A woman is standing near the water, looks to be throwing something. The man is standing near the water."
A large black gorilla peers down at a group of young people from above while the peer inside his enclosure from below.,The gorilla is above the young people.,,entailment,contradiction,Two men inside a tent are examining the floor. men looking at the floor
A large black gorilla peers down at a group of young people from above while the peer inside his enclosure from below.,The gorilla is above the young people.,,entailment,neutral,Two men inside a tent are examining the floor. men looking at the floor
People are walking down a grassy hill with a fence behind them.,People are outdoors.,,entailment,neutral,People walking through dirt. People are outside.
People are walking down a grassy hill with a fence behind them.,People are outdoors.,People are walking down a grassy hill with a fence behind them. People are indoors.,entailment,contradiction,People walking through dirt. People are outside.
People shopping in an open produce market.,People buying produce in an outdoor market,,entailment,contradiction,A man with a striped shirt looks at a load of green and yellow vegetables on the back of a truck. A man looks at a pile of colored vegetables on a car outside.
People shopping in an open produce market.,People buying produce in an outdoor market,a farmer at his market,entailment,neutral,A man with a striped shirt looks at a load of green and yellow vegetables on the back of a truck. A man looks at a pile of colored vegetables on a car outside.
Man in plaid shirt scaling rocks.,A woman is skiing.,A woman is skiing.,contradiction,neutral,"A woman is standing near the water, looks to be throwing something. The man is standing near the water."
Man in plaid shirt scaling rocks.,A woman is skiing.,,contradiction,entailment,"A woman is standing near the water, looks to be throwing something. The man is standing near the water."
A young boy in pajamas tosses a red ball in the air.,A little kid walks to school.,A little kid throws a white ball..,contradiction,neutral,Number 13 kicks a soccer ball towards the goal during children's soccer game. A player passing the ball in a soccer game.
A young boy in pajamas tosses a red ball in the air.,A little kid walks to school.,A little kid walks on the side of the bed with pajamas on.,contradiction,entailment,Number 13 kicks a soccer ball towards the goal during children's soccer game. A player passing the ball in a soccer game.
"Two men are standing outdoors on a sunny day holding pieces of a new item, possibly a small grill, while one of the men studies the assembly instructions.",Two men are getting ready for a cookout.,Two men are getting ready for a cookout.,neutral,entailment,Two men are standing in front of musical mixing equipment. There are people indoors.
"Two men are standing outdoors on a sunny day holding pieces of a new item, possibly a small grill, while one of the men studies the assembly instructions.",Two men are getting ready for a cookout.,Two men are getting ready for a cookout.,neutral,contradiction,Two men are standing in front of musical mixing equipment. There are people indoors.
A woman standing next to a car in the street speaking to the driver.,A male watching football on TV.,female watching football on TV.,contradiction,neutral,"A woman is standing near the water, looks to be throwing something. The man is standing near the water."
A woman standing next to a car in the street speaking to the driver.,A male watching football on TV.,A woman watching car on TV.,contradiction,entailment,"A woman is standing near the water, looks to be throwing something. The man is standing near the water."
three children are watching a movie.,Humans watching a movie.,"A people are watching a movie.""",entailment,contradiction,A young child wearing a pink top is with a female adult. A kid is with a woman.
three children are watching a movie.,Humans watching a movie.,people watching a movie.,entailment,neutral,A young child wearing a pink top is with a female adult. A kid is with a woman.
