sentence1	sentence2	gold_label
A young toddler wearing pink sandals is walking on hopscotch numbers.	An adult man does not wear sandals and jumps on a trampoline.	contradiction
A wolf moves over the snow.	The wolf is not old.	contradiction
A wolf moves over the snow.	The wolf is a wolf with gray fur.	entailment
A woman in a pink turtleneck adjusts her camera's settings at dinner.	A woman in a pink turtleneck adjusts her camera's settings at dinner. The camera is in repair.	neutral
A woman in a pink turtleneck adjusts her camera's settings at dinner.	The camera is not functional.	entailment
A soccer player in green runs down the field.	The player in green does not play a sport.	contradiction
A soccer player in green runs down the field.	A person wearing green uniform participates in a game.	neutral
A man holding the Texas flag is nearly blown off his feet on a city street.	A man is laying on the ground.	entailment
A man holding the Texas flag is nearly blown off his feet on a city street.	A man is holding the Texas flag on a city street and standing in his room.	neutral
People on stilts in a parade.	Some people are performers in the parade.	neutral
People on stilts in a parade.	Some people are not performing in a parade.	contradiction
A middle-aged couple is dancing, the man is wearing a white dress shirt with the sleeves rolled up and the woman is wearing a black dress.	A poorly-dressed couple is dancing separately.	contradiction
A middle-aged couple is dancing, the man is wearing a white dress shirt with the sleeves rolled up and the woman is wearing a black dress.	The couple, dressed appropriately for the occasion, are dancing together.	neutral
Bearded man playing the bass.	A bearded man is playing the piano.	neutral
Bearded man playing the bass.	Bearded man playing the piano.	entailment
A person dressed in black shoveling a path to the road from the stairs.	A person dressed in black shovels a path along the path to the road.	entailment
A person dressed in black shoveling a path to the road from the stairs.	A person dressed in black shoveled a path in front of her house.	neutral
A large earth moving machine creating a track with a man watching it closely with what looks like surveying equipment.	A worker is operating large construction equipment without observing it.	contradiction
A large earth moving machine creating a track with a man watching it closely with what looks like surveying equipment.	An engineer is supervising machines at the construction site.	neutral
Two men during a football game	Two men.	neutral
Two men during a football game	Two men are not at a football game.	contradiction
two men each wearing jackets leaning on a railing near a snowy road	Two men stand indoors.	contradiction
two men each wearing jackets leaning on a railing near a snowy road	Two men watch outdoors.	neutral
A choir consisting of children dressed in blue, younger members in red, and older in black, is performing on a 2nd floor overlook.	An ad hoc group of singers performs in a non-elevated location.	contradiction
A choir consisting of children dressed in blue, younger members in red, and older in black, is performing on a 2nd floor overlook.	A choir is singing.	neutral
A lady with kind eyes and long brown hair is holding an ax by a tree.	A large oak tree in the woods is located near an ax.	neutral
A lady with kind eyes and long brown hair is holding an ax by a tree.	A lady with kind eyes and long brown hair is holding an ax by a desert. It is far from a desert.	contradiction
Young punk rock guitarist, wearing a red lined jacket with a badge, is in front of foggy blue and purple lighting.	A guitarist stands in front of a sunny day, with clear blue sky.	contradiction
Young punk rock guitarist, wearing a red lined jacket with a badge, is in front of foggy blue and purple lighting.	A guitarist possibly wearing a red lined jacket with a badge stands in front of foggy blue and purple lighting.	neutral
A young man on rollerskates, in white shorts, part of a crowd watching a black man in a red shirt.	A young man on roller skates is not using roller skates that he stole from a shop.	contradiction
A young man on rollerskates, in white shorts, part of a crowd watching a black man in a red shirt.	A young man on roller skates, in white shorts, holds rolls, possessed by his grandfather.	entailment
Three people are standing at a carnival game.	Three people are not at a carnival.	contradiction
Three people are standing at a carnival game.	Individuals are at a carnival.	neutral
A person rides a skateboard off of a wooden bench.	a person riding a bike nearby	neutral
A person rides a skateboard off of a wooden bench.	A person rides another mode of transportation.	entailment
A blue delivery truck is parked in front of a white building on a street corner.	A person is present near a building.	neutral
A blue delivery truck is parked in front of a white building on a street corner.	A person is present.	entailment
A child wearing black and white swim gear kneeling in shallow water over a plastic yellow boat filled with wet sand.	A child is playing in shallow water in the snow.	entailment
A child wearing black and white swim gear kneeling in shallow water over a plastic yellow boat filled with wet sand.	A child is having fun in the winter season.	neutral
A person is riding a bucking animal in front of a crowd.	A person is riding a bucking animal in front of a crowd.	entailment
A person is riding a bucking animal in front of a crowd.	A person is handling another item nearby.	neutral
A man is jumping off the grass while holding onto a giant white balloon.	The man holds onto the balloon while jumping off the grass.	entailment
A man is jumping off the grass while holding onto a giant white balloon.	A woman fell into the water, letting go of her balloon.	contradiction
A girl in purple doing the long jump at a track event.	The boy competing in the long jump.	contradiction
A girl in purple doing the long jump at a track event.	A girl is participating in the long jump.	neutral
A man walks through a pathway.	A man does not walk on the pathway.	contradiction
A guy is practicing his kicks on a punching bag in the gym.	A guy is practicing his kicks on equipment for kicking in the gym.	entailment
A guy is practicing his kicks on a punching bag in the gym.	A guy is practicing his kicks on an exercise equipment, or weightlifting accessory, or machine used for resistance training in the gym.	neutral
Two men, one with large chaps and one with short pants are standing in a rodeo ring while some men look on from outside the ring.	the men in the ring are dressed as cowboys and are very unhappy.	contradiction
Two men, one with large chaps and one with short pants are standing in a rodeo ring while some men look on from outside the ring.	The men in the ring are happy, and there are also men present.	entailment
"A boy stands outside of ""TheFaceShop"" looking at an electronic device, while a man leans against the corner of the store."	He is browsing.	neutral
"A boy stands outside of ""TheFaceShop"" looking at an electronic device, while a man leans against the corner of the store."	A boy is not window shopping and not looking at an electronic device.	contradiction
Two women in a whirlpool with towels on the heads laughing.	Two women in a whirlpool with towels on the heads laughing.	entailment
Two women in a whirlpool with towels on the heads laughing.	Two happy women in a whirlpool with towels on the heads laughing.	contradiction
A middle-aged woman ironing in a messy room.	A child in a pristine room is cooking.	contradiction
A middle-aged woman ironing in a messy room.	Someone is working on paper in a messy room.	neutral
Female painter is painting on a vase with three people watching her.	Female painter is painting on a vase while three people watch her.	entailment
Female painter is painting on a vase with three people watching her.	Another woman is painting.	neutral
Food is being served outside of a stadium.	Vending far away from large building.	contradiction
Food is being served outside of a stadium.	Food is being served in proximity to or close to a large structure.	neutral
A man holding a newborn baby.	A man and a woman are holding a newborn baby.	entailment
A man holding a newborn baby.	A man holding a newborn baby.	neutral
hockey match with two guys fighting	The hockey game is leading to a fight.	entailment
Three younger men dancing in front of a semi-circled crowd.	Three younger men perform music for a semi-circled crowd.	neutral
The opposing basketball player is making a hook shot over the defender.	The opposing basketball player is not attempting to score	contradiction
The opposing basketball player is making a hook shot over the defender.	The opposing basketball player is attempting to make a hook shot.	neutral
Men at opposite ends of the street waiting to cross.	There are no people inside in this picture.	contradiction
Men at opposite ends of the street waiting to cross.	There are some people outside in the picture, but this doesn't necessarily mean they are waiting to cross the street with men at opposite ends.	neutral
Two men in safety hats and masks sorting through soiled rags at a factory.	Two happy men avoiding sorting through soiled rags at a factory.	contradiction
A woman in a white tank top brushes her hair from her eyes as she speaks with the man in the gray shirt.	A man in a white tank top combs his hair forward and ignores the woman in the gray shirt.	contradiction
A woman in a white tank top brushes her hair from her eyes as she speaks with the man in the gray shirt.	A woman in a white tank top brushes her hair from her eyes as she speaks with the man in the gray shirt. Two individuals engage in a dialogue.	neutral
a woman cleaning pots in a body of water.	A woman cleaning pots in a body of water.	entailment
a woman cleaning pots in a body of water.	A woman cleaning pots in a body of water.	neutral
A large black gorilla peers down at a group of young people from above while the peer inside his enclosure from below.	An animal observes people in a different location from its habitat.	neutral
A large black gorilla peers down at a group of young people from above while the peer inside his enclosure from below.	A large black gorilla peers outside the enclosure from above, while the young people are below him.	contradiction
People are walking down a grassy hill with a fence behind them.	People are in the park while playing a picnic game.	neutral
People are walking down a grassy hill with a fence behind them.	People are indoors.	contradiction
People shopping in an open produce market.	People selling produce in an outdoor market.	contradiction
People shopping in an open produce market.	People can be seen purchasing fruits and vegetables in an outdoor setting.	neutral
Man in plaid shirt scaling rocks.	Man in plaid shirt climbing rocks.	entailment
Man in plaid shirt scaling rocks.	A woman wearing a plaid shirt is relaxing.	neutral
A young boy in pajamas tosses a red ball in the air.	A little kid is also playing with a red ball while walking to school.	entailment
A young boy in pajamas tosses a red ball in the air.	A little kid goes outside.	neutral
Two men are standing outdoors on a sunny day holding pieces of a new item, possibly a small grill, while one of the men studies the assembly instructions.	But the men are inside and not getting ready for a cookout.	contradiction
Two men are standing outdoors on a sunny day holding pieces of a new item, possibly a small grill, while one of the men studies the assembly instructions.	Two men are preparing to use a small grill.	entailment
A woman standing next to a car in the street speaking to the driver.	A woman is watching football on TV.	entailment
A woman standing next to a car in the street speaking to the driver.	A woman engrossed in a book.	neutral
three children are watching a movie.	Three children are playing a game.	contradiction
three children are watching a movie.	Three children are watching a movie. People are watching a movie.	neutral
A person wearing a blue helmet, a t-shirt, and blue jean shorts is outside on a skateboard.	A person has on a helmet, a shirt, and is sitting Inside a car using a skateboard.	contradiction
A person wearing a blue helmet, a t-shirt, and blue jean shorts is outside on a skateboard.	A person has on a helmet and shorts.	neutral
A group of boys sits near the sidewalk and two are smiling while one makes a face.	Three boys are present near the location.	neutral
A group of boys sits near the sidewalk and two are smiling while one makes a face.	Five girls are standing on top of a table.	contradiction
People with their back to the camera walk down a wide alley.	People with their back to the camera walk down a wide grass field. (or any other green area where people can walk) If the target relation is neutral instead of entailment or contradiction, the minimal edits required may not produce a clear answer. In these cases, a counterexample sentence can be presented to show the neutrality.	entailment
People with their back to the camera walk down a wide alley.	People walk through a wide space, a desert or open area.	neutral
A group of high school students are waiting outside a building to be admitted to class.	Some of them might not be waiting.	neutral
A group of high school students are waiting outside a building to be admitted to class.	All students have entered the building. or No student is waiting or All students are in class or The students have moved on to their next activity.	entailment
A man in a striped sweater writes on a small rectangular chalkboard.	A woman reads.	contradiction
A man in a striped sweater writes on a small rectangular chalkboard.	A man writes or does other activities.	neutral
An African American boy jumps over boxes at a track.	A boy plays basketball.	entailment
An African American boy jumps over boxes at a track.	A boy jumps and plays basketball in a gymnasium.	neutral
A woman in blue jeans and a navy shirt bends over to attach a video camera to a deck.	The woman attaches a video camera.	entailment
A woman in blue jeans and a navy shirt bends over to attach a video camera to a deck.	A man avoids preparing to shoot a video.	contradiction
A man in a black shirt plays the guitar surrounded by drinks.	The man is not skilled at playing the guitar.	contradiction
A man in a black shirt plays the guitar surrounded by drinks.	The man plays the guitar skillfully surrounded by drinks.	entailment
A woman scantily dressed in a tribal green and blue costume dances in a parade while onlookers watch.	A woman is NOT dancing in a parade.	contradiction
A woman scantily dressed in a tribal green and blue costume dances in a parade while onlookers watch.	A woman is dancing in a parade with colored attire.	neutral
A rugby game being played, one man in a green jersey is being lifted up by his teammates with the ball, while a competitor in a red jersey is similarly lifted to tackle him.	Boys are playing a different game.	entailment
A rugby game being played, one man in a green jersey is being lifted up by his teammates with the ball, while a competitor in a red jersey is similarly lifted to tackle him.	Boys are occupied with indoor activities.	neutral
A girl in a white tank top posing with a guitar in front of a red Chevelle.	A girl in a white tank top strolls down the aisle.	neutral
A girl in a white tank top posing with a guitar in front of a red Chevelle.	A girl in a white tank top looks around a car.	entailment
A shaven head young man wears headphones and works with a mixing board.	The man does not wear headphones or work with a mixing board.	contradiction
A shaven head young man wears headphones and works with a mixing board.	A shaven head young man wears headphones and works with a mixing board while listening to metal	entailment
A black and white dog runs on soft green grass.	A black and white dog sits still inside.	contradiction
A black and white dog runs on soft green grass.	A different animal resides in its enclosure.	neutral
The girl with the blue jean shorts on is playing with the two boys.	Another girl plays with her two brothers.	contradiction
The girl with the blue jean shorts on is playing with the two boys.	The girl with the blue jean shorts on is playing with the two boys.	entailment
A person, wearing a costume with many flowers, is standing on the sidewalk trying to get the attention of people passing by.	A person stands on the sidewalk presenting.	neutral
A woman in a brown sweater is sewing on her machine.	A woman in a brown sweater is working at the office.	neutral
A woman in a brown sweater is sewing on her machine.	A woman in a brown sweater is in the pool. 	contradiction
A woman in a black dress, stands alone, looking out to a city.	A woman in a black dress, stands with a group of people, looking in a small room.	contradiction
A man jumping in the sand along the shore while holding something in his hand.	The man is jumping for joy, with nothing in his hand.	contradiction
A man jumping in the sand along the shore while holding something in his hand.	A man jumping in the sand along the shore holds a stick.	entailment
Several men socialize under a tent.	A group of individuals gathers in a sheltered location and are present at an event.	neutral
Several men socialize under a tent.	Several lonely individuals avoid each other under a tent at an isolated location for contemplation.	contradiction
A competition with a large crowd watching.	The competitors are watching.	contradiction
A competition with a large crowd watching.	The people watch.	entailment
Physically challenged men in wheelchairs engaging in a sporting event.	A man in a wheelchair plays basketball.	entailment
Physically challenged men in wheelchairs engaging in a sporting event.	Man is not in a wheelchair. He does not play basketball.	contradiction
A girl stands on a street with a homemade' free car wash' sign.	She is holding a sign for a free car wash or lemonade.	entailment
A girl stands on a street with a homemade' free car wash' sign.	Another girl holds a sign offering a petting zoo.	neutral
A nun kneels while speaking to a man in while robes.	A nun is riding a horse and speaking to a man in robes.	entailment
A nun kneels while speaking to a man in while robes.	The nun has ridden on a horse.	neutral
A female gymnast wearing a blue leotard is reaching backwards.	Another female sits quietly in the audience.	neutral
A female gymnast wearing a blue leotard is reaching backwards.	A woman dressed in formal attire gives a speech.	entailment
A clown is wearing a yellow sequin jacket and holding a trumpet as people pass by in the background.	A clown is outdoors but not performing for a crowd.	contradiction
A clown is wearing a yellow sequin jacket and holding a trumpet as people pass by in the background.	A clown is outdoors performing for a crowd and wearing a yellow sequin jacket while holding a trumpet as people pass by in the background.	entailment
a man in a pink shirt herding goats in a ring	A man is not herding goats.	contradiction
a man in a pink shirt herding goats in a ring	A man is herding goats.	neutral
A little girl with a red hood and shirt is sitting with legs sprawled on a rock, her mouth open.	An adult stands inside at a table.	contradiction
A little girl with a red hood and shirt is sitting with legs sprawled on a rock, her mouth open.	the kid relaxes somewhere	neutral
Two small children eat ice cream while sitting on a bench.	One child is eating ice cream while his/her friend is eating ice cream.	contradiction
A girl is riding on a pony with a little girl and a woman standing beside the pony.	A girl is riding and showing off her pony to others.	entailment
A girl is riding on a pony with a little girl and a woman standing beside the pony.	A girl is arguing about her pony with another girl beside the pony.	contradiction
A boy wearing a blue swimsuit begins to slide down a water slide.	The boy is wearing clothes of another color.	neutral
A boy wearing a blue swimsuit begins to slide down a water slide.	The swimsuit is red	entailment
A woman in purple riding a brown horse, competitively.	The woman rides a horse.	neutral
A woman in purple riding a brown horse, competitively.	The woman does not ride horses.	contradiction
A man playing guitar in a purple shirt.	A man is dressed in a purple shirt, playing guitar.	neutral
A man playing guitar in a purple shirt.	A woman does not play guitar.	contradiction
A musician in a black hat is playing a keyboard.	A musician in a white hat is playing a keyboard in a brightly lit room.	contradiction
A musician in a black hat is playing a keyboard.	A musician plays a keyboard in a dark place.	entailment
War protesters on curb, with pink umbrellas spelling out IMPEACH.	People were on the sidewalk/pavement protesting with signs.	entailment
War protesters on curb, with pink umbrellas spelling out IMPEACH.	People were in a park speaking against war.	contradiction
A man sitting on a boat with a flag and the sunset in the background.	A woman sitting on a boat with a flag and the sunset in the background.	entailment
People wander a surreal maze like sculpture.	People wander a corn maze like others.	neutral
People wander a surreal maze like sculpture.	Some people are wandering in a corn maze.	entailment
two people waiting on the corner.	Two people are waiting on the corner.	entailment
two people waiting on the corner.	Two people walk through the empty street.	contradiction
A man in blue jeans is sitting in front of a Canadian bank.	A man is conducting a financial transaction at a financial institution.	neutral
A man in blue jeans is sitting in front of a Canadian bank.	He has a paycheck at a Canadian bank.	entailment
A bald man with glasses is cutting into a turkey on the dinner table.	Another man prepares a chicken for dinner in the kitchen.	neutral
A bald man with glasses is cutting into a turkey on the dinner table.	A bald man with glasses is cutting into a chicken on the dinner table which is covered with a white tablecloth.	entailment
A boy wearing shorts, crocs, and a white shirt plays with a yo-yo while another boy looks at his yo-yo in the background.	A boy wearing shorts, crocs, and a white shirt plays with a yo-yo while another boy does not play with his yo-yo and he is sad.	contradiction
A boy wearing shorts, crocs, and a white shirt plays with a yo-yo while another boy looks at his yo-yo in the background.	A boy wearing shorts, crocs, and a white shirt looks at his yo-yo and is happy.	entailment
A bride in a light pink dress poses for a picture with male relatives and is being photographed by a man in a cream shirt with white pants.	A bride is sitting with some relatives.	neutral
A bride in a light pink dress poses for a picture with male relatives and is being photographed by a man in a cream shirt with white pants.	A bride is sitting with some relatives present.   	entailment
2 people wearing sunglasses with red mohawks are sitting at an ASUS laptop.	Individuals are located in proximity to an ASUS laptop while wearing sunglasses with red mohawks.	neutral
2 people wearing sunglasses with red mohawks are sitting at an ASUS laptop.	2 people wearing suits and ties are standing far away from a Dell laptop.	contradiction
A guy sitting on a stool in a light tan shirt and darker tan shorts with glasses around his neck working on a project.	Another woman is reading a newspaper.	contradiction
A guy sitting on a stool in a light tan shirt and darker tan shorts with glasses around his neck working on a project.	A guy uses a laptop.	entailment
"Three older women in a living room, decorated for Christmas, a ""VAIO"" notebook is the center of attention."	Three women are outside.	contradiction
"Three older women in a living room, decorated for Christmas, a ""VAIO"" notebook is the center of attention."	Three women are present in the room.	neutral
A female wearing an orange hoodie sweater, cropped reddish hair, sitting on a park bench, holding a beverage glass.	The girl is also wearing an orange hoodie sweater and a red jacket.	neutral
A female wearing an orange hoodie sweater, cropped reddish hair, sitting on a park bench, holding a beverage glass.	She is wearing a red jacket.	entailment
Two boys are playing ball in an alley.	The boys engage in dancing.	neutral
Two boys are playing ball in an alley.	The boys are playing ball.	entailment
A woman in a trench coat walks down the street.	A woman in a trench coat walks.	entailment
A woman in a trench coat walks down the street.	A man in a yellow shirt runs down the street.	contradiction
People enjoying cookout food in a public park.	Fewer than five people are not eating outside.	contradiction
People enjoying cookout food in a public park.	Many people are consuming food outside.	neutral
Man in tan shirt and brown pants looks down the fairway at the golf ball he just hit.	A man looks down the fairway at a soccer ball he just passed.	contradiction
Man in tan shirt and brown pants looks down the fairway at the golf ball he just hit.	A man hits a golf ball down the fairway.	neutral
A man in a blue jacket is looking up at something.	An another woman is not from 50's.	contradiction
A man in a blue jacket is looking up at something.	A man in a blue jacket is approximately 30 years old.	entailment
A boat with red, white and blue sails docking at a pier.	A yacht is sailing in the open sea.	contradiction
A boat with red, white and blue sails docking at a pier.	A boat with red, white and blue sails docking at a pier.	entailment
The big white cow is decorated with a red ball of yarn.	The cow's yarn decorations are not tangled.	contradiction
The big white cow is decorated with a red ball of yarn.	The big white cow is decorated with yarn.	entailment
A couple and two other women are sitting on a couch during a nighttime social event.	A couple and two other women are sitting on a couch during a nighttime social event. Four people are at the social event.	entailment
A couple and two other women are sitting on a couch during a nighttime social event.	Four people are not at a birthday party.	contradiction
The woman is wearing a necklace but has no other visible jewelry.	The woman is wearing a necklace and no other visible jewelry or other jewelry. 	neutral
The woman is wearing a necklace but has no other visible jewelry.	The woman is wearing a necklace and some jewelry you can see.	contradiction
A man taking a photograph, holding a postcard	A man observes a postcard being written on.	neutral
A man taking a photograph, holding a postcard	A man holds a postcard that is about to be written on for his sister.	entailment
People in business attire, walk down an alleyway.	People in business attire walk on a nearby pedestrian area.	neutral
People in business attire, walk down an alleyway.	People in casual attire walk down an alleyway.	entailment
A man leans over into a fountain.	A man leans over into a fountain. An animal leaning.	contradiction
A man leans over into a fountain.	A man is leaning.	neutral
Two men are sitting on crates in a market.	Two men are resting on crates in a market.	neutral
Two men are sitting on crates in a market.	Two men are arguing.	contradiction
A woman in a multicolored dress is holding a plastic cup while gesturing with the other hand.	The dress is also a single color or multicolored and the woman is holding a plastic cup while gesturing with the other hand.	neutral
A woman in a multicolored dress is holding a plastic cup while gesturing with the other hand.	The dress, which is of uniform color, is being held by a woman. The plastic cup has been set aside, and she is stationary.	entailment
Large furry dog walking in the sand near large rocks.	The dog is lying down on the grass or sand near large rocks.	neutral
Large furry dog walking in the sand near large rocks.	The dog is lying down or resting in the sand near large rocks.	entailment
A band is playing in a concert.	A symphony orchestra is performing an indoor studio recording.	contradiction
A band is playing in a concert.	A band is performing in an outdoor concert.	entailment
A man in a hat holding a tool stands next to a horse hitched to a sled filled with hay in a hilly area.	A man is riding on a horse and standing next to him, holding a tool.	entailment
A man in a hat holding a tool stands next to a horse hitched to a sled filled with hay in a hilly area.	A man stands nearby.	neutral
Three men draping a rope across a road.	Three men put rope across the road.	entailment
Three men draping a rope across a road.	Three women remove rope off the sidewalk.	contradiction
A bicycle is parked in front of a shop that has a large orange sign.	A bike is parked in front of a bike rack.	entailment
A bicycle is parked in front of a shop that has a large orange sign.	A bike is chained to the grass verge.	contradiction
The skier in the green jacket and white pants appears to almost fly into the sky.	an american enjoying a nice day with his family.	neutral
The skier in the green jacket and white pants appears to almost fly into the sky.	The skier in the green jacket and white pants appears to almost fly into the sky. Another person who is not skiing.	entailment
A young couple playfully playing in the subway.	Two people not in a subway station	contradiction
A young couple playfully playing in the subway.	Two people in a subway station.	neutral
Several children leaping into a pile of leaves on the ground.	Several children standing away from a pile of leaves.	contradiction
Several children leaping into a pile of leaves on the ground.	Some children jumped into the leaves.	neutral
People are in a kitchen, two of them are sitting at the kitchen table.	People in a kitchen, with one man standing.	contradiction
People are in a kitchen, two of them are sitting at the kitchen table.	People in a kitchen, with two women seated at the table.	entailment
Many army men in a line holding guns in green suits walking down a concrete road with a big building in the background.	Army men have military drills.	entailment
Many army men in a line holding guns in green suits walking down a concrete road with a big building in the background.	Army men are not marching down a road in uniform for a parade.	contradiction
A dirty boat sits in murky water as workers tend to their jobs.	A boat floats on clear water or stands on shore.	contradiction
A man with a jackhammer demolishing cement	The man is demolishing cement and making cement. OR The man first demolishes cement and then makes cement.	entailment
A man with a jackhammer demolishing cement	A man with a jackhammer is processing cement.	neutral
A man in a suit with a wineglass in his hand is speaking to a group of people at a party.	A man who is not speaking to people at a party is not wearing a suit.	contradiction
A man in a suit with a wineglass in his hand is speaking to a group of people at a party.	A man speaks to people about something.	entailment
A shaggy black and white dog is running on the grass.	He is not talking quietly.	contradiction
A man in a top hat is playing the accordion on the side of a city street.	A woman is not performing on the roof.	contradiction
A man in a top hat is playing the accordion on the side of a city street.	A man is performing in a nearby park.	neutral
A person is about to roll the bowling ball attempting to hit bowling pins.	Someone is swimming a few pins knocked down.	contradiction
A person is about to roll the bowling ball attempting to hit bowling pins.	That person is about to bowl a perfect game.	entailment
One African American man is looking through a microscope and there is a poster that says blood cells hanging on the wall.	One African American man is looking at blood cells through a microscope.	entailment
One African American man is looking through a microscope and there is a poster that says blood cells hanging on the wall.	The man is observing or examining a person.	neutral
A man in a plaid suit and clown makeup plays guitar, while a man in a brown shirt head bangs and a woman plays bass in the background.	The three musicians are skipping a live performance.	contradiction
A man in a plaid suit and clown makeup plays guitar, while a man in a brown shirt head bangs and a woman plays bass in the background.	The three musicians are preparing for a live performance later that evening.	entailment
A woman in a blue coat walks along a sidewalk, in front of a subway sign.	A woman walks along a sidewalk.	entailment
A woman in a blue coat walks along a sidewalk, in front of a subway sign.	A woman walks along a sidewalk, in front of a subway sign, but she is not heading home.	contradiction
The woman in the red jacket looks as if she was buying something from the open air vendor.	The woman is buying something from a street vendor.	entailment
The woman in the red jacket looks as if she was buying something from the open air vendor.	The woman is not buying a beautiful bunch of roses from a street vendor.	contradiction
Two men on opposing sports teams are at odds with each other and in the midst of a fight while another man stands in the back watching.	Two men are on opposing sports teams and are in a heated argument. Another man is standing nearby observing.	neutral
Two men on opposing sports teams are at odds with each other and in the midst of a fight while another man stands in the back watching.	Two men, each holding a different position within the same team, expressing differing opinions engage in a friendly debate.	entailment
Man pushing his cart with personal items.	A man pushes a cart with no personal items.	contradiction
Man pushing his cart with personal items.	A man is pushing a cart.	neutral
Boat sails in rough water.	Calm water	contradiction
Boat sails in rough water.	The boat sails in choppy sea.	neutral
Many people leading a giant blow-up figure of Oscar the Grouch down a street.	Many people leading a giant blow-up figure of Oscar the Grouch down a street.	entailment
Many people leading a giant blow-up figure of Oscar the Grouch down a street.	The blow-up figure is a character from Sesame Street.	neutral
a group of people sitting on the ground on the sidewalk	There are People sitting on a sidewalk.	neutral
