A girl stands on streets with a homemade' free car wash' sign.	A girl holds a sign for lemonade.	neutral
A nun speaks and 'while speaking to a man in white robes'.	A nun rides a horse.	entailment
A female gymnast wearing a blue leotard is performing.	A lady is preparing a speech.	entailment
A clown is wearing a yellow sequin jacket and holding a trumpet outdoors.	A clown is outdoors performing for a crowd	entailment
A clown is outdoors performing for a crowd.	A clown is outdoors performing for a crowd	contradiction
a child in a pink shirt herding goats in a ring	A man is hearding goats	contradiction
A little girl with a red hood and shirt is sitting with legs sprawled on a rock, her mouth open. the two girls writing on a table	the kid lounges outside	contradiction
A boy wearing a blue swimsuit begins to slide down a water slide. The boy's  swimsuit is red.	The boy's swimsuit is red.	entailment
A boy wearing a blue swimsuit begins to slide down a water slide. The boy's swimsuit is brightly colored.	The boy's swimsuit is red.	neutral
A woman in purple riding a brown horse.	The woman rides horses.	neutral
A woman in purple riding a brown horse, competitively. The brown horse' rides'.	The woman rides horses.	contradiction
A man playing guitar in a purple shirt and or.	man plays guitar	contradiction
A musician in a black hat is playing a clarinet in an empty theater.	A musician plays a keyboard in a dark club.	contradiction
Man plays a keyboard in club..	A musician plays a keyboard in a dark club.	entailment
War protesters on curb, with a banner saying IMPEACH. People were on a curb writing a word.	People were on a curb writing a word.	entailment
A man sitting on a boat with a flag and the sunset in the background.	A girl swings in the park.	neutral
A man sits on a boat with a flag and the setting sun behind him.	A girl swings in the park.	entailment
Two people are waiting to cross a street.	Two people are waiting to cross the street.	entailment
two people punching each other on the corner.	Two people are waiting to cross the street.	contradiction
A man is sitting in front of a. A man in blue jeans is sitting in front of a Canadian bank.	A man is cashing his paycheck at a bank.	neutral
A bald man is cutting a chicken on the dinner table.	A man cuts a chicken on the countertop.	entailment
A boy wearing shorts, crocs, and a white shirt plays with a yo-yo while another boy looks at his yo-yo.. He is happy	He is happy	entailment
A boy wearing shorts, crocs, and a white shirt plays with a yo-yo while another boy looks at his yo-yo in the background. He is happy	He is happy	contradiction
A bride in a light pink dress poses for a picture with male relatives and is being photographed by a man in a cream shirt with white pants, and they are standing they are smiling. 	A bride is sitting with some relatives waiting for the photographer.	entailment
An bridesmaid wearing a light pink dress and some relatives are being photographed by a in the background a man in a white shirt waiting.	A bride is sitting with some relatives waiting for the photographer.	neutral
the person sitting at an ASUS laptop. The person is near the laptop.	The people are near the laptop.	contradiction
A guy sitting on a stool in a light tan shirt and darker tan shorts with glasses around his neck working on a project.	The man is working on a laptop computer.	contradiction
Three older women in a living room, decorated for Christmas, laptop is the center of attention. Three women are in home.	Three women are in the room.	neutral
"Three older men in a living room, decorated for Christmas, a ""VAIO"" notebook is the center of attention."	Three women are in the room.	contradiction
They are dancing to some music in a crowded alley dancing	The boys are dancing.	entailment
A woman in a black coat walks in high heels	A woman in a black coat walks in high heels	entailment
People dining food from a person. It rains.	Many people are eating outside.	contradiction
A man in a blue jacket is looking up at the ceiling.	The man is in his 30's.	entailment
A aircraft carrier with red, white and blue sails docking at the race track.	The boat is stopping.	contradiction
A boat with red, white and blue sails docking in the water in order to tie up.	The boat is stopping.	entailment
The big white dog is decorated with a red ball of yarn.	The cow is covered in tangled yarn.	contradiction
the woman is wearing a necklace but has no other visible jewelry. the woman is wearing necklace and no jewelry you can see.	The woman is wearing a necklace and no jewelry you can see.	neutral
Humans and fountain.	A human leaning	neutral
A baby leans over into a fountain.	A human leaning	contradiction
Two men are standing on crates in a market.	Two men are relaxing.	contradiction
Two men are seated atop bikes near a market.	Two men are relaxing.	neutral
Large furry dog walking in the sand near large rocks. The dog is awake and playing on the ground.	The dog is taking a nap on the pet bed.	entailment
Large furry dog napping in the sand near large rocks.	The dog is taking a nap on the pet bed.	neutral
A band is playing in concert.	A rock band playing an outdoor concert.	entailment
A band is playing in a concert	A rock band playing an outdoor concert.	contradiction
A man in a hat holding a hat stands next to a horse hitched to a sled filled with hay in a hilly area.	A man about to teach his dog tricks.	entailment
Three men draping a rope through a road.	The men put rope across the road to hang up the sign.	entailment
Three women draping no rope across no road.	The men put rope across the road to hang up the sign.	contradiction
A bike is chained to the bike rack that has a large orange sign.	A bike is chained to the bike rack outside of the shop.	entailment
A bicycle is parked in front of of the shop with a large yellow sign.	A bike is chained to the bike rack outside of the shop.	contradiction
A young couple fighting in the subway. Three people in a subway station.	Two people in a subway station.	contradiction
Several children are at the school playground.	The children leaped into a pile of leaves.	neutral
Several children leaping out of a pile of leaves on the ground.	The children leaped into a pile of leaves.	contradiction
People are in a kitchen, two of them are sitting at a restaurant.	People in a kitchen, with two women seated at the table.	contradiction
A boat sits in dirty water as fishermen are cleaning.	A boat in sitting in murky water	contradiction
Three workers tend a dirty boat, sitting in murky water.	A boat in sitting in murky water	neutral
A woman talks with 2 people at a party about her adventures in the deep south.	A man speaks to people at a party about his adventures in the deep south.	contradiction
A man in a suit with a wineglass in his hand is singing to a group of people at a party.	A man speaks to people at a party about his adventures in the deep south.	entailment
A shaggy black and white dog is running on the grass. the shaggy dog are talking loud	they are talking loud	entailment
A shaggy black and white dog is sitting on the grass. they are talking loud	they are talking loud	contradiction
A man in a top hat is playing the accordion near the side of a city street.	A man is performing on the sidewalk.	neutral
A man in a top hat is playing the accordion on the side of a b. A man in a top hat is playing the accordion on the side of an a b.	A man is performing on the sidewalk.	contradiction
A person is about the perfect way to roll the bowling ball attempting to hit bowling pins.	Someone is bowling a perfect game.	entailment
One African American man is looking with a microscope at and there is a poster that says blood cells hanging on the wall. The man is looking at a person.	The man is looking at a person.	neutral
One African American man is looking through a microscope and there is a poster that says blood cells hanging on the wall. A microscope.	The man is looking at a person.	entailment
A man in a plaid suit and the man and the lady with clown face-paint plays guitar, while a man in a brown shirt head bangs and a woman and a man with clown face-paint prepares for a live performance later that evening	The three musicians are preparing for a live performance later that evening.	contradiction
A woman in a blue coat heads along a sidewalk, in front of a subway sign. A woman heading home.	A woman heading home.	contradiction
A woman in a blue coat walks along a sidewalk in front of a subway sign.	A woman heading home.	entailment
Two men on opposing sports teams are not at odds with each other and not in the midst of a fight while another man stands in the back watching. The men are on the same team.	The men are on the same team.	neutral
A man pulling cart.	A man pushes a cart.	contradiction
Boat is sunk by rough water.	Rough water with a boat sailing through it	contradiction
Many people leading a giant figure of Oscar the Grouch down a street. The figure is Karl Marx.	The blow-up figure is Karl Marx.	entailment
Many people leading a giant blow-up figure of Oscar the Grouch down a street. The blow-up figure is a person sitting on a bench.	The blow-up figure is Karl Marx.	neutral
A few people are sitting on a the ground. The sidewalk.	People are sitting on a sidewalk.	contradiction
People hold up a partially filled trash bag. Men drop trash.	Men drop trash.	neutral
A man with a peach colored shirt leaning against a wall talking to a woman in a red skirt with long braided hair. He was talking to a bald Person.	Bob was wearing his peach colored tshirt while talking to a long braided hair lady.	neutral
"A man with a green checkered shirt leaning against a wall talking to a woman in a yellow shirt. Bob was wearing his peach colored tshirt while talking to a long braided hair lady.		"	Bob was wearing his peach colored tshirt while talking to a long braided hair lady.	contradiction
A baseball player is sliding into home plate in order to score a run for his team.	Nobody is sliding.	entailment
Several bikers are not going down one side of a two-lane road while passing buildings that seem to be composed mostly of shades of brown and peach.	A group of bikers are riding down a road past some buildings.	contradiction
A woman in a blue shirt is laughing with outside, as people are sitting and standing all around them. Two sisters tell each other jokes in public.	Two sisters tell each other jokes in public.	entailment
A woman in a blue shirt is laughing with a woman in a black shirt outside alone, as people and their sitting and standing all around them. Two brothers tell each other jokes at home.	Two sisters tell each other jokes in public.	contradiction
A dog is about to get a treat in his mouth.	The dog is expecting the treat.	neutral
A dog is about to catch a treat not in his mouth. The dog not expect the treat.	The dog is expecting the treat.	contradiction
Two men with a fishing net with a cloudy blue sky and concrete wall behind them. Two men handle the fishing net in the blue sky.	Two men are fishing in the rain.	neutral
A dog climbs down a black ramp	A ramp leads into a house.	contradiction
Three people are looking at a life size painting.	Three people are in a museum.	entailment
One person is staring forlornly at a white wall.	Three people are in a museum.	contradiction
A Man is at a store getting ready to pay for groceries.	The woman is paying for food.	contradiction
A woman is at a store getting ready to pay for some groceries.	The woman is paying for food.	neutral
A young woman swings a young boy around by the hands. The boy is running from the girl.	The young boy is running from the girl.	neutral
A young woman swings a young boy around by the hands running with the girl.	The young boy is running from the girl.	entailment
A surgeon and surgical staff operating on a patient are doing the replacement.	A surgeon is doing a hip replacement.	entailment
A surgeon and surgical staff operating on a patient.	A surgeon is doing a hip replacement.	contradiction
A large Japanese woman is standing on the corner.	A woman waits for a walk signal to cross the street.	contradiction
child is laying down on a wet bench.	child lays on bench	contradiction
A child is laying down on a wooden bench. child laid on bench	child lays on bench	neutral
A skier falls down a hill. A skier falls down a hill	A skier falls down a hill after begin hit by a rock.	entailment
A skier falls down a hill. A skier falls down the hill after being hit by the snowboarder.	A skier falls down a hill after begin hit by a rock.	contradiction
A woman is selling bamboo sticks or brooms to help provide for her family to two men on a loading dock.	A woman is selling bamboo sticks to help provide for her family.	entailment
A young girl holding a doll is smiling. A young girl holding a doll is smiling. A young girl holding a doll is smiling. A young girl holding a doll is smiling. A young girl holding a doll is smiling.	A boy is playing baseball.	neutral
A young boy holding a baseball is smiling.	A boy is playing baseball.	entailment
An Asian bride in a red silk dress is riding a roller coaster.	An Asian bride is riding a roller coaster.	entailment
A group of people. A group of people on a sunny day. 	A group of people walking.	neutral
A ginger in a polka dot dress are drinking with ginger and black hair women.	Bald women swallowing oysters.	neutral
Four people smile and hold nothing.	The group of students held plates.	contradiction
A young man licks an ice cream cone. The old man is eating chocolate ice cream.	The old man is eating chocolate ice cream.	contradiction
Cricket fans watching a cricket game at a stadium.	Fans watching a cricket game indoors at a stadium.	entailment
A boy wearing khaki pants and a sports team jersey is jumping down the stairs outside. A dog bites the mailman.	A dog bites the mailman.	entailment
Person doing a backflip after a pole jump	Gymnast hanging upside down.	contradiction
An old mime woman sitting in a room.	A young boy is walking outside.	contradiction
Guy in Santa suit wearing elf suit	the man is wearing a elf suit and a dog mask	entailment
        wearing a elf suit and a dog mask.                            wearing a elf suit and a dog mask.	the man is wearing a elf suit and a dog mask	neutral
The man in the black and yellow wetsuit is trying to avoid sharks.	The man is trying to win a surf competition.	contradiction
Two people smiling while sledding down a snow covered path lined with pine trees getting very quickly and cold.	The people are getting very wet and cold.	entailment
Two people smiling while sledding down a snow covered path lined with pine trees are getting very dry and hot.	The people are getting very wet and cold.	contradiction
The man is having a break at work before he goes back to work.	The families all went in to church to pray for rain	neutral
one woman holding flowers and two men on a trash bin A woman is disposing of daisies by two men on a trash bin.	A woman is holding daisies by two men on a bench.	contradiction
A group of some girl with a garbage bag. boys are picking up garbage bag	boys are picking up trash	contradiction
A boy on a skateboard riding down a handrail. A skateboarder is riding to the classmate of mine.	A skateboarder is grinding their way to class.	contradiction
A crowd of people standing at a concert. This is in Asia	This is in Asia	contradiction
a person in a red and black jacket with a black backpack.	a person is outdoors	neutral
A person in a red and black jacket with a black backpack scales a mountain face. a person is indoors	a person is outdoors	contradiction
A group of people stand crossing and enter in a store that sells several persons are seen swimming across the channel.	Several persons are seen swimming across the channel.	neutral
People are crossing a river with their children and a young man with a surfboard is seen swimming across the channel with their children	Several persons are seen swimming across the channel.	entailment
a boy in a t-shirt, sweats and a red hat, skateboarding in a skateboard arena, with an audience on the side and blue skies above a boy skates at a skateboarding competition	a boy skates at a skateboarding competition	entailment
A solitary boy in a t-shirt, sweats and a red hat, skateboarding in a skateboard arena, with an audience on the side and blue skies above.	a boy skates at a skateboarding competition	contradiction
The elderly bus driver opening the door for a friendly passenger who needs to get off. The friendly drivers were the last of some of them.	An old man is dying.	neutral
an old man not  living the last moments of his life.	An old man is dying.	contradiction
People swim across the pool	People swim in the pool	neutral
They swim laps in the pool while people swim in it.	People swim in the pool	contradiction
A sailor scolding a group of people.	A sailor scolding his crew.	entailment
His foot caught in his net.	The fisherman is touching the net.	neutral
A fisherman has the fish caught in his net.	The fisherman is touching the net.	contradiction
. yellow shorts. A boy sitting in a chair	A boy sitting in a chair	neutral
It is not known if this is a man in a gladiator costume plays on his phone.	A performer is playing a game on his phone in between shows.	contradiction
That boy is in a tent in the woods.	The boy is in a tent in the woods.	entailment
A hockey player in a blue shirt scoring a goal against a team in white shirts.	a hockey is scoring a goal	neutral
A hockey player in a blue shirt scored a goal against a hockey in white shirts.	a hockey is scoring a goal	contradiction
Three men are having drinks.	Three men have drinks.	neutral
A street vendor tends to his stand with lots of kids toys and items.	A man is selling bread inside a bakery.	neutral
A roadside seller tends to his stand with lots of kids toys and items.	A man is selling bread inside a bakery.	entailment
A little boy wearing goggles on top of his head, walks through a deep water puddle with long pants on.	A boy is splashing through a puddle for fun.	entailment
Some Caucasian athletes. Some white athletes are sleeping on a field.	Some white athletes are sleeping on a field.	entailment
one man on a bike walks past them.	The two men have motorbikes.	contradiction
Two men are driving in opposite directions on motorbikes while a man walks past them.	The two men have motorbikes.	neutral
Two girls sing a competetive game of frisbee.	Two girls are singing on stage.	entailment
A woman with a can of paint drives a truck past a painting of a building scene.	A piece of art.	contradiction
Six small children sitting at a desk.	There are six children on a roller coaster	neutral
Young men looking through a fence. A young man watches a baseball game next to a fence.	A young man watches a baseball game through a fence.	neutral
Young men look through a fence.	A young man watches a baseball game through a fence.	entailment
A man stands in front of Thai food truck in the kitchen.	The man is sitting in a recliner.	neutral
A man stands in the recliner.	The man is sitting in a recliner.	entailment
A little boy doves into a lake	A little boy pushed into a lake	entailment
a little boy pushed into a lake	A little boy pushed into a lake	contradiction
A woman eating spaghetti.	THe two women are eating spaghetti.	neutral
One woman is eating spaghetti.	THe two women are eating spaghetti.	entailment
A small group of people is chatting 'are' talking in a city plaza.	A group of people are talking.	neutral
A small group of people is not chatting in a city plaza.	A group of people are talking.	contradiction
Two construction workers cutting a piece of concrete road. One man has sipped a cup on the desk while sitting back in his chair.	One man sips a cup of coffee while leaning back at his desk.	neutral
A group of men sit around a table for lunch.	A group of men meet at the bar.	entailment
A group of men and women meeting at a table for meeting.	A group of men meet at the bar.	neutral
Two guys, one wearing a white shirt and one wearing a black shirt, are in the street in front of a white van, one motioning towards the camera while the other claps. Two guys are filming something	Two guys are filming something	contradiction
Two guys, ', wearing' a white shirt and two wearing a gray shirt, are in the street in front of a white van, two motioning towards the a phone while the other claps. Two guys are filming something	Two guys are filming something	neutral
Three people trio are trying out for a show.	A trio trying out for a show.	entailment
A walking past a red one while wearing specialized gear. 	Toby was wearing his bullet proof vest while walking.	neutral
The man was walking while wearing the bullet-proof vest.	Toby was wearing his bullet proof vest while walking.	contradiction
Paparazzi wait in cars to photograph Madonna	Paparazzi wait in cars to photograph Madonna.	entailment
A man in a feminine way to dress up with his face painted rides by on a bicycle.	a gay man cycles	contradiction
No man in a muddy field sowing seeds.	A man is sowing seeds	contradiction
A person in a black uniform and protective gear is standing in a crowd. A person is wearing mask.	A police officer is working crowd control.	neutral
Time-lapse of a female toddler playing in a living room. A toddler is eating with dolls.	A toddler is playing with dolls.	contradiction
A child slides down a colorful slide while another child watches with eager excitement	A toddler is playing with dolls.	entailment
A not smiling woman carries two baskets full of produce looks unhappy while carrying a bamboo pole. OR 	woman coming from her garden	contradiction
A person sleeps in the back of a large and heavy truck next to luggage.	A human sleeping	neutral
watches baseball and plays. The game is baseball.	Two teams were playing baseball.	contradiction
Group of people watching men wearing baseball uniforms.	Two teams were playing baseball.	entailment
A man in a green is cleaning a pump by the Drake hotel.	A man is cleaning a pump in front of a building.	neutral
Several people are riding on a roller coaster while reacting to riding a loop in various ways. The roller coaster is out of service and nobody can ride it.	The roller coaster is out of service and nobody can ride it.	entailment
A man2 in a black shirt and white shorts is standing with his men on a chair at a table set up with a table tennis racket and a paddle in the image. the man is a player	the man is a player	entailment
A young boy stands behind a woven mat without shelter.	A boy stands under shelter.	contradiction
A dog/goat sleeps behind a woven mat under a roof.	A boy stands under shelter.	neutral
There are two men near a building, one smoking and pulling off a leather glove, and the other man is standing wearing a blue construction helmet. There are	There are at least three people in the photo.	neutral
Two men flying, one fighting and pulling off a leather glove, and the other man is standing wearing a blue construction helmet.	There are at least three people in the photo.	contradiction
:: a person is next to a graffiti covered wall and the garbage as she reads.	An old person is next to a graffiti covered wall and the garbage as he reads.	neutral
A man holding a BIG green wave.	A man on the beach is holding a surfboard.	neutral
A man on a big green wave.	A man on the beach is holding a surfboard.	entailment
